# GRASP V.7.15CD    Instrument:  ILL_d22

# ***** Sanpol Worksheets I+, I- *****
# Subtitle:  YF45 RF off 8m
# Start: 22-Apr-18   17:52:05   End: 22-Apr-18   18:12:05

# Sample - (Flip off):  213446 , Loaded: 213434,213446,213464,213476,213480,213492,213496,213508,213512
# ***** Sanpol Worksheets I+, I- *****
# Subtitle:  YF45 RF on 8m
# Start: 22-Apr-18   18:12:05   End: 22-Apr-18   18:32:06

# Sample + (Flip on):  213447 , Loaded: 213435, 213447,213465,213477,213481,213489,213497,213509,213513
# Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Background:  213453 , Loaded: 213452,213453
# Cadmium: No Cadmium Subtraction

# Transmissions:  Ts = 0.99288 +/- 0.0049556  Te = 0.82099 +/- 0.0039031
# Foreground Image Only :  I_corr = I_s

# Beam Centre1 :  Cx = 65.4982  Cy = 126.261       Cm Translation :  Tx = 0  Ty = 0 [mm]

# ***** Calibrations: *****
# Data: Corrected for D22 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.2 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 3
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q



0.00727248	0.446106	0.0285131	0.00169105
0.00775257	0.390782	0.0228278	0.00169105
0.00818259	0.390024	0.0229012	0.00169105
0.00861293	0.366469	0.0218552	0.00169105
0.00904354	0.348197	0.0214953	0.00169104
0.00947439	0.362139	0.0212095	0.00169104
0.00990545	0.362329	0.02113	0.00169104
0.0103367	0.347953	0.0206459	0.00169104
0.0107681	0.334654	0.0204587	0.00169103
0.0111996	0.33944	0.0203952	0.00169103
0.0116313	0.342811	0.0203939	0.00169103
0.012063	0.308514	0.0195375	0.00169103
0.0125238	0.314885	0.0176036	0.00169102
0.0129393	0.292535	0.0158507	0.00169102
0.0133698	0.280541	0.0158382	0.00169313
0.0138004	0.278009	0.0155531	0.00169523
0.0142311	0.268504	0.0155634	0.00169701
0.0146962	0.253425	0.0142448	0.00169864
0.015165	0.274267	0.01534	0.00170005
0.0155961	0.217167	0.014567	0.00170117
0.0160274	0.250999	0.0148609	0.00170216
0.0164587	0.22134	0.0143342	0.00170304
0.0168902	0.208141	0.0143676	0.00170383
0.0173446	0.231455	0.0134509	0.00170457
0.0177667	0.224089	0.0123996	0.00170519
0.0181971	0.220902	0.0122559	0.00170577
0.0186277	0.20012	0.0119855	0.0017063
0.0190584	0.202495	0.0121779	0.00170678
0.0194892	0.198958	0.0116777	0.00170723
0.01992	0.187741	0.0120882	0.00170764
0.020351	0.176503	0.0114302	0.00170802
0.020782	0.17254	0.0110449	0.00170837
0.0212131	0.161269	0.0109384	0.00170869
0.0216442	0.162612	0.0112436	0.001709
0.0220755	0.148863	0.0109217	0.00170928
0.0225344	0.152432	0.00980346	0.00170957
0.0229851	0.148985	0.00926141	0.00170983
0.0234391	0.143747	0.00958533	0.00171007
