GRASP V.7.15CD    Instrument:  ILL_d33 
  
***** Sanpol Worksheets I+, I- ***** 
Subtitle:  DD144 LA 10 A RF- 
Start: 17-Dec-16   18:26:46   End: 17-Dec-16   18:31:46 
  
Sample - (Flip off): Sum 94223+94225 , Loaded: 94223+94225 
***** Sanpol Worksheets I+, I- ***** 
Subtitle:  DD144 SA 10 A RF+ 
Start: 17-Dec-16   18:31:46   End: 17-Dec-16   18:36:46 
  
Sample + (Flip on): Sum 94224+94226 , Loaded: 94224+94226 
Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Data Normalisation: Exposure Time (1) seconds 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Background: Sum 94166:94171 , Loaded: 94166:94171 
Cadmium: No Cadmium Subtraction 
  
Transmissions:  Ts = 1.0034 +/- 0.0019488  Te = 0.70578 +/- 0.0012672 
Foreground Image Only :  I_corr = I_s 
  
Beam Centre1 :  Cx = 128.2559  Cy = 63.8996       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
  
***** Calibrations: ***** 
Data: Corrected for D33 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.2 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0256714	0.456978	0.01107	0.00308375
0.0277583	0.089373	0.00586112	0.00311886
0.028264	0.317316	0.00928027	0.00312628
0.0302766	0.0588164	0.00536468	0.00315203
0.0308196	0.207471	0.00723112	0.00316355
0.0329467	0.0705153	0.0044454	0.00320122
0.0334411	0.116596	0.00799596	0.00320859
0.0355303	0.0626142	0.00378308	0.00324608
0.0360692	0.0689277	0.00767342	0.00325707
0.0380745	0.0609655	0.00365368	0.00329245
0.0386632	0.0453755	0.0071693	0.00330145
0.0406294	0.0716324	0.00355649	0.00334549
0.0412085	0.039908	0.00803561	0.00335722
0.0432073	0.084698	0.00345642	0.00339364
0.0438497	0.0712672	0.0110411	0.00341023
0.0457603	0.0985108	0.00345386	0.00345373
0.0464466	0.0839261	0.0115424	0.00346754
0.0483013	0.11136	0.00346614	0.00350937
0.0489918	0.129434	0.0178189	0.00352677
0.0508784	0.115191	0.00336529	0.00356924
0.0534286	0.111435	0.0032005	0.00363257
0.0554501	0.102813	0.00749388	0.00368004
0.0560682	0.117565	0.00344074	0.00369319
0.0580012	0.0859854	0.00609945	0.00374767
0.0586267	0.103998	0.00342549	0.00376362
0.0605582	0.06462	0.004978	0.00381024
0.0612105	0.0875314	0.00326037	0.00382994
0.0631202	0.0462423	0.00427853	0.00388248
0.0637895	0.0774444	0.00317359	0.00389927
0.065661	0.0352115	0.00397181	0.003951
0.0663112	0.0693269	0.00313594	0.0039701
0.0683014	0.0377776	0.00323319	0.00394335
0.0689443	0.0511986	0.00328307	0.00398047
0.0708775	0.0281162	0.00280852	0.00409208
0.0715591	0.0374814	0.00328531	0.00413143
0.0734633	0.021724	0.0024989	0.00424137
0.0742037	0.0259927	0.00351109	0.00415745
0.0760192	0.0197806	0.00230009	0.00425917
0.0767696	0.0250889	0.00377794	0.00430121
0.0785593	0.0140089	0.00220836	0.00422277
0.0793505	0.018456	0.00364535	0.0042653
0.0811293	0.0186389	0.00211389	0.00436091
0.0819997	0.0111239	0.00410859	0.0044077
0.0836839	0.0159521	0.00202518	0.00449823
0.0845679	0.0237327	0.00487725	0.00454575
0.0862215	0.0212003	0.00199261	0.00463463
0.0875843	0.0293876	0.00382675	0.00457023
0.0888666	0.0246556	0.00206551	0.00463714
0.0904133	0.022939	0.00342192	0.00471785
0.0914481	0.0215186	0.00211945	0.00462366
0.0930334	0.0245562	0.00338564	0.00470381
0.0940318	0.0234183	0.00210212	0.00475429
0.0956655	0.0237221	0.00321889	0.00483689
0.0965931	0.0217144	0.00207755	0.00488379
0.0982575	0.0252277	0.00294772	0.00496794
0.0991474	0.0236703	0.00214335	0.00501294
0.100917	0.0202256	0.00245792	0.00510243
0.101814	0.0243586	0.00230526	0.00511975
0.10355	0.0242451	0.00229481	0.00506217
0.104427	0.0176196	0.00236805	0.00510505
0.106115	0.0172354	0.0021292	0.00518757
0.107077	0.0192966	0.00249813	0.00523461
0.108688	0.0178898	0.00201013	0.00531336
0.109638	0.0161201	0.00268744	0.00520189
