GRASP V.7.15CD    Instrument:  ILL_d33 
  
***** Sanpol Worksheets I+, I- ***** 
Subtitle:  DD144 LA 10 A RF- 
Start: 17-Dec-16   18:26:46   End: 17-Dec-16   18:31:46 
  
Sample - (Flip off): Sum 94223+94225 , Loaded: 94223+94225 
***** Sanpol Worksheets I+, I- ***** 
Subtitle:  DD144 SA 10 A RF+ 
Start: 17-Dec-16   18:31:46   End: 17-Dec-16   18:36:46 
  
Sample + (Flip on): Sum 94224+94226 , Loaded: 94224+94226 
Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Data Normalisation: Exposure Time (1) seconds 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Background: Sum 94166:94171 , Loaded: 94166:94171 
Cadmium: No Cadmium Subtraction 
  
Transmissions:  Ts = 1.0034 +/- 0.0019488  Te = 0.70578 +/- 0.0012672 
Foreground Image Only :  I_corr = I_s 
  
Beam Centre1 :  Cx = 128.2559  Cy = 63.8996       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
  
***** Calibrations: ***** 
Data: Corrected for D33 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.2 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0256785	0.0775075	0.00600057	0.00308461
0.027766	0.0768096	0.00574314	0.00311973
0.0282718	0.0448393	0.00549965	0.00312715
0.030285	0.107567	0.00623799	0.0031529
0.0308281	0.0497756	0.00506319	0.00316442
0.0329558	0.107882	0.00496504	0.0032021
0.0334504	0.0667821	0.00711007	0.00320948
0.0355402	0.140069	0.00472028	0.00324699
0.0360792	0.102598	0.00856883	0.00325798
0.0380851	0.160047	0.00476909	0.00329336
0.0386739	0.112144	0.00880927	0.00330237
0.0406407	0.187684	0.0047536	0.00334642
0.04122	0.152983	0.011088	0.00335815
0.0432193	0.198688	0.00452911	0.00339458
0.0438619	0.178207	0.0144411	0.00341118
0.045773	0.19824	0.00434882	0.00345469
0.0464595	0.21723	0.0156819	0.0034685
0.0483147	0.211689	0.0043467	0.00351035
0.0490054	0.225236	0.0220502	0.00352775
0.0508925	0.197086	0.00405273	0.00357023
0.0534435	0.180466	0.00377638	0.00363358
0.0554654	0.125096	0.00803736	0.00368107
0.0560838	0.159387	0.00384317	0.00369421
0.0580173	0.0839663	0.00615634	0.00374871
0.058643	0.131591	0.00371919	0.00376466
0.060575	0.0628767	0.00502441	0.0038113
0.0612275	0.114842	0.00355334	0.003831
0.0631377	0.0484448	0.0043776	0.00388355
0.0638072	0.0917916	0.00335494	0.00390036
0.0656792	0.0321032	0.003987	0.00395209
0.0663296	0.06746	0.00316756	0.0039712
0.0683204	0.0318807	0.00321094	0.00394445
0.0689635	0.0518272	0.00334027	0.00398157
0.0708972	0.0273315	0.00284245	0.00409322
0.071579	0.0328122	0.00327833	0.00413258
0.0734837	0.0262253	0.00258265	0.00424255
0.0742243	0.0251041	0.00355268	0.0041586
0.0760403	0.0243623	0.00238043	0.00426035
0.0767909	0.0267076	0.00386067	0.00430241
0.0785811	0.0274693	0.00237055	0.00422394
0.0793725	0.0250249	0.00380148	0.00426648
0.0811518	0.03007	0.00224684	0.00436212
0.0820224	0.0253498	0.00442769	0.00440892
0.0837071	0.0332665	0.00220296	0.00449948
0.0845914	0.023414	0.00494645	0.00454701
0.0862454	0.0393823	0.00217198	0.00463592
0.0876087	0.0402211	0.00404632	0.0045715
0.0888913	0.0374481	0.00220042	0.00463843
0.0904384	0.0425415	0.00374542	0.00471916
0.0914735	0.0414924	0.00232196	0.00462494
0.0930593	0.0343837	0.00356854	0.00470512
0.0940579	0.0402055	0.00227556	0.00475561
0.0956921	0.0357776	0.00342634	0.00483823
0.09662	0.0408626	0.00226976	0.00488515
0.0982847	0.0359207	0.00312142	0.00496932
0.099175	0.0357447	0.00228083	0.00501433
0.100946	0.0323379	0.0026201	0.00510385
0.101842	0.0354018	0.0024443	0.00512117
0.103579	0.0318801	0.00240458	0.00506358
0.104456	0.0284672	0.00251341	0.00510647
0.106145	0.0229624	0.0022141	0.00518901
0.107107	0.0262356	0.00260867	0.00523607
0.108718	0.0182238	0.00204328	0.00531484
0.109669	0.0165413	0.00273306	0.00520334
