GRASP V.7.15CD    Instrument:  ILL_d33 
  
***** Sanpol Worksheets I+, I- ***** 
Subtitle:  DD144 SA 20 A RF- 
Start: 17-Dec-16   21:13:06   End: 17-Dec-16   21:18:07 
  
Sample - (Flip off): Sum 94252+94254+94256+94258 , Loaded: 94252+94254+94256+94258 
***** Sanpol Worksheets I+, I- ***** 
Subtitle:  DD144 SA 20 A RF+ 
Start: 17-Dec-16   21:18:07   End: 17-Dec-16   21:23:07 
  
Sample + (Flip on): Sum 94253+94255+94257+94259 , Loaded: 94253+94255+94257+94259 
Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Data Normalisation: Exposure Time (1) seconds 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Background: Sum 94158:94163 , Loaded: 94158:94163 
Cadmium: No Cadmium Subtraction 
  
Transmissions:  Ts = 0.98372 +/- 0.0035605  Te = 0.71066 +/- 0.0023692 
Foreground Image Only :  I_corr = I_s 
  
Beam Centre1 :  Cx = 128.2559  Cy = 63.8996       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
  
***** Calibrations: ***** 
Data: Corrected for D33 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.2 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.00479589	3.06668	0.18246	0.00113413
0.00517926	3.17425	0.193077	0.00113827
0.00527518	3.27765	0.175162	0.00113911
0.00565058	3.10476	0.189798	0.00114188
0.00575236	3.1537	0.161231	0.00114252
0.00612784	2.8827	0.172459	0.00114454
0.00622461	2.82278	0.153941	0.00114499
0.00659926	2.56336	0.160266	0.00114652
0.00669916	2.62584	0.132208	0.00114749
0.00707651	2.42834	0.148744	0.00115399
0.00718036	2.8207	0.134575	0.00115552
0.00754799	2.64382	0.149147	0.00116025
0.00764885	2.65567	0.128243	0.00116138
0.00802515	2.57765	0.141714	0.00116513
0.00812802	2.5608	0.120561	0.00116604
0.00849667	2.35234	0.136433	0.00116896
0.00860415	2.28131	0.106463	0.00116973
0.00897383	2.32302	0.128643	0.00117354
0.00907733	2.12234	0.106178	0.00117567
0.00944538	2.34924	0.13032	0.00118245
0.0095536	2.21796	0.102333	0.00118423
0.00992246	2.07909	0.115632	0.0011897
0.0100329	2.05798	0.0967349	0.00119118
0.0104031	2.14746	0.108289	0.00119569
0.0105151	2.07552	0.098534	0.00119693
0.010879	1.73248	0.0979261	0.00120065
0.0109882	1.97649	0.0947697	0.00120167
0.0113577	1.85255	0.0925636	0.0012086
0.0114714	1.78029	0.0906994	0.00121104
0.0118297	1.73999	0.0887908	0.00121809
0.011948	1.88183	0.0885579	0.00122022
0.0123078	1.74656	0.0852834	0.00122618
0.0124243	1.57811	0.0869693	0.00122796
0.0127828	1.61316	0.0793975	0.00123304
0.0129043	1.68222	0.0861178	0.00123463
0.0132576	1.66382	0.0783077	0.00123896
0.0133846	1.60752	0.0819228	0.00124131
0.0137324	1.47645	0.0735036	0.00124979
0.0138638	1.47663	0.0779881	0.00125276
0.0142071	1.31569	0.0673426	0.00125995
0.0143376	1.38186	0.0748413	0.00126249
0.0146818	1.37585	0.0669575	0.00126875
0.0148179	1.31727	0.0724005	0.00127107
0.0151565	1.1537	0.0621036	0.00127646
0.015297	1.20414	0.068953	0.00127856
0.015631	1.13629	0.0596471	0.00128449
0.015771	1.23276	0.0698326	0.00128827
0.0161056	1.13745	0.0588678	0.00129672
0.0162513	1.09881	0.0646778	0.00130016
0.0165801	0.97485	0.0530199	0.00130745
0.0167319	1.08218	0.0632175	0.00131061
0.0170521	0.947328	0.0526893	0.0013169
0.0172007	0.884317	0.0589298	0.00131965
0.017529	0.961075	0.0508897	0.0013254
0.0176849	0.99957	0.0609974	0.00132798
0.0180011	0.834458	0.0480384	0.00133614
0.0181617	0.861777	0.0547299	0.00134057
0.0184779	0.825338	0.0473092	0.00134881
0.0186442	0.802739	0.0528531	0.00135289
0.0189499	0.872839	0.0478656	0.00136
0.0191146	0.771616	0.0510907	0.00136363
0.0194267	0.794206	0.043691	0.00137016
0.019599	0.726473	0.0497285	0.00137358
0.0198987	0.739208	0.0432298	0.00137924
0.02007	0.781761	0.0512893	0.00138345
0.0203712	0.742812	0.0413164	0.00139242
0.0205519	0.696964	0.0496921	0.00139752
0.0208474	0.62878	0.0393482	0.00140543
