GRASP V.7.15CD    Instrument:  ILL_d33 
  
***** Sanpol Worksheets I+, I- ***** 
Subtitle:  DD144 SA 20 A RF- 
Start: 17-Dec-16   21:13:06   End: 17-Dec-16   21:18:07 
  
Sample - (Flip off): Sum 94252+94254+94256+94258 , Loaded: 94252+94254+94256+94258 
***** Sanpol Worksheets I+, I- ***** 
Subtitle:  DD144 SA 20 A RF+ 
Start: 17-Dec-16   21:18:07   End: 17-Dec-16   21:23:07 
  
Sample + (Flip on): Sum 94253+94255+94257+94259 , Loaded: 94253+94255+94257+94259 
Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
Data Normalisation: Exposure Time (1) seconds 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Attenuator2: Up-scaling data by 1 
Background: Sum 94158:94163 , Loaded: 94158:94163 
Cadmium: No Cadmium Subtraction 
  
Transmissions:  Ts = 0.98372 +/- 0.0035605  Te = 0.71066 +/- 0.0023692 
Foreground Image Only :  I_corr = I_s 
  
Beam Centre1 :  Cx = 128.2559  Cy = 63.8996       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
  
***** Calibrations: ***** 
Data: Corrected for D33 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.2 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.00479456	1.06714	0.125089	0.00113382
0.00517782	1.15053	0.12884	0.00113795
0.00527372	0.91893	0.109056	0.00113879
0.00564901	0.715563	0.10792	0.00114157
0.00575077	0.9043	0.100679	0.0011422
0.00612614	0.84669	0.108622	0.00114422
0.00622288	0.829278	0.0968853	0.00114467
0.00659743	0.849704	0.103781	0.0011462
0.0066973	0.768131	0.0813735	0.00114717
0.00707455	0.705381	0.0943241	0.00115367
0.00717837	0.761325	0.0793603	0.0011552
0.00754589	0.789171	0.0890443	0.00115992
0.00764673	0.654624	0.0752051	0.00116106
0.00802292	0.715665	0.0841936	0.0011648
0.00812577	0.629996	0.0702954	0.00116571
0.00849431	0.520125	0.0763185	0.00116864
0.00860176	0.649349	0.0650097	0.0011694
0.00897134	0.735233	0.0810065	0.00117321
0.00907481	0.656535	0.0664563	0.00117535
0.00944276	0.526726	0.0736196	0.00118212
0.00955095	0.491862	0.0573311	0.0011839
0.00991971	0.48104	0.0644302	0.00118937
0.0100301	0.512993	0.057531	0.00119085
0.0104002	0.471302	0.0599566	0.00119536
0.0105121	0.640983	0.0614588	0.0011966
0.010876	0.333478	0.0561763	0.00120031
0.0109851	0.466628	0.0530463	0.00120134
0.0113545	0.398412	0.051799	0.00120826
0.0114683	0.419544	0.0517954	0.00121071
0.0118264	0.446069	0.0516401	0.00121775
0.0119447	0.359073	0.0474392	0.00121988
0.0123044	0.385877	0.047469	0.00122584
0.0124208	0.363508	0.0508768	0.00122762
0.0127793	0.315892	0.0430187	0.00123269
0.0129008	0.422654	0.0505833	0.00123429
0.0132539	0.338751	0.0421992	0.00123861
0.0133809	0.287569	0.0434538	0.00124096
0.0137286	0.262267	0.0398754	0.00124945
0.01386	0.343593	0.0444235	0.00125241
0.0142032	0.264979	0.0379652	0.0012596
0.0143336	0.326622	0.0429282	0.00126214
0.0146777	0.27956	0.0368275	0.0012684
0.0148138	0.312602	0.0429421	0.00127071
0.0151523	0.224727	0.0365533	0.0012761
0.0152927	0.233016	0.0383845	0.0012782
0.0156267	0.25563	0.0352851	0.00128414
0.0157666	0.23278	0.0384724	0.00128792
0.0161012	0.218085	0.0339286	0.00129636
0.0162468	0.222994	0.0369484	0.0012998
0.0165755	0.19945	0.0306245	0.00130709
0.0167273	0.194852	0.0356678	0.00131025
0.0170474	0.182299	0.0303751	0.00131653
0.0171959	0.175136	0.0361158	0.00131928
0.0175242	0.164499	0.0280395	0.00132503
0.01768	0.205684	0.0354949	0.00132762
0.0179961	0.130124	0.0268667	0.00133577
0.0181566	0.186425	0.0332431	0.0013402
0.0184728	0.109278	0.0269584	0.00134843
0.018639	0.142253	0.0290506	0.00135252
0.0189447	0.127283	0.0265133	0.00135963
0.0191093	0.146859	0.0294831	0.00136325
0.0194213	0.202071	0.027414	0.00136978
0.0195935	0.13358	0.028512	0.0013732
0.0198932	0.108958	0.0245999	0.00137886
0.0200644	0.130224	0.0291966	0.00138307
0.0203655	0.0994387	0.0231815	0.00139203
0.0205462	0.104919	0.0283951	0.00139713
