# GRASP V.7.15CD    Instrument:  ILL_d33 
  
# ***** Sample, Backgrounds and Transmissions Data: ***** 
# Subtitle:  DD144 LA 0 A RF- 
# Start: 17-Dec-16   18:56:50   End: 17-Dec-16   19:01:50 
  
# Foreground: Sum 94231:94234 , Loaded: 94231:94234 
# Background: Sum 94166:94171 , Loaded: 94166:94171 
# Cadmium: No Cadmium Subtraction 
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Data Normalisation: Exposure Time (1) seconds 
# Attenuator: 0 is In.  Attenuation factor 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator2: is Out 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
  
# Beam Centre1 :  Cx = 128.2559  Cy = 63.8996       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Transmissions:  Ts = 1.0034 +/- 0.0019488  Te = 0.70578 +/- 0.0012672 
# Transmissions Thickness Correction is:  on 
# Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
# ***** Calibrations: ***** 
# Data: Corrected for D33 Detector Paralax 
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
# Data: Divided by Volume 0.2 cm3 
# Solid Angle Correction: 
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 1 
# Applying Default Instrument Mask 
# Applying User Defined Mask 
# Applying NanInf Mask 
# Intensity units are:  cm-1 \\ \Delta\Omega  
  
# ***** Analysis ***** 
# Averaging I vs. Q.  Bin size:  2 [Pixel(s)] 
 
 
# Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0208221	0.322288	0.0047146	0.00312592
0.0237754	0.219556	0.00420849	0.00316372
0.0264603	0.166999	0.00398795	0.00319606
0.0290488	0.119338	0.00335934	0.00323466
0.0316867	0.0978324	0.00303651	0.00327677
0.0344207	0.0932535	0.00275626	0.00331737
0.0371929	0.0962325	0.00263476	0.00337165
0.0399987	0.110549	0.00266985	0.00342415
0.0427624	0.128856	0.00272284	0.00347639
0.0454225	0.149939	0.00282055	0.0035359
0.0480106	0.154324	0.00272184	0.00358959
0.0507024	0.155264	0.00276815	0.00365195
0.0532655	0.1463	0.00261393	0.00371327
0.0558114	0.134949	0.00246385	0.00377134
0.0583969	0.116589	0.0022824	0.00383976
0.0610491	0.093363	0.00213602	0.00390548
0.0635967	0.0744809	0.00198011	0.00397326
0.0661067	0.056525	0.001876	0.00404116
0.0686525	0.0427599	0.00175377	0.00399637
0.0711974	0.0295168	0.00162774	0.00414451
0.0737298	0.0215709	0.00156456	0.00429193
0.0762477	0.0211997	0.00151977	0.00430955
0.0787897	0.0183434	0.00148412	0.00427563
0.0813184	0.0212224	0.00147986	0.00441286
0.0838339	0.027249	0.00150355	0.00454937
0.0863726	0.0289962	0.0014632	0.0045527
0.0889103	0.0314077	0.00145588	0.00468647
0.0916365	0.032308	0.00137097	0.0046832
0.0943702	0.0339729	0.00139746	0.00482291
0.097026	0.0312327	0.00135067	0.00495864
0.099645	0.0301699	0.00134707	0.00509249
0.10233	0.0270458	0.00126472	0.00517387
0.105094	0.0225376	0.00122853	0.00516741
0.107828	0.0204681	0.00121437	0.00530183
0.110503	0.0160686	0.00120512	0.00527514
0.11314	0.0141678	0.00117535	0.00540104
0.11577	0.0120577	0.00115021	0.00552659
0.118389	0.0115013	0.00114409	0.00565159
0.120989	0.010547	0.00113192	0.00577573
0.1236	0.0103293	0.00110313	0.00590036
0.126203	0.00929147	0.00110612	0.00602462
0.128774	0.00846807	0.00109342	0.00614736
0.131333	0.0116445	0.0010961	0.0061149
0.133904	0.0111302	0.00107061	0.00623464
0.136496	0.0109515	0.00107245	0.0061905
0.139024	0.0106711	0.00105992	0.00630515
0.141536	0.0102263	0.00105486	0.00641908
0.144184	0.00975976	0.000991749	0.00653915
0.146881	0.0100951	0.000995886	0.00666148
0.149535	0.00871112	0.000980936	0.00678182
0.152115	0.00815984	0.000995759	0.00689884
0.154827	0.00824125	0.000922055	0.00697432
0.157586	0.00392429	0.000943854	0.00709859
0.159565	0.00584933	0.00134412	0.00718772
