# GRASP V.7.09CD    Instrument:  ILL_d33

# ***** Sanpol Worksheets I+, I- *****
# Subtitle:  DD67 50 A Rf-
# Start: 09-Jun-16   02:37:20   End: 09-Jun-16   02:47:20

# Sample - (Flip off):  3529 , Loaded: 3508, 3511, 3514, 3517, 3520, 3523, 3526,3529
# ***** Sanpol Worksheets I+, I- *****
# Subtitle:  DD67 50 A Rf+
# Start: 09-Jun-16   02:47:20   End: 09-Jun-16   02:57:21

# Sample + (Flip on):  3530 , Loaded: 3509, 3512, 3515, 3518, 3521, 3524,3527, 3530
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Background:  2354 , Loaded: 2352+2353+2354
# Cadmium:  2340 , Loaded: 2339+2340
# Applying cadmium SANS data correction:  I = I - I_cd

# Transmissions:  Ts = 0.9987 +/- 0.0025947  Te = 0.81 +/- 0
# Foreground Image Only :  I_corr = I_s

# Beam Centre1 :  Cx = 128.7054  Cy = 65.1542       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]

# ***** Calibrations: *****
# Data: Corrected for D33 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.1 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 9
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q


0.0167323	4.20204	0.0920458	0.00276504
0.0183245	3.98869	0.0834092	0.00278494
0.0188237	3.65408	0.135911	0.00279153
0.0203989	3.30461	0.0676343	0.00280825
0.0209157	2.96631	0.122603	0.00281271
0.0224677	2.61547	0.0542954	0.00283436
0.0230022	2.41324	0.108734	0.00284292
0.024532	2.16949	0.0478933	0.00286336
0.0250566	1.85326	0.116633	0.00286925
0.0265953	1.60395	0.038487	0.00289244
0.0271495	1.40691	0.103527	0.00290281
0.028656	1.21316	0.0320192	0.00292691
0.029242	1.16568	0.0970988	0.00293496
0.0307151	0.903589	0.0279161	0.00295871
0.0313369	0.743743	0.0796355	0.00297187
0.0327739	0.585102	0.0226046	0.00299836
0.0341878	0.411415	0.0426845	0.00302013
0.0349263	0.37822	0.0208752	0.00303497
0.0362745	0.307234	0.0358434	0.003065
0.0370067	0.223089	0.0189787	0.0030794
0.0383836	0.171684	0.0280674	0.00310346
0.0391096	0.157181	0.0180005	0.0031181
0.0404498	0.168185	0.0263876	0.00315067
0.0411821	0.0922554	0.016257	0.00316657
0.0425997	0.0970238	0.0242167	0.00319416
0.0432543	0.128507	0.0163873	0.00320704
0.0446508	0.120246	0.0239376	0.00324361
0.045328	0.174434	0.0169867	0.00325959
0.0467237	0.184066	0.0228553	0.00328949
0.047389	0.202093	0.0177283	0.00330246
0.0487543	0.19083	0.0230449	0.00334017
0.0494357	0.223954	0.0172501	0.00335755
0.0508291	0.210157	0.0216649	0.00339001
0.0515174	0.265474	0.0179591	0.00340469
0.052882	0.302782	0.0224018	0.00344274
0.0535548	0.30739	0.0190937	0.00346105
0.0549339	0.327761	0.0219411	0.00349556
0.0556159	0.368535	0.0195265	0.00351129
0.0570296	0.374726	0.0209395	0.00355084
0.0577005	0.376391	0.0198333	0.00357012
0.0591419	0.338889	0.0180915	0.00360832
0.0598004	0.36914	0.0227249	0.00362445
0.0612131	0.360128	0.0171814	0.00366462
0.0618988	0.396074	0.0242432	0.00368521
0.063281	0.362403	0.016336	0.00372373
0.0639993	0.343217	0.0230349	0.00374232
0.0653341	0.3362	0.0154411	0.00378064
0.066094	0.32431	0.0244028	0.00380442
0.0673857	0.283123	0.0145104	0.00374193
0.0681403	0.298548	0.0247846	0.00378383
0.0694502	0.251395	0.0134771	0.00385657
0.0703076	0.210896	0.0234686	0.00390418
0.0715135	0.213287	0.0130227	0.00397115
0.0726119	0.196626	0.0198764	0.00403214
0.0736501	0.175637	0.012961	0.00408979
0.0747595	0.131357	0.0178366	0.00401852
0.075728	0.139135	0.0123341	0.00407058
0.0768578	0.154441	0.0178052	0.00413131
0.0778055	0.130207	0.0122782	0.00418225
0.0789485	0.083549	0.0157293	0.00411961
0.0798677	0.102865	0.0120806	0.00416757
0.0810331	0.079454	0.0149184	0.00420678
0.0819554	0.0661155	0.0114673	0.00425466
0.083146	0.0740127	0.0146212	0.00431647
0.084026	0.0633555	0.011387	0.00436216
0.0852029	0.0856828	0.0144612	0.00442325
0.0860807	0.0616414	0.0112381	0.00446883
0.0872574	0.0555149	0.0138068	0.00438776
