#File generated by ModelExp v0.6.9
#Generated at 2019-01-06 10:50:31.501933

#[[Data]] saxs
#r / nm	SLD / 1e-6 A-2
0.0	52.1122
3.89943565	52.1122
3.89943565	41.8489
5.89943565	41.8489
5.89943565	8.52
7.349435650000001	8.52
7.349435650000001	8.01
17.34943565	8.01
17.34943565	8.01
7.349435650000001	8.01
7.349435650000001	8.52
5.89943565	8.52
5.89943565	41.8489
3.89943565	41.8489
3.89943565	52.1122
0.0	52.1122
0.0	8.52
2.1	8.52
2.1	8.01
12.1	8.01

#[[Data]] sans_sa
#r / nm	SLD / 1e-6 A-2
0.0	8.34845
3.89943565	8.34845
3.89943565	6.9992
5.89943565	6.9992
5.89943565	0.078
7.349435650000001	0.078
7.349435650000001	5.664000000000001
17.34943565	5.664000000000001
17.34943565	5.664000000000001
7.349435650000001	5.664000000000001
7.349435650000001	0.078
5.89943565	0.078
5.89943565	6.9992
3.89943565	6.9992
3.89943565	8.34845
0.0	8.34845
0.0	0.078
2.1	0.078
2.1	5.664000000000001
12.1	5.664000000000001

#[[Data]] sans_la
#r / nm	SLD / 1e-6 A-2
0.0	8.34845
3.89943565	8.34845
3.89943565	6.9992
5.89943565	6.9992
5.89943565	0.078
7.349435650000001	0.078
7.349435650000001	5.664000000000001
17.34943565	5.664000000000001
17.34943565	5.664000000000001
7.349435650000001	5.664000000000001
7.349435650000001	0.078
5.89943565	0.078
5.89943565	6.9992
3.89943565	6.9992
3.89943565	8.34845
0.0	8.34845
0.0	0.078
2.1	0.078
2.1	5.664000000000001
12.1	5.664000000000001
