#File generated by ModelExp v0.6.9
#Generated at 2019-01-18 13:42:40.786358
#Fit range: 0.02 .. 0.5

#[[Data]] sa
#r / nm	SLD / 1e-6 A-2
0.0	8.34845
2.8050364710810043	8.34845
2.8050364710810043	6.9992
6.11129719	6.9992
6.11129719	0.078
7.52129719	0.078
7.52129719	5.664000000000001
17.521297190000002	5.664000000000001

#[[Data]] la
#r / nm	SLD / 1e-6 A-2
0.0	8.34845
2.8050364710810043	8.34845
2.8050364710810043	6.9992
6.11129719	6.9992
6.11129719	0.078
7.52129719	0.078
7.52129719	5.664000000000001
17.521297190000002	5.664000000000001
