#File generated by ModelExp v0.6.9
#Read datafile: ../../experimental_data/DD144_0A_nuc_SA.dat
#Read datafile: ../../experimental_data/DD144_0A_nuc_LA.dat
#Started Fit at 2019-01-15 18:35:04.507872
#Finished Fit at 2019-01-15 20:13:08.051137
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 49
#    # data points      = 252
#    # variables        = 5
#    chi-square         = 18.1535753
#    reduced chi-square = 0.07349626
#    Akaike info crit   = -652.901513
#    Bayesian info crit = -635.254367
#[[Variables]]
#    particleSize:     61.14664 (fixed)
#    dShell:           22.3252395 +/- 2.26607971 (10.15%) (init = 27.06844)
#    dSurfactant:      23.3678172 +/- 1.19314844 (5.11%) (init = 14.94481)
#    pVal:             2.176356 (fixed)
#    sldCore:          8.34845e-06 (fixed)
#    sldShell:         6.9992e-06 (fixed)
#    sldSurfactant:    7.8e-08 (fixed)
#    sldSolvent:       5.664e-06 (fixed)
#    sigParticleSize:  0.07531189 (fixed)
#    i0:               0.01180180 +/- 0.00177388 (15.03%) (init = 0.03685254)
#    bg:               0.00305446 +/- 1.9136e-04 (6.26%) (init = 0.00136043)
#    orderHermite:     10 (fixed)
#    orderLegendre:    10 (fixed)
#    i0Oleic:          0.81677467 +/- 0.05671924 (6.94%) (init = 0.2083864)
#    rOleic:           21 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(dSurfactant, i0)      = -0.942
#    C(dSurfactant, bg)      =  0.626
#    C(i0, i0Oleic)          = -0.625
#    C(i0, bg)               = -0.574
#    C(dSurfactant, i0Oleic) =  0.437
#    C(dShell, i0Oleic)      =  0.173
#    C(dShell, bg)           = -0.116

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.0200269	0.363151	0.00862212	0.411943987381305
0.0202692	0.351213	0.00868336	0.3970564269953372
0.020501	0.333959	0.00820765	0.38297516064856896
0.0207499	0.331874	0.00838782	0.3680976423182587
0.0209806	0.3268	0.00815025	0.35453940464714323
0.0212265	0.307937	0.00804654	0.34039217819650414
0.0214554	0.298767	0.00795203	0.3274933075651405
0.0216999	0.277514	0.00776989	0.3140436140050571
0.0219303	0.271095	0.0075783	0.3016568448089943
0.0221749	0.263086	0.00750455	0.28884492778776916
0.0224054	0.250983	0.00737425	0.27707832170792407
0.0226521	0.243503	0.00727875	0.26482581855643345
0.0228841	0.235779	0.00720558	0.2536212838663377
0.0231299	0.219843	0.00689796	0.24209280617069895
0.0233609	0.219977	0.00696097	0.23157629416794898
0.0236068	0.208554	0.00694355	0.22072863269579587
0.0238401	0.1879	0.00667407	0.2107608904316825
0.0240854	0.186437	0.00659626	0.20062826958455277
0.024316	0.178335	0.00637812	0.19142252010936547
0.0245602	0.180136	0.00648782	0.18201040463942056
0.0247902	0.175554	0.00634495	0.17347311757752312
0.0250359	0.161152	0.00631942	0.164709120060182
0.0252663	0.167116	0.00623473	0.1567996379590156
0.0255107	0.149601	0.00609004	0.14876038340723807
0.0257437	0.145089	0.00592652	0.1414088275029087
0.0259888	0.144664	0.00594263	0.13402625901980794
0.0262196	0.134599	0.00595547	0.1273801688540561
0.0264621	0.121398	0.00581836	0.12073628687391849
0.0266923	0.116264	0.00573633	0.11472730839372987
0.0269386	0.118468	0.00556345	0.10864229945470963
0.0271716	0.113	0.0056806	0.103184614775181
0.0274151	0.109635	0.00546508	0.09780918520764759
0.0276475	0.10568	0.00541221	0.09296942875618948
0.027892	0.0962518	0.00531078	0.08819926832925952
