#File generated by ModelExp v0.6.9
#Read datafile: ../../experimental_data/DD144_0A_nuc_SA.dat
#Read datafile: ../../experimental_data/DD144_0A_nuc_LA.dat
#Started Fit at 2019-01-15 17:06:58.045041
#Iteration 45
#[[Variables]]
#    particleSize:     61.14664 (fixed)
#    dShell:           9.73096920 (init = 27.06844)
#    dSurfactant:      20.0103629 (init = 14.94481)
#    pVal:             2.176356 (fixed)
#    sldCore:          8.34845e-06 (fixed)
#    sldShell:         6.9992e-06 (fixed)
#    sldSurfactant:    7.8e-08 (fixed)
#    sldSolvent:       5.664e-06 (fixed)
#    sigParticleSize:  0.07531189 (fixed)
#    i0:               0.02134437 (init = 0.03685254)
#    bg:               0.00297668 (init = 0.00136043)
#    orderHermite:     10 (fixed)
#    orderLegendre:    10 (fixed)
#    i0Oleic:          0.10371923 (init = 0.2083864)
#    rOleic:           21 (fixed)
#    dTheta_sa:        0.0021 (fixed)
#    wavelength:       5.9984 (fixed)
#    dWavelength:      0.04247 (fixed)
#    dTheta_la:        0.0038 (fixed)

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.0200269	0.363151	0.00862212	0.3484020578150761
0.0202692	0.351213	0.00868336	0.33698172961259587
0.020501	0.333959	0.00820765	0.3262030523332017
0.0207499	0.331874	0.00838782	0.31482219213253054
0.0209806	0.3268	0.00815025	0.3044259329651197
0.0212265	0.307937	0.00804654	0.29354651320079844
0.0214554	0.298767	0.00795203	0.283582618451654
0.0216999	0.277514	0.00776989	0.27315114511479127
0.0219303	0.271095	0.0075783	0.26349984333663073
0.0221749	0.263086	0.00750455	0.25347652713162544
0.0224054	0.250983	0.00737425	0.24422052180900547
0.0226521	0.243503	0.00727875	0.23455143975487042
0.0228841	0.235779	0.00720558	0.22566045691459208
0.0231299	0.219843	0.00689796	0.21664043592383855
0.0233609	0.219977	0.00696097	0.2082272912607341
0.0236068	0.208554	0.00694355	0.19952414769007057
0.0238401	0.1879	0.00667407	0.19149121209866543
0.0240854	0.186437	0.00659626	0.1833015968201541
0.024316	0.178335	0.00637812	0.17582710362731674
0.0245602	0.180136	0.00648782	0.1681558450777587
0.0247902	0.175554	0.00634495	0.16117864944919466
0.0250359	0.161152	0.00631942	0.15399378497247462
0.0252663	0.167116	0.00623473	0.14749050425430726
0.0255107	0.149601	0.00609004	0.1408605370659859
0.0257437	0.145089	0.00592652	0.13478229619503415
0.0259888	0.144664	0.00594263	0.12865963208093967
0.0262196	0.134599	0.00595547	0.12313345630202291
0.0264621	0.121398	0.00581836	0.1175930754337033
0.0266923	0.116264	0.00573633	0.1125715427480105
0.0269386	0.118468	0.00556345	0.10747177574013868
0.0271716	0.113	0.0056806	0.10289027922134812
0.0274151	0.109635	0.00546508	0.09836656824082045
0.0276475	0.10568	0.00541221	0.09428805824885447
0.027892	0.0962518	0.00531078	0.09025989136336093
0.0281244	0.0869908	0.00537823	0.08678891167169905
0.0283674	0.0947823	0.00528165	0.08328173796940905
0.0285987	0.088893	0.00511968	0.08017233302618242
0.0288427	0.0829986	0.0051698	0.07714382534794752
0.0290764	0.0822562	0.00523686	0.07446790366952068
0.0293187	0.0806516	0.00510722	0.071943082823955
0.0295509	0.0835917	0.00517951	0.06972771749452066
0.0297949	0.0794969	0.004932	0.06764949931250788
0.0300282	0.0750785	0.00504646	0.06585967890513258
0.0302702	0.075948	0.00502932	0.06424211102860812
0.0305045	0.0747702	0.00529498	0.06286483079691596
0.0307431	0.0739399	0.00545342	0.06168772328542256
0.0309785	0.0696052	0.00574781	0.06070607687778737
0.0312149	0.0702559	0.00576253	0.05993388062832351
0.0314555	0.0648517	0.0058619	0.05932391867250189
0.0316948	0.0871453	0.00616728	0.05892656142230423
0.0319299	0.0748189	0.00625383	0.05869360907374558
0.0321696	0.0609513	0.00632329	0.058655694372155794
0.0324084	0.0552774	0.00644303	0.05876861829197956
0.0326461	0.0654691	0.0065803	0.05914177688709665
0.0328848	0.0627834	0.00678439	0.059578279093715894
