#File generated by ModelExp v0.6.9
#Generated at 2019-01-15 09:29:38.762924

#[[Data]] sa
#r / nm	SLD / 1e-6 A-2
0.0	8.34845
2.7031315403761424	8.34845
2.7031315403761424	6.9992
6.284553811553768	6.9992
6.284553811553768	0.078
7.73622011231957	0.078
7.73622011231957	5.664000000000001
17.736220112319568	5.664000000000001
17.736220112319568	5.664000000000001
7.73622011231957	5.664000000000001
7.73622011231957	0.078
6.284553811553768	0.078
6.284553811553768	6.9992
2.7031315403761424	6.9992
2.7031315403761424	8.34845
0.0	8.34845
0.0	0.078
2.1	0.078
2.1	5.664000000000001
12.1	5.664000000000001

#[[Data]] la
#r / nm	SLD / 1e-6 A-2
0.0	8.34845
2.7031315403761424	8.34845
2.7031315403761424	6.9992
6.284553811553768	6.9992
6.284553811553768	0.078
7.73622011231957	0.078
7.73622011231957	5.664000000000001
17.736220112319568	5.664000000000001
17.736220112319568	5.664000000000001
7.73622011231957	5.664000000000001
7.73622011231957	0.078
6.284553811553768	0.078
6.284553811553768	6.9992
2.7031315403761424	6.9992
2.7031315403761424	8.34845
0.0	8.34845
0.0	0.078
2.1	0.078
2.1	5.664000000000001
12.1	5.664000000000001
