#File generated by ModelExp v0.6.9
#Generated at 2019-01-15 17:29:49.793153

#[[Data]] sa
#r / nm	SLD / 1e-6 A-2
0.0	8.34845
4.295021378913404	8.34845
4.295021378913404	6.9992
6.114663800000001	6.9992
6.114663800000001	0.078
7.85616038639304	0.078
7.85616038639304	5.664000000000001
17.85616038639304	5.664000000000001
17.85616038639304	5.664000000000001
7.85616038639304	5.664000000000001
7.85616038639304	0.078
6.114663800000001	0.078
6.114663800000001	6.9992
4.295021378913404	6.9992
4.295021378913404	8.34845
0.0	8.34845
0.0	0.078
2.1	0.078
2.1	5.664000000000001
12.1	5.664000000000001

#[[Data]] la
#r / nm	SLD / 1e-6 A-2
0.0	8.34845
4.295021378913404	8.34845
4.295021378913404	6.9992
6.114663800000001	6.9992
6.114663800000001	0.078
7.85616038639304	0.078
7.85616038639304	5.664000000000001
17.85616038639304	5.664000000000001
17.85616038639304	5.664000000000001
7.85616038639304	5.664000000000001
7.85616038639304	0.078
6.114663800000001	0.078
6.114663800000001	6.9992
4.295021378913404	6.9992
4.295021378913404	8.34845
0.0	8.34845
0.0	0.078
2.1	0.078
2.1	5.664000000000001
12.1	5.664000000000001
