#File generated by ModelExp v0.6.9
#Read datafile: ../../experimental_data/50A/DD144_50A_20deg_LA_rfm.dat
#Read datafile: ../../experimental_data/50A/DD144_50A_20deg_LA_rfp.dat
#Read datafile: ../../experimental_data/50A/DD144_50A_20deg_SA_rfm.dat
#Read datafile: ../../experimental_data/50A/DD144_50A_20deg_SA_rfp.dat
#Started Fit at 2019-01-17 13:36:41.900271
#Iteration 14
#[[Variables]]
#    particleSize:      61.14664 (fixed)
#    dShell:            35.67576 (fixed)
#    dSurfactant:       14.1 (fixed)
#    pVal:              2.176356 (fixed)
#    sldCore:           8.34845e-06 (fixed)
#    sldShell:          6.9992e-06 (fixed)
#    sldSurfactant:     7.8e-08 (fixed)
#    sldSolvent:        5.664e-06 (fixed)
#    sigParticleSize:   0.07531189 (fixed)
#    i0:                0.05571249 (fixed)
#    bg:                0 (fixed)
#    orderHermite:      10 (fixed)
#    orderLegendre:     10 (fixed)
#    magSldCore:        9.2116e-07 (init = 1e-07)
#    magSldShell:       1.1413e-06 (fixed)
#    magSldSurfactant:  0 (fixed)
#    magSldSolvent:     0 (fixed)
#    xi:                1 (fixed)
#    sin2alpha:         0.9974654 (fixed)
#    polarization_p:    1 (fixed)
#    dTheta_la:         0.00270328 (fixed)
#    wavelength:        5.9984 (fixed)
#    dWavelength:       0.04247 (fixed)
#    polarization_m:   -1 (fixed)
#    dTheta_sa:         0.00150471 (fixed)
#Fit range: 0.02 .. 0.5

#[[Data]] p_la
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.020824	0.62066	0.00713243	0.867027045919562
0.0237776	0.436061	0.00618902	0.6256839405169449
0.0264627	0.319235	0.00597279	0.4389425057114304
0.0290515	0.20423	0.00459443	0.29745453238431513
0.0316896	0.133005	0.0037587	0.19017398363197324
0.0344239	0.0892401	0.00307956	0.11846774670796069
0.0371963	0.064873	0.00270794	0.08089972095346806
0.0400024	0.057957	0.00258885	0.07023745795235185
0.0427664	0.0703055	0.00262664	0.07712321111104398
0.0454267	0.0815917	0.00268759	0.09171617860141255
0.048015	0.0943882	0.00265284	0.10701739741985225
0.0507071	0.105916	0.00277842	0.11920262811259379
0.0532704	0.104411	0.00266366	0.12486890869615255
0.0558166	0.10606	0.00257822	0.12379664680224424
0.0584023	0.0976944	0.00244273	0.11617747200889657
0.0610548	0.0815718	0.00231818	0.10326088539627493
0.0636026	0.0710105	0.00219487	0.08778458563136907
0.0661128	0.0542299	0.00208005	0.07152131817832212
0.0686588	0.040571	0.00194074	0.055731599446110835
0.071204	0.0322393	0.00182697	0.04198737833164215
0.0737366	0.0235023	0.00174788	0.03118820350444065
0.0762548	0.0183937	0.00166715	0.023611652194476397
0.0787969	0.0172395	0.00163752	0.019029222594592495
0.081326	0.0169798	0.00161463	0.01705719109654946
0.0838417	0.0176518	0.00161086	0.017003662208455887
0.0863806	0.0225569	0.00158742	0.018133109419455156
0.0889186	0.0198982	0.00155166	0.019781982967337658
0.0916449	0.0231729	0.001475	0.021377827434105774
0.094379	0.0244542	0.00150172	0.02238112196328894
0.097035	0.0227709	0.00145514	0.022547653635035424
0.0996542	0.0227511	0.00145648	0.02190733260947839
0.10234	0.0211593	0.001373	0.02052828639349756
0.105104	0.0218068	0.00135889	0.018629201115807417
0.107838	0.017696	0.0013314	0.016526648980642114
0.110513	0.0134357	0.00131946	0.014502375834288421
0.113151	0.0127849	0.0012925	0.01272336518001828
0.115781	0.0110895	0.0012662	0.011278033107795401
0.1184	0.0101626	0.001257	0.010210594169721995
0.121	0.00782092	0.00123584	0.009507147553807853
0.123612	0.00829557	0.00120762	0.009104529089071188
0.126215	0.00874078	0.00121818	0.008924831262387538
0.128786	0.00728896	0.00120052	0.008882890561415778
0.131345	0.00705866	0.00118754	0.008904511009190583
0.133917	0.00807452	0.00116742	0.008903688858131347
0.136509	0.00797169	0.00116931	0.008843923225922461
0.139037	0.00971617	0.00116552	0.008696543595574329
0.14155	0.00852241	0.00115609	0.00846173140983694
0.144197	0.00898432	0.00109097	0.008121205695186696
0.146895	0.00779474	0.00108841	0.007686197950170196
0.149549	0.00509674	0.00106503	0.007204701848512782
0.152129	0.00703697	0.00109279	0.006697393770473931
