#Superball Data generated at 2018-12-11 10:27:27.244052
#[[Parameters]]
#particleSize	52.7699958
#dShell	18.9209031
#dSurfactant	12.9039191
#pVal	3.62864056
#sldCore_saxs	5.1603083643504985e-05
#sldShell_saxs	4.1109701165821045e-05
#sldSurfactant_saxs	8.52e-06
#sldSolvent_saxs	8.01e-06
#sigParticleSize	0.05866237
#sigD	0.25
#i0_saxs	0.02342544
#bg_saxs	0
#orderHermite	5
#orderLegendre	10
#i0Oleic	0.62844234
#rOleic	21
#x	0.27099955
#sldCore_sans	5.573651905071117e-06
#sldShell_sans	6.613858659284558e-06
#sldSurfactant_sans	7.8e-08
#sldSolvent_sans	5.664e-06
#i0_sans	0.22815262
#bg_sans	0.00940958
#
#[[Data]] saxs
#r	sld
0.0	5.1603083643504985e-05
33.8490927	5.1603083643504985e-05
33.8490927	4.1109701165821045e-05
52.769995800000004	4.1109701165821045e-05
52.769995800000004	8.52e-06
65.6739149	8.52e-06
65.6739149	8.01e-06
165.6739149	8.01e-06
165.6739149	8.01e-06
65.6739149	8.01e-06
65.6739149	8.52e-06
52.769995800000004	8.52e-06
52.769995800000004	4.1109701165821045e-05
33.8490927	4.1109701165821045e-05
33.8490927	5.1603083643504985e-05
0.0	5.1603083643504985e-05
0.0	8.52e-06
21.0	8.52e-06
21.0	8.01e-06
121.0	8.01e-06
#
#[[Data]] sans_sa
#r	sld
0.0	5.573651905071117e-06
33.8490927	5.573651905071117e-06
33.8490927	6.613858659284558e-06
52.769995800000004	6.613858659284558e-06
52.769995800000004	7.8e-08
65.6739149	7.8e-08
65.6739149	5.664e-06
165.6739149	5.664e-06
165.6739149	5.664e-06
65.6739149	5.664e-06
65.6739149	7.8e-08
52.769995800000004	7.8e-08
52.769995800000004	6.613858659284558e-06
33.8490927	6.613858659284558e-06
33.8490927	5.573651905071117e-06
0.0	5.573651905071117e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
#
#[[Data]] sans_la
#r	sld
0.0	5.573651905071117e-06
33.8490927	5.573651905071117e-06
33.8490927	6.613858659284558e-06
52.769995800000004	6.613858659284558e-06
52.769995800000004	7.8e-08
65.6739149	7.8e-08
65.6739149	5.664e-06
165.6739149	5.664e-06
165.6739149	5.664e-06
65.6739149	5.664e-06
65.6739149	7.8e-08
52.769995800000004	7.8e-08
52.769995800000004	6.613858659284558e-06
33.8490927	6.613858659284558e-06
33.8490927	5.573651905071117e-06
0.0	5.573651905071117e-06
0.0	7.8e-08
21.0	7.8e-08
21.0	5.664e-06
121.0	5.664e-06
