#File generated by ModelExp v0.7.2
#Read datafile: ../../rawdata/dd144_dry_BGLinSub.xy
#Started Fit at 2019-01-17 13:06:01.078213
#Finished Fit at 2019-01-17 13:06:01.095430
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 7
#    # data points      = 352
#    # variables        = 5
#    chi-square         = 175830.764
#    reduced chi-square = 506.716900
#    Akaike info crit   = 2197.20342
#    Bayesian info crit = 2216.52157
#[[Variables]]
#    Ms1:  11.3264645 +/- 0.10902757 (0.96%) (init = 11.32661)
#    mu1:  25600.9638 +/- 264.306611 (1.03%) (init = 25600.65)
#    Ms2:  12.9819615 +/- 0.08829429 (0.68%) (init = 12.98191)
#    mu2:  3604.77401 +/- 64.8894282 (1.80%) (init = 3604.686)
#    chi:  3.12331096 +/- 0.04801167 (1.54%) (init = 3.123265)
#    T:    295 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms1, mu1) = -0.923
#    C(Ms1, mu2) = -0.879
#    C(mu2, chi) =  0.769
#    C(mu1, Ms2) =  0.728
#    C(mu1, mu2) =  0.688
#    C(Ms1, Ms2) = -0.650
#    C(Ms1, chi) = -0.519
#    C(mu1, chi) =  0.363
#    C(Ms2, chi) = -0.287
#    C(Ms2, mu2) =  0.255

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-1.8998	-29.0815299088	0.005	-29.307302825681717
-1.8002	-28.7918031402	0.005	-28.944501787440462
-1.7998	-28.7934735014	0.005	-28.943033214548485
-1.7002	-28.4953159017	0.005	-28.57414759643992
-1.6999	-28.4916399747	0.005	-28.573026263175045
-1.6001	-28.179216983	0.005	-28.19615973547452
-1.5997	-28.173966676	0.005	-28.1946328900086
-1.5001	-27.8483644973	0.005	-27.80984182640051
-1.4998	-27.8475886	0.005	-27.80866802894072
-1.4001	-27.5168657	0.005	-27.412955129256535
-1.3998	-27.4989086	0.005	-27.41174629316038
-1.3001	-27.1373057	0.005	-27.00306088746788
-1.2999	-27.1230043	0.005	-27.002226058114875
-1.2001	-26.7320957	0.005	-26.576907521403875
-1.1998	-26.7134686	0.005	-26.575600515781048
-1.1	-26.27869	0.005	-26.12960222328441
-1.0998	-26.2686086	0.005	-26.128683969619235
-1.0	-25.79206	0.005	-25.655826055240937
-0.9998	-25.7724786	0.005	-25.654846145758974
-0.95	-25.53256	0.005	-25.40619386008255
-0.9498	-25.5035286	0.005	-25.40517557531954
-0.9	-25.25099	0.005	-25.146179329367726
-0.8998	-25.2275486	0.005	-25.14511610542781
-0.8499	-24.9534543	0.005	-24.873395581259487
-0.8498	-24.9389386	0.005	-24.872837399508025
-0.7999	-24.6427343	0.005	-24.58664533074923
-0.7997	-24.6196329	0.005	-24.585465587441675
-0.7499	-24.3080943	0.005	-24.282514288532685
-0.7498	-24.2851586	0.005	-24.281886305414748
-0.7	-23.95288	0.005	-23.957990640158258
-0.6998	-23.9270186	0.005	-23.956641780955255
-0.6499	-23.5732243	0.005	-23.606275676233693
-0.6498	-23.5442986	0.005	-23.605543808861707
-0.5999	-23.1631243	0.005	-23.223124396357335
-0.5998	-23.1176986	0.005	-23.222320764126774
-0.5499	-22.7101843	0.005	-22.799533571079024
-0.5497	-22.6621729	0.005	-22.79774415404737
-0.4999	-22.2122943	0.005	-22.324320326469422
-0.4998	-22.1647586	0.005	-22.323308851302905
-0.4499	-21.6585943	0.005	-21.78236390103189
-0.4498	-21.6047386	0.005	-21.781200476333105
-0.3998	-21.0373386	0.005	-21.151820173653224
-0.3997	-20.9841829	0.005	-21.150456886320757
-0.3499	-20.3239943	0.005	-20.409187468557292
-0.3497	-20.2689529	0.005	-20.40593520094351
-0.2999	-19.4925443	0.005	-19.513717821302173
-0.2997	-19.4389229	0.005	-19.509771825777364
-0.2499	-18.4890643	0.005	-18.418929147153722
-0.2497	-18.4396529	0.005	-18.414072093472058
-0.1998	-17.2445686	0.005	-17.05925008417293
-0.1996	-17.1958772	0.005	-17.05318888958332
-0.1499	-15.6067343	0.005	-15.352680437675067
-0.1497	-15.5538429	0.005	-15.344943838118025
-0.0999	-13.2637143	0.005	-13.092551617965912
-0.0998	-13.2133386	0.005	-13.087171551492698
-0.0973	-13.1098061	0.005	-12.951126288723087
-0.0973	-13.0648461	0.005	-12.951126288723087
-0.0948	-12.9570736	0.005	-12.811987213793998
-0.0948	-12.9142236	0.005	-12.811987213793998
-0.0923	-12.7608111	0.005	-12.66955547998563
-0.0923	-12.8029511	0.005	-12.66955547998563
-0.0898	-12.6432086	0.005	-12.52361129416039
-0.0898	-12.6000286	0.005	-12.52361129416039
-0.0873	-12.4792461	0.005	-12.373911386812434
-0.0873	-12.4364261	0.005	-12.373911386812434
-0.085	-12.324675	0.005	-12.232639169470927
-0.0848	-12.2672236	0.005	-12.22018617843897
-0.0823	-12.0959011	0.005	-12.062136615829617
-0.0823	-12.1334211	0.005	-12.062136615829617
-0.0798	-11.9157786	0.005	-11.89943065437825
-0.0798	-11.9554386	0.005	-11.89943065437825
-0.0773	-11.7328661	0.005	-11.731699367525685
-0.0773	-11.7742861	0.005	-11.731699367525685
-0.075	-11.600405	0.005	-11.57259645918829
-0.0748	-11.5436436	0.005	-11.558532672925148
-0.0723	-11.3894911	0.005	-11.379474678143861
-0.0723	-11.3480411	0.005	-11.379474678143861
-0.0698	-11.1458586	0.005	-11.194018668261757
