#PNR generated at 2019-01-16 15:38:59.784524
#[[Parameters]]
#i0	1.0
#bg	1.3999999999999998e-07
#roughnessSubstrate	20.041031505537347
#roughnessSpacer	23.527612662946385
#roughnessShellCube1	14.57008761856568
#roughnessCubeShell1	22.31642583659761
#roughnessShellPMMA	0.0
#roughnessPMMAShell	0.0
#roughnessShellCube2	14.57008761856568
#roughnessCubeShell2	22.31642583659761
#roughnessShellAir	0
#a	93.84
#packingDensity1	0.506358957399347
#packingDensity2	0.506358957399347
#sldSubstrate	2.079e-06
#sldCore	6.194e-06
#sldSpacer	4.186e-06
#sldShellLower	7.8e-08
#sldShellTop	7.8e-08
#sldPMMA	1.059e-06
#thicknessSpacer	24.25716072643032
#thicknessShell1Lower	36.60100058114454
#thicknessShell1Top	39.6
#thicknessPMMA	124.0
#thicknessShell2Lower	36.60100058114454
#thicknessShell2Top	0
#magSldCore1	9.199999999999997e-07
#magSldCore2	-9.200000000000001e-07
#polarization_p	1
#polarizationEfficiency	0.98
#gamma	0
#dTheta	0.0003
#wavelength	5
#dWavelength	0.025
#polarization_m	-1
#
#[[Data]]
#z	rho_nuc	rho_mag
-187.68	2.079e-06	0.0
-184.92381551207788	2.079e-06	0.0
-182.16763102415572	2.079e-06	0.0
-179.4114465362336	2.079e-06	0.0
-176.65526204831144	2.079e-06	0.0
-173.89907756038932	2.079e-06	0.0
-171.1428930724672	2.0789999999999995e-06	0.0
-168.38670858454503	2.0789999999999995e-06	0.0
-165.6305240966229	2.0789999999999986e-06	0.0
-162.87433960870075	2.0789999999999965e-06	0.0
-160.11815512077862	2.0789999999999914e-06	0.0
-157.36197063285647	2.07899999999998e-06	0.0
-154.60578614493434	2.0789999999999525e-06	0.0
-151.84960165701222	2.078999999999889e-06	0.0
-149.09341716909006	2.0789999999997475e-06	0.0
-146.33723268116793	2.07899999999944e-06	0.0
-143.5810481932458	2.078999999998797e-06	0.0
-140.82486370532365	2.07899999999751e-06	0.0
-138.06867921740152	2.078999999995078e-06	0.0
-135.31249472947937	2.0789999999908524e-06	0.0
-132.55631024155724	2.0789999999845018e-06	0.0
-129.8001257536351	2.0789999999778043e-06	0.0
-127.04394126571296	2.0789999999801446e-06	0.0
-124.28775677779083	2.079000000023527e-06	0.0
-121.53157228986868	2.0790000002006315e-06	0.0
-118.77538780194655	2.079000000756126e-06	0.0
-116.01920331402441	2.079000002296241e-06	0.0
-113.26301882610227	2.079000006251817e-06	0.0
-110.50683433818013	2.079000015867155e-06	0.0
-107.75064985025799	2.0790000382465754e-06	0.0
-104.99446536233586	2.0790000884668323e-06	0.0
-102.23828087441372	2.07900019761027e-06	0.0
-99.48209638649158	2.079000428031956e-06	0.0
-96.72591189856944	2.07900090160471e-06	0.0
-93.9697274106473	2.0790018506016806e-06	0.0
-91.21354292272517	2.079003706961629e-06	0.0
-88.45735843480303	2.0790072547820704e-06	0.0
-85.70117394688089	2.079013883930336e-06	0.0
-82.94498945895874	2.0790260004916173e-06	0.0
-80.1888049710366	2.0790476728120997e-06	0.0
-77.43262048311448	2.079085619653487e-06	0.0
-74.67643599519234	2.0791506773556137e-06	0.0
-71.9202515072702	2.0792599113796885e-06	0.0
-69.16406701934805	2.0794395564044462e-06	0.0
-66.40788253142591	2.0797289667050164e-06	0.0
-63.65169804350377	2.080185719587312e-06	0.0
-60.895513555581644	2.0808919213770327e-06	2.5859883168577407e-23
-58.1393290676595	2.0819616002327077e-06	7.757964950573223e-23
-55.38314457973735	2.0835488198469654e-06	3.361784811915063e-22
-52.62696009181522	2.085855810605498e-06	1.5774528732832218e-21
-49.870775603893094	2.0891400053715898e-06	6.904588806010167e-21
-47.11459111597094	2.093718425303764e-06	2.92992476299982e-20
-44.35840662804881	2.0999674545654547e-06	1.198346986031877e-19
-41.602222140126656	2.1083157658440375e-06	4.733910212839781e-19
-38.84603765220453	2.119228124011954e-06	1.8054336032974003e-18
-36.0898531642824	2.1331781172072655e-06	6.647955325445206e-18
-33.33366867636025	2.1506086339662406e-06	2.3635622897481726e-17
-30.57748418843812	2.1718801600763354e-06	8.113931414365324e-17
-27.821299700515965	2.197208666998973e-06	2.6896737770209836e-16
-25.065115212593838	2.226596862230789e-06	8.609753556908557e-16
-22.30893072467171	2.259764624920953e-06	2.6614922194014145e-15
-19.552746236749556	2.2960862282917744e-06	7.945573980921229e-15
-16.79656174882743	2.3345430859939302e-06	2.2909472413010504e-14
-14.040377260905274	2.373700910894271e-06	6.380002795584163e-14
-11.284192772983147	2.4117191023385614e-06	1.7162130314431662e-13
-8.52800828506102	2.446397814959595e-06	4.4596138160882623e-13
