[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,31221450.36,12/28/2018,4:39 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Double Layer thin concentration,SAMPLE_COMMENT
INFO,29.55,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31221464.64,20.0009995,-0.395818114280701,,,2,,,,21.0099998110533,,,,,,,20.0009995,20.0009995,-0.395818114280701,-0.395818114280701,,,13.038077,,,,-99999999,4369,20.0107,-0.395818114280701,,,,,,,,,,,,,,,,,,,,,,,20.0009995,,,,
sample offset = 36.28 mm touchdown = 16.1199998110533 mm,31221500.6,20.0031891,-0.129402071237564,7.42059829114596E-5,3.1822177513886E-7,1,0.999253354069792,40.0298881530762,1.99484012123961,20.9999997168779,0.000832248985355286,0.000151259199408237,0.25,2.98124398833088E-7,7.37778460824607E-5,6.56024165515859E-7,20.0031891,20.0031891,-0.137013956904411,-0.121790185570717,55.7543439052559,20.5174302653122,12.278775,0,0,0,40,4417,20.0107,-0.129402071237564,,,,,,,,,,,,,0,,,,0.0049,,,,,,20.0031891,,,,
,31221515.705,20.0021725,24.7721080780029,7.49181075174022E-5,3.51451950070401E-7,1,0.999253354069792,40.0298881530762,1.99470773367175,20.9999997168779,0.000840472991153166,0.000151067582537792,0.25,1.55388641736335E-7,7.44865989088443E-5,5.17596494211085E-7,20.0021725,20.0021725,23.0458946228027,26.4983215332031,55.7777927608328,20.5253997625003,12.658426,0,0,0,40,4449,20.008,24.7721080780029,,,,,,,,,,,,,0,,,,-0.0049,,,,,,20.0021725,,,,
,31221516.365,20.0021725,52.9340629577637,7.49617366070865E-5,3.37852927753719E-7,1,0.999253354069792,40.0298881530762,1.99478707653347,20.9999997168779,0.000841212723301945,0.00014993528366885,0.25,4.61694306191285E-8,7.45305581757429E-5,4.09277023886194E-7,20.0021725,20.0021725,26.4983215332031,79.3698043823242,56.0099364310444,20.524162660249,12.278775,0,0,0,40,4449,20.0079,52.9340629577637,,,,,,,,,,,,,0,,,,-0.0049,,,,,,20.0021725,,,,
,31221517.585,20.00182725,108.494129180908,7.40471328902989E-5,3.6390791600501E-7,1,0.999253354069792,40.0298881530762,1.99482586618584,20.9999997168779,0.000830457182357954,0.000150973192099121,0.25,3.00676556085768E-7,7.36200952568618E-5,6.58024154291845E-7,20.001482,20.0021725,79.3698043823242,137.618453979492,55.7152624792944,20.5266795479876,13.038077,0,0,0,40,4449,20.0078,108.494129180908,,,,,,,,,,,,,0,,,,-0.0049,,,,,,20.00182725,,,,
,31221518.82,20.00137045,167.416465759277,7.42102697807588E-5,3.40514896009569E-7,1,0.999253354069792,40.0298881530762,1.99478420508587,20.9999997168779,0.000832243002615345,0.000151465103355613,0.25,3.15614043505054E-7,7.37823602735553E-5,6.73828964901913E-7,20.0012589,20.001482,137.618453979492,197.214477539062,56.0607422847944,20.5266376572537,12.658426,0,0,0,40,4449,20.00775,167.416465759277,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.00137045,,,,
,31221520.085,20.0012589,229.684967041016,7.37900615269233E-5,3.30674873500009E-7,1,0.999253354069792,40.0298881530762,1.99487815600515,20.9999997168779,0.000827218220292941,0.000152592291389825,0.25,4.89856693475111E-7,7.33638767722129E-5,8.45215446038426E-7,20.0012589,20.0012589,197.214477539062,262.155456542969,56.2045619323329,20.5238944226612,12.658426,0,0,0,40,4449,20.0077,229.684967041016,,,,,,,,,,,,,0,,,,0,,,,,,20.0012589,,,,
,31221521.25,20.0012484,289.439697265625,7.3596680276632E-5,3.66510717022444E-7,1,0.999253354069792,40.0298881530762,1.99478688277835,20.9999997168779,0.000826160122664526,0.000145744811530082,0.25,-8.55360319342265E-8,7.31745578411402E-5,2.72372796666029E-7,20.0012379,20.0012589,262.155456542969,316.723937988281,55.7598153048905,20.5270969576285,12.658426,0,0,0,40,4449,20.0076,289.439697265625,,,,,,,,,,,,,0,,,,0,,,,,,20.0012484,,,,
,31221522.42,20.0012379,349.383712768555,7.37318178789643E-5,3.0912318544038E-7,1,0.999253354069792,40.0298881530762,1.99489863217248,20.9999997168779,0.000826326992210985,0.000153881847561787,0.25,6.14524200361739E-7,7.33056845914814E-5,9.69264678649943E-7,20.0012379,20.0012379,316.723937988281,382.043487548828,55.802023244929,20.5227895426749,12.278775,0,0,0,40,4449,20.0077,349.383712768555,,,,,,,,,,,,,0,,,,0.00245,,,,,,20.0012379,,,,
,31221523.695,20.00126365,414.261489868164,7.33201490199524E-5,3.05376901146978E-7,1,0.999253354069792,40.0298881530762,1.99491939000191,20.9999997168779,0.000822013921300665,0.000151389988262328,0.25,4.65242199602598E-7,7.28972884458808E-5,8.19056168488161E-7,20.0012379,20.0012894,382.043487548828,446.4794921875,56.0396383147752,20.5266280290321,13.038077,0,0,0,40,4449,20.00815,414.261489868164,,,,,,,,,,,,,0,,,,0.00245,,,,,,20.00126365,,,,
,31221524.955,20.00162795,476.56721496582,7.28864124458531E-5,3.0467496952784E-7,1,0.999253354069792,40.0298881530762,1.9948646271064,20.9999997168779,0.000817730535866931,0.000147120086803889,0.25,1.61950869031931E-7,7.24676972438406E-5,5.15608529792514E-7,20.0012894,20.0019665,446.4794921875,506.654937744141,56.4288893173521,20.5270067180896,12.278775,0,0,0,40,4449,20.0085,476.56721496582,,,,,,,,,,,,,0,,,,0.00245,,,,,,20.00162795,,,,
,31221526.14,20.0019665,534.040939331055,7.30742665794197E-5,3.0724344311184E-7,1,0.999253354069792,40.0298881530762,1.99471190269683,20.9999997168779,0.000819270283420924,0.000150359466024675,0.25,4.17949973924588E-7,7.2653401454703E-5,7.71255900051846E-7,20.0019665,20.0019665,506.654937744141,561.426940917969,55.8090579016021,20.5283073859517,12.658426,0,0,0,40,4449,20.00885,534.040939331055,,,,,,,,,,,,,0,,,,0.0049,,,,,,20.0019665,,,,
,31221527.305,20.00203705,591.440185546875,7.28308619844958E-5,3.32211748768523E-7,1,0.999253354069792,40.0298881530762,1.99472371035399,20.9999997168779,0.00081700134757963,0.000147307378244516,0.25,1.88920656748065E-7,7.24126830871577E-5,5.42559410884906E-7,20.0019665,20.0021076,561.426940917969,621.453430175781,55.7215155074482,20.5268696092332,12.658426,0,0,0,40,4449,20.00915,591.440185546875,,,,,,,,,,,,,0,,,,0.00245,,,,,,20.00203705,,,,
,31221528.52,20.0021076,651.280609130859,7.27913671238234E-5,3.87112505274835E-7,1,0.999253354069792,40.0298881530762,1.99468030201783,20.9999997168779,0.000816008634463396,0.00015023576826392,0.25,4.56890548181174E-7,7.23722957818366E-5,8.09019813818818E-7,20.0021076,20.0021076,621.453430175781,681.107788085938,56.157664221179,20.5290567921032,13.038077,0,0,0,40,4449,20.0093,651.280609130859,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.0021076,,,,
,31221529.665,20.00232885,708.509979248047,7.24986944916196E-5,3.84298668357263E-7,1,0.999253354069792,40.0298881530762,1.99470643892795,20.9999997168779,0.000812632515045337,0.000150238607146023,0.25,5.08718931785325E-7,7.2081227125898E-5,8.59336451808492E-7,20.0021076,20.0025501,681.107788085938,735.912170410156,56.0974788251982,20.5301047516517,13.038077,0,0,0,40,4449,20.00935,708.509979248047,,,,,,,,,,,,,0,,,,0,,,,,,20.00232885,,,,
