[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,31282269.83,12/29/2018,9:33 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Double Layer thin concentration,SAMPLE_COMMENT
INFO,29.55,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31282285.06,250.0021515,-0.411041855812073,,,2,,,,19.9099998170137,,,,,,,250.0021515,250.0021515,-0.411041855812073,-0.411041855812073,,,27.464817,,,,-99999999,4369,250.0464,-0.411041855812073,,,,,,,,,,,,,,,,,,,,,,,250.0021515,,,,
sample offset = 36.28 mm touchdown = 15.0199998170137 mm,31282320.51,250.0021057,-0.274027913808823,1.47657723401709E-5,3.60304799207463E-7,1,0.999253354069792,40.0298881530762,2.00882621714858,19.8999997228384,0.000169047036813894,2.43295387269992E-5,0.25,-4.25055671153753E-7,1.47920288722595E-5,-4.13593511952294E-7,250.0021057,250.0021057,-0.274027913808823,-0.274027913808823,55.6175589143905,20.4963641908922,27.844467,0,0,0,40,4417,250.0453,-0.274027913808823,,,,,,,,,,,,,0,,,,0,,,,,,250.0021057,,,,
,31282334.985,249.999176,15.8676652908325,1.67867221066942E-5,4.28585836811102E-7,1,0.999253354069792,40.0298881530762,2.0088894432093,19.8999997228384,0.000192560462772322,2.55231072650276E-5,0.25,-6.70834224858963E-7,1.68167291905436E-5,-6.58132941683188E-7,249.999176,249.999176,12.5379257202148,19.1974048614502,55.7254236500444,20.4996828830481,27.464817,0,0,0,40,4449,250.0522,15.8676652908325,,,,,,,,,,,,,0,,,,-0.0049,,,,,,249.999176,,,,
,31282335.69,249.99879455,44.5617341995239,1.69711647034019E-5,3.43871946493189E-7,1,0.999253354069792,40.0298881530762,2.00884719561303,19.8999997228384,0.000192998909454865,3.54520100789212E-5,0.25,1.68805369552919E-7,1.70008014586481E-5,1.83132313139649E-7,249.9984131,249.999176,19.1974048614502,69.9260635375977,55.6707096536982,20.4990716458296,27.464817,0,0,0,40,4449,250.05155,44.5617341995239,,,,,,,,,,,,,0,,,,-0.0049,,,,,,249.99879455,,,,
,31282336.805,249.9984131,93.8663864135742,1.87598890733722E-5,3.64442328409401E-7,1,0.999253354069792,40.0298881530762,2.00890806803681,19.8999997228384,0.000214706411952282,3.13497220721299E-5,0.25,-5.01595070379449E-7,1.87932186972512E-5,-4.86965617475068E-7,249.9984131,249.9984131,69.9260635375977,117.806709289551,55.6378812558905,20.5009579893577,27.464817,0,0,0,40,4449,250.05155,93.8663864135742,,,,,,,,,,,,,0,,,,-0.00245,,,,,,249.9984131,,,,
,31282337.875,249.9973297,147.528453826904,2.05254780905817E-5,3.98701950661029E-7,1,0.999253354069792,40.0298881530762,2.00895707097874,19.8999997228384,0.000234245546632505,3.81842368386559E-5,0.25,-2.07941337066678E-7,2.05616635323088E-5,-1.91337041025236E-7,249.9962463,249.9984131,117.806709289551,177.250198364258,55.7269869070828,20.4990652116794,27.464817,0,0,0,40,4449,250.0512,147.528453826904,,,,,,,,,,,,,0,,,,0,,,,,,249.9973297,,,,
,31282339.05,249.9962463,207.048233032227,2.30967223412258E-5,3.4626131321257E-7,1,0.999253354069792,40.0298881530762,2.00899514569005,19.8999997228384,0.000263650482872421,4.26453611736975E-5,0.25,-2.62344211284647E-7,2.31374651082565E-5,-2.43709730713593E-7,249.9962463,249.9962463,177.250198364258,236.846267700195,55.7895171886213,20.4999114675377,27.464817,0,0,0,40,4449,250.05095,207.048233032227,,,,,,,,,,,,,0,,,,0,,,,,,249.9962463,,,,
,31282340.15,249.9968338,261.881721496582,2.46894495184794E-5,3.72460342181124E-7,1,0.999253354069792,40.0298881530762,2.00894954517061,19.8999997228384,0.000281794414995124,4.57641294447133E-5,0.25,-2.64725053723966E-7,2.47329883784756E-5,-2.44778164894248E-7,249.9962463,249.9974213,236.846267700195,286.917175292969,55.7230787644867,20.4994231317641,27.085165,0,0,0,40,4449,250.05155,261.881721496582,,,,,,,,,,,,,0,,,,0,,,,,,249.9968338,,,,
,31282341.28,249.9974213,316.930419921875,2.65005079261514E-5,5.04106167489937E-7,1,0.999253354069792,40.0298881530762,2.00904803235108,19.8999997228384,0.000303244598528998,4.47098046274627E-5,0.25,-6.71540950867449E-7,2.65475602283641E-5,-6.50810576011042E-7,249.9974213,249.9974213,286.917175292969,346.943664550781,55.6441342840443,20.4987033090069,27.464817,0,0,0,40,4449,250.05005,316.930419921875,,,,,,,,,,,,,0,,,,-0.00245,,,,,,249.9974213,,,,
,31282342.555,249.99769595,379.277755737305,2.95391846966443E-5,3.51264202653806E-7,1,0.999253354069792,40.0298881530762,2.00903909303777,19.8999997228384,0.0003361415856278,6.06366008077294E-5,0.25,1.9945158513099E-7,2.95908482383166E-5,2.24222202393542E-7,249.9974213,249.9979706,346.943664550781,411.611846923828,55.7246420215251,20.4985844771512,27.464817,0,0,0,40,4449,250.04965,379.277755737305,,,,,,,,,,,,,0,,,,-0.00245,,,,,,249.99769595,,,,
