[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,31149303.94,12/27/2018,8:36 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Double Layer thin concentration,SAMPLE_COMMENT
INFO,29.55,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31161788.78,10.0010548,99.4873580932617,,,2,,,,20.9500002855062,,,,,,,10.0010548,10.0010548,99.4873580932617,99.4873580932617,,,11.139823,,,,-99999999,4373,9.9962,99.4873580932617,,,,,,,,,,,,,,,,,,,,,,,10.0010548,,,,
,31161880.835,10.0019655,99.4873580932617,-1.36744987750715E-7,2.39471348174232E-7,1,0.999253354069792,40.0298881530762,1.99757860548992,20.9400001913309,-1.32829482483152E-6,-1.44691450254753E-6,0.25,-1.04466588050269E-7,-1.35455957045378E-7,-1.04526225349999E-7,10.0019655,10.0019655,99.4873580932617,99.4873580932617,56.2420801012559,20.4866768780436,11.899124,0,0,0,40,4369,9.9966,99.4873580932617,,,,,,,,,,,,,0,,,,0,,,,,,10.0019655,,,,
,31161887.595,10.0066147,99.4873580932617,-5.37075788645855E-7,2.61550152969244E-7,1,0.999253354069792,40.0298881530762,1.99760921765751,20.9400001913309,-5.47709981264646E-6,-4.21850152648922E-6,0.25,-2.79993054578532E-7,-5.3264147180335E-7,-2.80975521104119E-7,10.0066147,10.0066147,99.4873580932617,99.4873580932617,56.269437099429,20.4866627340327,11.519473,0,0,0,40,4370,10.0136,99.4873580932617,,,,,,,,,,,,,0,,,,0,,,,,,10.0066147,,,,
,31161909.185,10.5666056,99.4873580932617,-1.43795353385709E-7,2.7865284244218E-7,1,0.999253354069792,40.0298881530762,1.99750576136934,20.9400001913309,-1.13296855682319E-6,-3.00680310382234E-6,0.25,-2.42026049095808E-7,-1.41802282512488E-7,-2.4132958322802E-7,10.5666056,10.5666056,99.4873580932617,99.4873580932617,56.2952308405636,20.4898575866536,11.899124,0,0,0,40,4370,10.67,99.4873580932617,,,,,,,,,,,,,0,,,,0,,,,,,10.5666056,,,,
,31161929.525,11.0108805,99.4873580932617,-9.0584171856325E-8,3.11821208405766E-7,1,0.999253354069792,40.0298881530762,1.99756178455306,20.9400001913309,-8.55857994599771E-7,-1.09383741797315E-6,0.25,-8.12471168811444E-8,-8.96720328494735E-8,-8.12173192153465E-8,11.0108805,11.0108805,99.4873580932617,99.4873580932617,56.4648442292367,20.4944112576524,11.519473,0,0,0,40,4370,11.13125,99.4873580932617,,,,,,,,,,,,,0,,,,0,,,,,,11.0108805,,,,
,31161948.065,11.5236979,99.4873580932617,-1.15846649989923E-7,2.82541510745889E-7,1,0.999253354069792,40.0298881530762,1.99736149192515,20.9400001913309,-5.40208708271214E-7,-4.51983291385292E-6,0.25,-3.81654602395887E-7,-1.13340487922174E-7,-3.80020788364266E-7,11.5236979,11.5236979,99.4873580932617,99.4873580932617,56.1646988778521,20.4940124467117,11.899124,0,0,0,40,4370,11.5948,99.4873580932617,,,,,,,,,,,,,0,,,,-0.0049,,,,,,11.5236979,,,,
,31161968.835,12.033618,99.4873580932617,-2.51308773276029E-8,2.7701663666513E-7,1,0.999253354069792,40.0298881530762,1.99732149159316,20.9400001913309,2.40957209364692E-7,-2.99732358985676E-6,0.25,-2.62278710387884E-7,-2.37215604757151E-8,-2.60892911403809E-7,12.033618,12.033618,99.4873580932617,99.4873580932617,56.6242964471598,20.4941656981213,11.519473,0,0,0,40,4370,12.1287,99.4873580932617,,,,,,,,,,,,,0,,,,0,,,,,,12.033618,,,,
,31161988.945,12.5102196,99.4873580932617,-1.18894955654205E-7,2.77606625251785E-7,1,0.999253354069792,40.0298881530762,1.99727008529054,20.9400001913309,-1.45576060755833E-6,4.37370952273315E-7,0.25,6.00369271131577E-8,-1.18501235212408E-7,5.9118499310095E-8,12.5102196,12.5102196,99.4873580932617,99.4873580932617,56.5031440266791,20.4928476728225,11.519473,0,0,0,40,4370,12.6372,99.4873580932617,,,,,,,,,,,,,0,,,,0,,,,,,12.5102196,,,,
,31162009.56,13.0229449,99.4873580932617,-3.25689543146327E-7,2.498426640315E-7,1,0.999253354069792,40.0298881530762,1.9974471962199,20.9400001913309,-3.17766358120167E-6,-3.36571930587032E-6,0.25,-2.41674048532968E-7,-3.22651946677459E-7,-2.41855649840633E-7,12.9965019,13.0493879,99.4873580932617,99.4873580932617,56.5985027060252,20.498372277846,11.899124,0,0,0,40,4370,13.13755,99.4873580932617,,,,,,,,,,,,,0,,,,0,,,,,,13.0229449,,,,
,31162029.125,13.5308504,99.4873580932617,-4.37284076044774E-7,3.16811399869632E-7,1,0.999253354069792,40.0298881530762,1.99717470452744,20.9500007331371,-4.27367996784728E-6,-4.4745472811738E-6,0.25,-3.20582275392627E-7,-4.33223954051438E-7,-3.20848123531617E-7,13.5308504,13.5308504,99.4873580932617,99.4873580932617,56.4671891147944,20.4984104403356,12.278775,0,0,0,40,4370,13.6419,99.4873580932617,,,,,,,,,,,,,0,,,,0.0049,,,,,,13.5308504,,,,
