[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,15761660.88,04/18/2018,3:48 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,35.28,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15761694.925,50.0111084,0.31326025724411,6.09185438511813E-5,1.83636867772273E-7,1,0.999253354069792,40.0298881530762,1.99095110290778,16.4700025320053,0.000661064009523042,9.25176334938917E-5,0.25,-2.39729487489786E-6,6.08374994203285E-5,-2.01067725049434E-6,50.0111084,50.0111084,0.290338784456253,0.336181730031967,51.6703348922747,18.6652888041543,7.648531,0,0,0,4417,50.0498,0.31326025724411,,,,,,,,,,,,,,,,,13.378378,,,,,,50.0111084,,,,
,15761710.435,50.0138245,35.9398002624512,6.14981534194995E-5,2.42042247786707E-7,1,0.999253354069792,40.0298881530762,1.99099489844639,16.4700025320053,0.000667298766246789,9.37710174322357E-5,0.25,-2.38559485462636E-6,6.14159544716131E-5,-1.99538545534215E-6,50.0138245,50.0138245,32.0100555419922,39.8695449829102,52.2088769420248,18.6691050903541,7.497232,0,0,0,4449,50.0407,35.9398002624512,,,,,,,,,,,,,,,,,12.252253,,,,,,50.0138245,,,,
,15761712.01,50.013916,110.250556945801,6.0877967487451E-5,1.81263541143963E-7,1,0.999253354069792,40.0298881530762,1.99104553748381,16.4800030738115,0.000660104929125328,9.54902502236207E-5,0.25,-2.1144319437144E-6,6.07950309621776E-5,-1.72855092409157E-6,50.013916,50.013916,110.250556945801,110.250556945801,51.7852342846016,18.6695813346363,7.648531,0,0,0,4449,50.0379,110.250556945801,,,,,,,,,,,,,,,,,12.252253,,,,,,50.013916,,,,
,15761712.705,50.01390645,142.585124969482,6.09363463969874E-5,2.56776923820727E-7,1,0.999253354069792,40.0298881530762,1.99101430049479,16.4800030738115,0.000660717720092637,9.5641662765657E-5,0.25,-2.11079508078419E-6,6.08533489014193E-5,-1.72454212201294E-6,50.0138969,50.013916,110.250556945801,174.919692993164,52.0955408067363,18.6702109631698,7.648531,0,0,0,4449,50.03965,142.585124969482,,,,,,,,,,,,,,,,,13.378378,,,,,,50.01390645,,,,
,15761714.96,50.0140266,256.940856933594,6.14218260389507E-5,1.86496966188164E-7,1,0.999253354069792,40.0298881530762,1.99094241479641,16.4700025320053,0.000666197336599121,9.50823013552805E-5,0.25,-2.24996006416824E-6,6.13390003013254E-5,-1.86042382073513E-6,50.0140266,50.0140266,249.485382080078,264.396331787109,51.9603190729093,18.669972107324,7.648531,0,0,0,4449,50.03895,256.940856933594,,,,,,,,,,,,,,,,,12.252253,,,,,,50.0140266,,,,
,15761715.585,50.0142612,289.310684204102,6.17044624016531E-5,2.42257700993392E-7,1,0.999253354069792,40.0298881530762,1.99101967760113,16.4800030738115,0.00066971523721603,9.31517213282122E-5,0.25,-2.48041441198655E-6,6.16226622300374E-5,-2.08873361745867E-6,50.0140266,50.0144958,264.396331787109,314.225036621094,52.0111249266593,18.6723512357992,7.6869264,0,0,0,4449,50.03895,289.310684204102,,,,,,,,,,,,,,,,,12.252253,,,,,,50.0142612,,,,
,15761716.67,50.0146179,341.819290161133,6.2205501917551E-5,3.0057877072647E-7,1,0.999253354069792,40.0298881530762,1.9910029147883,16.4700025320053,0.000674118786805587,9.96175446814933E-5,0.25,-1.9706410624046E-6,6.21197400211124E-5,-1.57660951165787E-6,50.0144958,50.01474,314.225036621094,369.413543701172,52.3980310436786,18.6716524297623,7.6869264,0,0,0,4449,50.0386,341.819290161133,,,,,,,,,,,,,,,,,12.252253,,,,,,50.0146179,,,,
,15761717.815,50.0147152,399.202743530273,6.23220752648785E-5,2.27717766593983E-7,1,0.999253354069792,40.0298881530762,1.99097001004314,16.4800030738115,0.000676029775625144,9.61538894702759E-5,0.25,-2.31297194328714E-6,6.22383117821158E-5,-1.9176615479685E-6,50.0146904,50.01474,369.413543701172,428.991943359375,51.7164509749093,18.6707683879427,7.5728815,0,0,0,4449,50.0379,399.202743530273,,,,,,,,,,,,,,,,,13.378378,,,,,,50.0147152,,,,
,15761719.955,50.0147743,506.41618347168,6.23152764632477E-5,1.74962235908647E-7,1,0.999253354069792,40.0298881530762,1.99094263042332,16.4800030738115,0.000676203961717283,9.47268345203317E-5,0.25,-2.44412075639851E-6,6.2232484388228E-5,-2.0486196079968E-6,50.0147743,50.0147743,503.810974121094,509.021392822266,51.9611007014286,18.6714800510437,7.497232,0,0,0,4449,50.04035,506.41618347168,,,,,,,,,,,,,,,,,13.378378,,,,,,50.0147743,,,,
,15761720.605,50.01470945,536.429306030273,6.24369214951788E-5,1.60952127010647E-7,1,0.999253354069792,40.0298881530762,1.99099543552596,16.4800030738115,0.000676872157029257,9.86279128615152E-5,0.25,-2.10426557447551E-6,6.23518760582687E-5,-1.70852032583296E-6,50.0146446,50.0147743,509.021392822266,563.837219238281,51.8493278231786,18.6703618155561,7.5728815,0,0,0,4449,50.0428,536.429306030273,,,,,,,,,,,,,,,,,13.378378,,,,,,50.01470945,,,,
