[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,31520424.83,01/01/2019,3:42 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Double Layer thin concentration,SAMPLE_COMMENT
INFO,27.44,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31520558.2,10.0019512,99.6243667602539,1.80115050032902E-5,3.2991769845007E-7,1,0.999253354069792,40.0298881530762,2.0080987690928,20.1099999248981,0.000203429567585937,3.61527708536222E-5,0.25,2.45000740132912E-9,1.79080689857573E-5,8.93023805517724E-8,10.0019512,10.0019512,99.6243667602539,99.6243667602539,57.3973270526791,20.6428648970487,11.899124,0,0,0,40,4369,9.9955,99.6243667602539,,,,,,,,,,,,,0,,,,0,,,,,,10.0019512,,,,
,31520565.685,10.0066853,99.6243667602539,1.80524864430101E-5,3.39071740292334E-7,1,0.999253354069792,40.0298881530762,2.00810040567376,20.1099999248981,0.000204121156258648,3.49478904975388E-5,0.25,-1.11506346219962E-7,1.79493645646831E-5,-2.38019754222155E-8,10.0066853,10.0066853,99.6243667602539,99.6243667602539,57.3762230826599,20.6426801103592,11.899124,0,0,0,40,4370,10.0099,99.6243667602539,,,,,,,,,,,,,0,,,,0.0049,,,,,,10.0066853,,,,
,31520585.345,10.521328,99.6243667602539,1.82481491349644E-5,2.96696315541201E-7,1,0.999253354069792,40.0298881530762,2.00804020936542,20.1099999248981,0.00020645469513413,3.46091306846713E-5,0.25,-1.76153989344678E-7,1.81442003206905E-5,-8.71346825719215E-8,10.521328,10.521328,99.6243667602539,99.6243667602539,56.8548768603329,20.6411117788015,12.278775,0,0,0,40,4370,10.6132,99.6243667602539,,,,,,,,,,,,,0,,,,0,,,,,,10.521328,,,,
,31520608.095,11.0246429,99.6243667602539,1.81144582923291E-5,2.78020522162081E-7,1,0.999253354069792,40.0298881530762,2.00801605821065,20.1099999248981,0.000204949289385223,3.43007016970281E-5,0.25,-1.79684371469434E-7,1.80112783558003E-5,-9.12894768881191E-8,11.0246429,11.0246429,99.6243667602539,99.6243667602539,57.2910255740638,20.6446663443315,11.899124,0,0,0,40,4370,11.1384,99.6243667602539,,,,,,,,,,,,,0,,,,-0.0049,,,,,,11.0246429,,,,
,31520627.575,11.5330257,99.6243667602539,1.82867502873744E-5,3.79024787975783E-7,1,0.999253354069792,40.0298881530762,2.00809703117639,20.1099999248981,0.000206495129705461,3.69441624845371E-5,0.25,2.36520631723209E-8,1.81815826497847E-5,1.11709852743879E-7,11.5330257,11.5330257,99.6243667602539,99.6243667602539,57.2667950899676,20.6428490483731,12.658426,0,0,0,40,4370,11.6201,99.6243667602539,,,,,,,,,,,,,0,,,,-0.0049,,,,,,11.5330257,,,,
,31520647.065,12.0537767,99.6243667602539,1.81083390923501E-5,4.05851232059291E-7,1,0.999253354069792,40.0298881530762,2.00804767173011,20.1099999248981,0.000204665028116554,3.5515472201285E-5,0.25,-7.10819420669128E-8,1.80046343750038E-5,1.66596124304678E-8,12.0537767,12.0537767,99.6243667602539,99.6243667602539,57.5192611016792,20.6427962435747,13.038077,0,0,0,40,4370,12.1372,99.6243667602539,,,,,,,,,,,,,0,,,,-0.0049,,,,,,12.0537767,,,,
,31520667.59,12.5334463,99.6243667602539,1.78033612650232E-5,3.80085099710327E-7,1,0.999253354069792,40.0298881530762,2.00803240582511,20.1099999248981,0.000201444300195434,3.36337885444564E-5,0.25,-1.83504057709301E-7,1.77019329015746E-5,-9.65872959820163E-8,12.5334463,12.5334463,99.6243667602539,99.6243667602539,57.3707516830253,20.6410320896471,12.278775,0,0,0,40,4370,12.6326,99.6243667602539,,,,,,,,,,,,,0,,,,0,,,,,,12.5334463,,,,
,31520688.36,13.0467749,99.6243667602539,1.8021099717954E-5,3.13855226796757E-7,1,0.999253354069792,40.0298881530762,2.00805964493945,20.1099999248981,0.000204017234342482,3.34439248088535E-5,0.25,-2.39014660544564E-7,1.79186669040566E-5,-1.5072860117934E-7,13.0467749,13.0467749,99.6243667602539,99.6243667602539,56.872072687756,20.6428347403854,12.658426,0,0,0,40,4370,13.153,99.6243667602539,,,,,,,,,,,,,0,,,,-0.0049,,,,,,13.0467749,,,,
,31520708.655,13.5536394,99.6243667602539,1.80711486376506E-5,3.3421730850872E-7,1,0.999253354069792,40.0298881530762,2.00807525777113,20.1099999248981,0.000204373626956191,3.47279450256643E-5,0.25,-1.34234966803383E-7,1.79679009910406E-5,-4.63097503130134E-8,13.5536394,13.5536394,99.6243667602539,99.6243667602539,57.525514129833,20.6407078153276,13.038077,0,0,0,40,4370,13.66865,99.6243667602539,,,,,,,,,,,,,0,,,,-0.0049,,,,,,13.5536394,,,,
,31520727.755,14.0449114,99.6243667602539,1.79541241179432E-5,2.95418396433689E-7,1,0.999253354069792,40.0298881530762,2.00812646394164,20.1099999248981,0.000202994180202418,3.48454376917539E-5,0.25,-1.03122762301271E-7,1.78513771129917E-5,-1.59407824471167E-8,14.0449114,14.0449114,99.6243667602539,99.6243667602539,57.0995265868522,20.6440265191806,12.658426,0,0,0,40,4370,14.1519,99.6243667602539,,,,,,,,,,,,,0,,,,0.00245,,,,,,14.0449114,,,,
,31520746.885,14.5260468,99.6243667602539,1.79991517078861E-5,3.44056157602725E-7,1,0.999253354069792,40.0298881530762,2.00807447878318,20.1099999248981,0.00020339278697876,3.55243673042038E-5,0.25,-5.09267413481738E-8,1.7895871285399E-5,3.61722003761096E-8,14.5260468,14.5260468,99.6243667602539,99.6243667602539,57.6044586102753,20.6440546733371,13.797379,0,0,0,40,4370,14.62735,99.6243667602539,,,,,,,,,,,,,0,,,,0.0049,,,,,,14.5260468,,,,
,31520767.305,15.0177813,99.6243667602539,1.79874437495224E-5,3.6618653932039E-7,1,0.999253354069792,40.0298881530762,2.00812283834037,20.1099999248981,0.00020312488187967,3.62903963082814E-5,0.25,1.89063323476909E-8,1.78838695634369E-5,1.0554700552085E-7,15.0177813,15.0177813,99.6243667602539,99.6243667602539,57.0846756449868,20.646366254489,13.797379,0,0,0,40,4370,15.13835,99.6243667602539,,,,,,,,,,,,,0,,,,-0.0049,,,,,,15.0177813,,,,
,31520787.855,15.5381584,99.6243667602539,1.82701946039373E-5,3.33717601140152E-7,1,0.999253354069792,40.0298881530762,2.0081543100322,20.1099999248981,0.000206732705911754,3.45408804310257E-5,0.25,-1.86241612357987E-7,1.81659557835835E-5,-9.70569183586213E-8,15.5381584,15.5381584,99.6243667602539,99.6243667602539,57.3090030300061,20.6451319727477,13.038077,0,0,0,40,4370,15.6572,99.6243667602539,,,,,,,,,,,,,0,,,,0,,,,,,15.5381584,,,,
,31520807.865,16.0397625,99.6243667602539,1.81114990805318E-5,3.10226976230369E-7,1,0.999253354069792,40.0298881530762,2.00809395721792,20.1099999248981,0.000204840030216601,3.47511782171667E-5,0.25,-1.39349332200851E-7,1.80079200652959E-5,-5.11997574242514E-8,16.0397625,16.0397625,99.6243667602539,99.6243667602539,56.9181887703906,20.6448448363562,13.417728,0,0,0,40,4370,16.16015,99.6243667602539,,,,,,,,,,,,,0,,,,0,,,,,,16.0397625,,,,
,31520828.215,16.5069447,99.6243667602539,1.7569020158356E-5,2.93114770052391E-7,1,0.999253354069792,40.0298881530762,2.00820314653433,20.1099999248981,0.000198967824181888,3.22862069233749E-5,0.25,-2.61407126568936E-7,1.7469126725023E-5,-1.75170968972519E-7,16.5069447,16.5069447,99.6243667602539,99.6243667602539,56.9385111118906,20.6408616534581,13.797379,0,0,0,40,4370,16.6685,99.6243667602539,,,,,,,,,,,,,0,,,,0,,,,,,16.5069447,,,,
