[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,31469421.42,12/31/2018,1:32 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Double Layer thin concentration,SAMPLE_COMMENT
INFO,27.44,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31469436.88,300.0158691,0.0456713177263737,,,2,,,,18.8399998405576,,,,,,,300.0158691,300.0158691,0.0456713177263737,0.0456713177263737,,,22.909004,,,,-99999999,4369,300.3095,0.0456713177263737,,,,,,,,,,,,,,,,,,,,,,,300.0158691,,,,
sample offset = 36.13 mm touchdown = 13.7999998405576 mm,31469474.12,300.0257263,0.053283205255866,8.31599162252879E-7,2.82938307059102E-7,1,0.999253354069792,40.0298881530762,2.00079719835812,18.7899991869926,1.0193495204886E-5,-2.82836330601433E-6,0.25,-3.93753786576561E-7,8.31834752272E-7,-3.93190105631889E-7,300.0250854,300.0263672,0.0456713177263737,0.0608950927853584,55.497188122429,20.5254998248517,23.288654,0,0,0,40,4417,300.29455,0.053283205255866,,,,,,,,,,,,,0,,,,0,,,,,,300.0257263,,,,
,31469489.365,300.0272827,19.6755723953247,1.81570067116221E-6,3.21507789685823E-7,1,0.999253354069792,40.0298881530762,2.0007297647496,18.7899991869926,2.1185781674441E-5,-5.48885218719644E-10,0.25,-3.14636542530121E-7,1.8158534225105E-6,-3.13422527625753E-7,300.0272827,300.0272827,16.3602294921875,22.9909152984619,55.4690494957366,20.5279361165051,22.529354,0,0,0,40,4449,300.2886,19.6755723953247,,,,,,,,,,,,,0,,,,0,,,,,,300.0272827,,,,
,31469490.06,300.0272827,46.5677003860474,4.07574252690495E-6,3.51380425911722E-7,1,0.999253354069792,40.0298881530762,2.0007131765756,18.7899991869926,4.74521819366066E-5,5.9685038847267E-7,0.25,-6.53474162265065E-7,4.0760503906926E-6,-6.5075067779595E-7,300.0272827,300.0272827,22.9909152984619,70.1444854736328,55.6550770833136,20.5291110016264,22.909004,0,0,0,40,4449,300.28955,46.5677003860474,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.0272827,,,,
,31469491.295,300.02705385,104.012298583984,9.05578012238028E-6,4.53138140202018E-7,1,0.999253354069792,40.0298881530762,2.00075469962707,18.7899991869926,0.000103247476518723,1.39505919488073E-5,0.25,-3.37503365682314E-7,9.05572505395346E-6,-3.31486508622498E-7,300.026825,300.0272827,70.1444854736328,137.880111694336,55.7129175937367,20.5286456784775,22.909004,0,0,0,40,4449,300.2903,104.012298583984,,,,,,,,,,,,,0,,,,0,,,,,,300.02705385,,,,
,31469492.415,300.026825,160.088073730469,1.33732805376225E-5,4.5247876332996E-7,1,0.999253354069792,40.0298881530762,2.0007852763335,18.7899991869926,0.000151325755540724,2.7233579124744E-5,0.25,8.69786074510094E-8,1.33728110505643E-5,9.58460570880996E-8,300.026825,300.026825,137.880111694336,182.296035766602,55.5995814584482,20.530818449207,22.529354,0,0,0,40,4449,300.2898,160.088073730469,,,,,,,,,,,,,0,,,,0,,,,,,300.026825,,,,
,31469493.525,300.02709965,214.845863342285,2.06924248448493E-5,3.56697214120813E-7,1,0.999253354069792,40.0298881530762,2.00074486747525,18.7899991869926,0.000234359012797839,4.0880667555186E-5,0.25,2.36244900631302E-8,2.06917717955067E-5,3.73485262022139E-8,300.026825,300.0273743,182.296035766602,247.395690917969,55.5909835447367,20.5283902263791,23.288654,0,0,0,40,4449,300.2878,214.845863342285,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.02709965,,,,
,31469494.795,300.0273743,277.355102539062,2.28193639168101E-5,3.65694065701833E-7,1,0.999253354069792,40.0298881530762,2.0006964757775,18.7899991869926,0.000259312303932761,4.00609289124271E-5,0.25,-4.17170500334845E-7,2.28189374956E-5,-4.02022140966565E-7,300.0273743,300.0273743,247.395690917969,307.314514160156,55.5519021187751,20.5304037771765,22.909004,0,0,0,40,4449,300.28655,277.355102539062,,,,,,,,,,,,,0,,,,0,,,,,,300.0273743,,,,
,31469496.97,300.0281677,384.638565063477,2.68764703311613E-5,3.90332223931997E-7,1,0.999253354069792,40.0298881530762,2.00076215077952,18.7899991869926,0.0003039784764384,5.55371640247584E-5,0.25,2.45957931803067E-7,2.68754783258906E-5,2.63776550508979E-7,300.0281677,300.0281677,377.143981933594,392.133148193359,55.8254721005059,20.5294588736648,22.909004,0,0,0,40,4449,300.2881,384.638565063477,,,,,,,,,,,,,0,,,,0.0049,,,,,,300.0281677,,,,
,31469497.665,300.0271759,419.591491699219,2.82342542717092E-5,4.37187314275672E-7,1,0.999253354069792,40.0298881530762,2.00076293391531,18.7899991869926,0.000319406027806649,5.79354046102368E-5,0.25,2.22412371356294E-7,2.82332370232389E-5,2.4113221269345E-7,300.0261841,300.0281677,392.133148193359,447.049835205078,55.6925952522367,20.5302196352929,22.909004,0,0,0,40,4449,300.2884,419.591491699219,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.0271759,,,,
