[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,15643993.59,04/16/2018,7:07 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15644014.65,5.0100031,99.6931686401367,2.42613399927605E-5,2.11475464066455E-7,1,0.999253354069792,40.0298881530762,2.00552774233274,15.6900031119585,0.00026646122673556,2.23363101435365E-5,0.25,-2.20608432290922E-6,2.41223884741127E-5,-2.13938128293737E-6,5.0093155,5.0106907,99.6931686401367,99.6931686401367,52.670037768371,18.6663469287388,3.0815613,0,0,0,4417,4.9561,99.6931686401367,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0100031,,,,
,15644031.26,5.0068855,154.429153442383,2.58825732599768E-5,2.06915478784478E-7,1,0.999253354069792,40.0298881530762,2.00552171057338,15.6900031119585,0.000284640973893198,2.17023759830218E-5,0.25,-2.55024952008682E-6,2.57347849436734E-5,-2.47789449791835E-6,5.0068855,5.0068855,152.246276855469,156.612030029297,52.5582648901209,18.6683373511889,3.1437492,0,0,0,4449,4.959,154.429153442383,,,,,,,,,,,,,,,,,13.378378,,,,,,5.0068855,,,,
,15644033.04,5.0098391,238.679893493652,3.19785196914036E-5,2.15106546511117E-7,1,0.999253354069792,40.0298881530762,2.00542271580636,15.6900031119585,0.000349543702211694,3.88555711431136E-5,0.25,-2.03682415574985E-6,3.17934861496587E-5,-1.95397244068124E-6,5.0098391,5.0098391,233.79377746582,243.566009521484,52.7247517647171,18.6663396607629,3.1437492,0,0,0,4449,4.95945,238.679893493652,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0098391,,,,
,15644033.67,5.01093745,270.820816040039,3.53142689120779E-5,3.62269962028172E-7,1,0.999253354069792,40.0298881530762,2.00545533595312,15.6900031119585,0.00038636359643122,4.09094548474712E-5,0.25,-2.4343299064936E-6,3.51103553868545E-5,-2.34171263837444E-6,5.0098391,5.0120358,243.566009521484,298.075622558594,52.5082406648902,18.6676191649515,3.15953075,0,0,0,4449,4.9594,270.820816040039,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01093745,,,,
,15644034.75,5.0119283,325.477691650391,3.83948894748355E-5,2.73959560974421E-7,1,0.999253354069792,40.0298881530762,2.00545002784898,15.6900031119585,0.000419112514841015,4.9898165820218E-5,0.25,-2.145319969026E-6,3.81720992803896E-5,-2.047544324251E-6,5.0118208,5.0120358,298.075622558594,352.879760742188,52.6223584286979,18.669255776909,3.14390615,0,0,0,4449,4.9598,325.477691650391,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0119283,,,,
,15644035.93,5.01201415,382.76057434082,4.15304975799111E-5,2.85895840070887E-7,1,0.999253354069792,40.0298881530762,2.00552000952124,15.6900031119585,0.000452642487473003,5.80237926661754E-5,0.25,-1.94603856856395E-6,4.1288707986312E-5,-1.84243773437313E-6,5.0118208,5.0122075,352.879760742188,412.641387939453,52.5934381734863,18.672757493041,3.1125,0,0,0,4449,4.9599,382.76057434082,,,,,,,,,,,,,,,,,13.378378,,,,,,5.01201415,,,,
,15644037.195,5.0118189,445.273376464844,4.68376329496276E-5,2.07802465565592E-7,1,0.999253354069792,40.0298881530762,2.00545086176669,15.6900031119585,0.000510294294835134,6.64281611846417E-5,0.25,-2.10305880061078E-6,4.65647736587487E-5,-1.98668657015077E-6,5.0114303,5.0122075,412.641387939453,477.905364990234,52.4269512988902,18.6684963794012,3.1125,0,0,0,4449,4.9597,445.273376464844,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0118189,,,,
,15644039.455,5.0112882,557.530914306641,4.88327518228171E-5,2.37694803288832E-7,1,0.999253354069792,40.0298881530762,2.00547950006167,15.6900031119585,0.00053237413910039,6.73550576388226E-5,0.25,-2.36890620306576E-6,4.85487226455003E-5,-2.24638582304135E-6,5.0112882,5.0112882,552.413513183594,562.648315429687,52.7419475921402,18.6665555107008,3.0509303,0,0,0,4449,4.9599,557.530914306641,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0112882,,,,
,15644040.125,5.01124645,592.40087890625,5.26046567166201E-5,2.01136242200852E-7,1,0.999253354069792,40.0298881530762,2.00551439731883,15.6900031119585,0.000572344798813328,7.9147001023425E-5,0.25,-1.94247717746781E-6,5.22973556210882E-5,-1.81405270130451E-6,5.0112047,5.0112882,562.648315429687,622.153442382813,52.4410206122363,18.670836274349,3.0509303,0,0,0,4449,4.9599,592.40087890625,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01124645,,,,
,15644042.305,5.012095,702.224975585938,5.39001469262158E-5,2.10412298646687E-7,1,0.999253354069792,40.0298881530762,2.00550889505481,15.6900031119585,0.000586688912286401,7.96776960941246E-5,0.25,-2.12169444316618E-6,5.35856388588518E-5,-1.98916177311816E-6,5.012095,5.012095,697.256408691406,707.193542480469,52.6348644850056,18.6631353654963,3.0815613,0,0,0,4449,4.9591,702.224975585938,,,,,,,,,,,,,,,,,13.003003,,,,,,5.012095,,,,
,15644042.93,5.01254415,732.152893066406,5.48280259575164E-5,2.69745144328361E-7,1,0.999253354069792,40.0298881530762,2.0055656585957,15.6900031119585,0.000597406229715591,7.76362795252539E-5,0.25,-2.47419809212615E-6,5.45088267724782E-5,-2.3374652617949E-6,5.012095,5.0129933,707.193542480469,757.112243652344,52.6043809727556,18.668020995562,3.0662458,0,0,0,4449,4.95885,732.152893066406,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01254415,,,,
,15644045.095,5.0120378,841.75244140625,5.5711119163255E-5,2.58378813621414E-7,1,0.999253354069792,40.0298881530762,2.00549096760132,15.6900031119585,0.000606366262425774,8.25275780849736E-5,0.25,-2.1771742533319E-6,5.53861026682209E-5,-2.04005487129506E-6,5.0120378,5.0120378,836.683898925781,846.820983886719,52.5238732352748,18.673174504879,3.09733975,0,0,0,4449,4.9575,841.75244140625,,,,,,,,,,,,,,,,,13.378378,,,,,,5.0120378,,,,
,15644045.775,5.0113056,874.168151855469,5.71539874598237E-5,2.5411667380718E-7,1,0.999253354069792,40.0298881530762,2.00548940620499,15.6900031119585,0.000621741909770713,8.65301174237582E-5,0.25,-2.06107127037691E-6,5.68201913995184E-5,-1.92136653160676E-6,5.0105734,5.0120378,846.820983886719,901.515319824219,52.7270966502748,18.6722872415429,3.1437492,0,0,0,4449,4.95585,874.168151855469,,,,,,,,,,,,,,,,,13.378378,,,,,,5.0113056,,,,
,15644048,5.0070572,986.476196289063,5.84858239166336E-5,1.90414343201225E-7,1,0.999253354069792,40.0298881530762,2.00552967488114,15.6900031119585,0.000636225112459295,8.86501129852269E-5,0.25,-2.09988416489848E-6,5.8144310830984E-5,-1.95677887280294E-6,5.0070572,5.0070572,981.407653808594,991.544738769531,52.697394766544,18.6689363016837,3.1281246,0,0,0,4449,4.951,986.476196289063,,,,,,,,,,,,,,,,,13.378378,,,,,,5.0070572,,,,
,15644049.57,5.00492165,1066.29693603516,5.96979872671687E-5,2.23341488193331E-7,1,0.999253354069792,40.0298881530762,2.00559171365721,15.6900031119585,0.000649234589744025,9.16050761591811E-5,0.25,-2.04042347958442E-6,5.93492263232724E-5,-1.89481406077031E-6,5.004765,5.0050783,1061.35791015625,1071.23596191406,52.3222130773132,18.6714792715006,3.1125,0,0,0,4449,4.95175,1066.29693603516,,,,,,,,,,,,,,,,,13.003003,,,,,,5.00492165,,,,
,15644051.185,5.0057483,1146.10540771484,6.15629378747935E-5,2.21595699820065E-7,1,0.999253354069792,40.0298881530762,2.00561842316665,15.6900031119585,0.000670067653149791,9.13905474457357E-5,0.25,-2.38900635641492E-6,6.12039827673568E-5,-2.23700794471478E-6,5.0057483,5.0057483,1141.19543457031,1151.01538085938,52.619231914621,18.673949833643,3.0509303,0,0,0,4449,4.9525,1146.10540771484,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0057483,,,,
,15644051.81,5.0055516,1176.03173828125,6.26489581636484E-5,2.1293747906257E-7,1,0.999253354069792,40.0298881530762,2.00560876053507,15.6900031119585,0.000681454363193419,9.54494655415303E-5,0.25,-2.20484445877303E-6,6.22831884482345E-5,-2.05144431626659E-6,5.0053549,5.0057483,1151.01538085938,1201.04809570312,52.5387241771402,18.6803646848428,3.0509303,0,0,0,4449,4.95315,1176.03173828125,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0055516,,,,
