[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,22182116.94,09/15/2018,2:40 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Double Layer blue,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,22182134.28,10.0051613,99.5939254760742,,,2,,,,17.0399996006489,,,,,,,10.0051613,10.0051613,99.5939254760742,99.5939254760742,,,13.797379,,,,-99999999,4369,9.9795,99.5939254760742,,,,,,,,,,,,,,,,,,,,,,,10.0051613,,,,
sample offset = 35.33 mm touchdown = 11.1999996006489 mm,22182176.505,10.0099545,0.372982457280159,1.79652356548912E-5,3.3139659589148E-7,1,0.999253354069792,40.0298881530762,1.99665750851522,17.0200001448393,0.000202705097036285,3.07857038553481E-5,0.25,-4.49559957029543E-7,1.78641995228884E-5,-3.60386164601577E-7,10.0099545,10.0099545,0.350146800279617,0.395818114280701,56.2334821875444,20.552374575033,13.797379,0,0,0,40,4417,9.9836,0.372982457280159,,,,,,,,,,,,,0,,,,0,,,,,,10.0099545,,,,
,22182196.495,10.0053587,41.3022651672363,1.88117142899891E-5,2.80748208479592E-7,1,0.999253354069792,40.0298881530762,1.99697232154343,17.0200001448393,0.0002130981097663,2.76801886019968E-5,0.25,-8.76720690966389E-7,1.87078914492649E-5,-7.80994913545476E-7,10.0053587,10.0053587,39.3231582641602,43.2813720703125,56.6821369575829,20.5532782589124,13.797379,0,0,0,40,4449,9.977,41.3022651672363,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0053587,,,,
,22182198.605,10.0055323,138.014877319336,1.80865973647636E-5,2.9845843524462E-7,1,0.999253354069792,40.0298881530762,1.99688830714817,17.0200001448393,0.000204001129407942,3.15412206211217E-5,0.25,-4.04251489888959E-7,1.79847134233744E-5,-3.14677009471049E-7,10.0055323,10.0055323,133.393356323242,142.63639831543,56.6602513590445,20.553318175443,13.417728,0,0,0,40,4449,9.9806,138.014877319336,,,,,,,,,,,,,0,,,,0,,,,,,10.0055323,,,,
,22182201.015,10.0059681,259.791954040527,1.93191927461227E-5,2.76576843476849E-7,1,0.999253354069792,40.0298881530762,1.99672694117103,17.0200001448393,0.000217788712714785,3.42466482645153E-5,0.25,-3.82191546160093E-7,1.92102080552536E-5,-2.86704961300895E-7,10.0059681,10.0059681,252.471450805664,267.112457275391,56.7470121246791,20.5530797397898,13.797379,0,0,0,40,4449,9.9816,259.791954040527,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0059681,,,,
,22182202.845,10.0053549,348.936050415039,2.03906331523463E-5,2.81242253508145E-7,1,0.999253354069792,40.0298881530762,1.99691533070773,17.0200001448393,0.000229575920119941,3.79108454666747E-5,0.25,-2.46676684199896E-7,2.0274915935397E-5,-1.46715081594825E-7,10.0053549,10.0053549,346.342926025391,351.529174804687,57.3301070000253,20.5563991060186,13.417728,0,0,0,40,4449,9.9817,348.936050415039,,,,,,,,,,,,,0,,,,0.0049,,,,,,10.0053549,,,,
,22182205.17,10.0036592,466.391036987305,2.10295436338516E-5,3.01630209825857E-7,1,0.999253354069792,40.0298881530762,1.99661440394821,17.0200001448393,0.000237044068787933,3.73609243440648E-5,0.25,-4.08738555696477E-7,2.09110461221163E-5,-3.04647875173329E-7,10.0036592,10.0036592,461.182800292969,471.599273681641,56.8978664288906,20.5518135573014,13.797379,0,0,0,40,4449,9.9804,466.391036987305,,,,,,,,,,,,,0,,,,0,,,,,,10.0036592,,,,
,22182206.835,10.0036592,548.041320800781,2.16782617360772E-5,3.31798552461174E-7,1,0.999253354069792,40.0298881530762,1.99696600591393,17.0200001448393,0.000243674128118238,4.25977290221545E-5,0.25,-5.84906659939767E-8,2.15544263849071E-5,4.68173057762394E-8,10.0036592,10.0036592,540.160034179687,555.922607421875,56.9033378285253,20.555327857141,13.417728,0,0,0,40,4449,9.98,548.041320800781,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0036592,,,,
,22182209.29,10.0019188,670.627136230469,2.23659518595123E-5,2.71243775437329E-7,1,0.999253354069792,40.0298881530762,1.99681848977231,17.0200001448393,0.000252172061043115,3.95298522742662E-5,0.25,-4.53591802131106E-7,2.22402125232204E-5,-3.42557215613578E-7,10.0019188,10.0019188,660.667297363281,680.586975097656,56.7243448976214,20.5530902846782,13.038077,0,0,0,40,4449,9.98045,670.627136230469,,,,,,,,,,,,,0,,,,0,,,,,,10.0019188,,,,
,22182211.61,10.0005503,787.748443603516,2.27851765640338E-5,3.04172852686276E-7,1,0.999253354069792,40.0298881530762,1.99689157745416,17.0200001448393,0.000256454678142045,4.28309827868645E-5,0.25,-2.34496288328964E-7,2.26560968525655E-5,-1.22545729591983E-7,10.0005503,10.0005503,780.211730957031,795.28515625,56.7946914643522,20.5544939455471,13.797379,0,0,0,40,4449,9.97975,787.748443603516,,,,,,,,,,,,,0,,,,0,,,,,,10.0005503,,,,
,22182214.515,9.9993095,929.866821289063,2.31631681444295E-5,3.34358131845531E-7,1,0.999253354069792,40.0298881530762,1.9968511078142,17.0200001448393,0.000260634813647661,4.39406142669746E-5,0.25,-2.02989700413194E-7,2.30319280052299E-5,-8.92100873022325E-8,9.9993095,9.9993095,924.803955078125,934.9296875,57.0002597649099,20.5559175121134,14.177031,0,0,0,40,4449,9.9801,929.866821289063,,,,,,,,,,,,,0,,,,0,,,,,,9.9993095,,,,
,22182216.64,9.9973707,1039.72662353516,2.34070080632378E-5,3.25617869005586E-7,1,0.999253354069792,40.0298881530762,1.99677434411044,17.0200001448393,0.000263280304781478,4.49082493879834E-5,0.25,-1.60185480511611E-7,2.32742903732552E-5,-4.53247916651547E-8,9.9973707,9.9973707,1034.72900390625,1044.72424316406,56.8368994043906,20.55325836731,14.177031,0,0,0,40,4449,9.98025,1039.72662353516,,,,,,,,,,,,,0,,,,0,,,,,,9.9973707,,,,
,22182218.75,9.9968958,1144.31439208984,2.35498418300834E-5,2.74084116168202E-7,1,0.999253354069792,40.0298881530762,1.99687855926812,17.0200001448393,0.000265420251386111,4.22640481449368E-5,0.25,-4.21269848692785E-7,2.3417701869296E-5,-3.04089521465569E-7,9.9968958,9.9968958,1139.57580566406,1149.05297851562,56.5891231637945,20.555397483389,13.417728,0,0,0,40,4449,9.98145,1144.31439208984,,,,,,,,,,,,,0,,,,0.0049,,,,,,9.9968958,,,,
,22182220.92,9.9967384,1251.37744140625,2.41038937432451E-5,2.9063403036278E-7,1,0.999253354069792,40.0298881530762,1.9969095972381,17.0200001448393,0.000271425752464498,4.46356222146235E-5,0.25,-3.0882219334716E-7,2.3968177482104E-5,-1.89437398837264E-7,9.9967384,9.9967384,1244.06982421875,1258.68505859375,56.5523866233906,20.557859893584,13.797379,0,0,0,40,4449,9.98335,1251.37744140625,,,,,,,,,,,,,0,,,,0,,,,,,9.9967384,,,,
,22182223.885,9.9973497,1398.56762695312,2.41398289382482E-5,2.86906849188201E-7,1,0.999253354069792,40.0298881530762,1.99672948170795,17.0200001448393,0.000271866476525314,4.43754978376286E-5,0.25,-3.38254120653804E-7,2.40042331943195E-5,-2.18323496354963E-7,9.9973497,9.9973497,1393.31726074219,1403.81799316406,56.5922496778714,20.5524751980254,13.797379,0,0,0,40,4449,9.984,1398.56762695312,,,,,,,,,,,,,0,,,,0,,,,,,9.9973497,,,,
,22182226.07,9.9977131,1510.74133300781,2.44433419252665E-5,2.56458963631134E-7,1,0.999253354069792,40.0298881530762,1.99696823899502,17.0200001448393,0.000274832449763441,4.76704824837216E-5,0.25,-9.95421177810907E-8,2.43049948128663E-5,2.06756746472803E-8,9.9977131,9.9977131,1498.32385253906,1523.15881347656,56.8501870892175,20.5543687069999,14.177031,0,0,0,40,4449,9.98455,1510.74133300781,,,,,,,,,,,,,0,,,,0,,,,,,9.9977131,,,,
,22182228.45,9.9978933,1628.07928466797,2.44707512319213E-5,3.10605416332369E-7,1,0.999253354069792,40.0298881530762,1.99686303838219,17.0200001448393,0.00027590727579443,4.333829835376E-5,0.25,-4.89992488897166E-7,2.4334312763267E-5,-3.67254647815082E-7,9.9978933,9.9978933,1623.00341796875,1633.15515136719,57.0792042453522,20.5539955069174,14.177031,0,0,0,40,4449,9.9853,1628.07928466797,,,,,,,,,,,,,0,,,,0,,,,,,9.9978933,,,,
,22182230.72,9.99796865,1740.13830566406,2.46430270298698E-5,3.01085866171274E-7,1,0.999253354069792,40.0298881530762,1.99684609892085,17.0200001448393,0.000278068038526771,4.24112084638028E-5,0.25,-6.03276283800132E-7,2.45063165910073E-5,-4.78888056268734E-7,9.9978933,9.998044,1732.60461425781,1747.67199707031,56.4187281466021,20.5563038378676,13.038077,0,0,0,40,4449,9.98515,1740.13830566406,,,,,,,,,,,,,0,,,,0,,,,,,9.99796865,,,,
,22182233.54,9.9977851,1879.75756835938,2.46256726036882E-5,3.03370754679158E-7,1,0.999253354069792,40.0298881530762,1.99691853998875,17.0200001448393,0.000277598232295239,4.39915289791147E-5,0.25,-4.59908707660597E-7,2.44885453880346E-5,-3.36211484477097E-7,9.9975262,9.998044,1877.11560058594,1882.39953613281,57.0385595623522,20.556985579199,14.177031,0,0,0,40,4449,9.9855,1879.75756835938,,,,,,,,,,,,,0,,,,-0.0049,,,,,,9.9977851,,,,
,22182235.645,9.9972677,1984.43701171875,2.50355989918369E-5,2.93476960568915E-7,1,0.999253354069792,40.0298881530762,1.99693547109086,17.0200001448393,0.000282297325610148,4.43070533584876E-5,0.25,-5.04876419575302E-7,2.48965186631792E-5,-3.78749709870219E-7,9.9972677,9.9972677,1981.83154296875,1987.04248046875,56.7376325824483,20.5553586708107,13.797379,0,0,0,40,4449,9.9853,1984.43701171875,,,,,,,,,,,,,0,,,,-0.0049,,,,,,9.9972677,,,,
,22182238.455,9.9968872,2126.67077636719,2.46466959243889E-5,3.02885961619215E-7,1,0.999253354069792,40.0298881530762,1.99700713303662,17.0200001448393,0.000278299775518065,4.15052540034468E-5,0.25,-6.85520790414674E-7,2.4510903835485E-5,-5.60073789431556E-7,9.9968872,9.9968872,2116.71044921875,2136.63110351562,56.5703640793329,20.5589710533521,13.417728,0,0,0,40,4449,9.9861,2126.67077636719,,,,,,,,,,,,,0,,,,0,,,,,,9.9968872,,,,
,22182240.64,9.99671125,2233.63391113281,2.4689574064722E-5,2.90246474720567E-7,1,0.999253354069792,40.0298881530762,1.99671977413114,17.0200001448393,0.000277651669687304,4.77382448163406E-5,0.25,-1.38016735624687E-7,2.45509877993705E-5,-1.52839455345624E-8,9.9965353,9.9968872,2226.09521484375,2241.17260742187,56.5867782782368,20.5552593065651,13.417728,0,0,0,40,4449,9.985,2233.63391113281,,,,,,,,,,,,,0,,,,0.00245,,,,,,9.99671125,,,,
