[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,22228139.72,09/15/2018,3:27 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Double Layer blue,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,22228154.5,150.4360962,-0.3349229991436,,,2,,,,16.6900001952052,,,,,,,150.4360962,150.4360962,-0.3349229991436,-0.3349229991436,,,25.186911,,,,-99999999,4369,150.5415,-0.3349229991436,,,,,,,,,,,,,,,,,,,,,,,150.4360962,,,,
sample offset = 35.33 mm touchdown = 10.8500001952052 mm,22228194.76,150.3998566,-0.304475456476212,4.56750193745854E-5,2.94814607788671E-7,1,0.999253354069792,40.0298881530762,1.99789423488816,16.6800003498793,0.000519960787039647,8.58795043514226E-5,0.25,-4.01779740255282E-7,4.58989187036402E-5,-3.30747768046556E-7,150.3998566,150.3998566,-0.3349229991436,-0.274027913808823,55.7082278226213,20.4942382548969,25.186911,0,0,0,40,4417,150.40065,-0.304475456476212,,,,,,,,,,,,,0,,,,0,,,,,,150.3998566,,,,
,22228214.93,150.371994,26.5204563140869,4.6068730613153E-5,3.36258775850099E-7,1,0.999253354069792,40.0298881530762,1.99802726897558,16.6800003498793,0.000524843003205901,8.45210350845486E-5,0.25,-5.90403743299504E-7,4.62948833649294E-5,-5.19623129583074E-7,150.371994,150.371994,22.9233074188232,30.1176052093506,55.4964064939097,20.5003431170017,25.566563,0,0,0,40,4449,150.34205,26.5204563140869,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.371994,,,,
,22228217.55,150.3699951,149.943534851074,4.67001042550976E-5,3.31913759428028E-7,1,0.999253354069792,40.0298881530762,1.99810826534782,16.6800003498793,0.000531472753252632,8.90340071148135E-5,0.25,-3.03689442316332E-7,4.69288869943164E-5,-2.30494520311494E-7,150.3699951,150.3699951,142.467834472656,157.419235229492,55.3510235893328,20.5030019406706,25.946213,0,0,0,40,4449,150.3354,149.943534851074,,,,,,,,,,,,,0,,,,-0.00245,,,,,,150.3699951,,,,
,22228220.01,150.3658295,271.991363525391,4.80336885339375E-5,3.70368118890232E-7,1,0.999253354069792,40.0298881530762,1.99818140880256,16.6800003498793,0.000546318595426777,9.35900446523678E-5,0.25,-1.3552222614516E-7,4.82687269483384E-5,-5.93709145600352E-8,150.3658295,150.3658295,261.7275390625,282.255187988281,55.6113058862366,20.5064144835968,25.566563,0,0,0,40,4449,150.33025,271.991363525391,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.3658295,,,,
,22228222.735,150.3614044,406.636688232422,4.88464517833245E-5,3.56056239767805E-7,1,0.999253354069792,40.0298881530762,1.9980659091599,16.6800003498793,0.000556076829982828,9.20416625293674E-5,0.25,-4.12880106767194E-7,4.90859125906829E-5,-3.36782235532399E-7,150.3614044,150.3614044,401.611206054687,411.662170410156,56.0005568888136,20.5067024827361,24.807261,0,0,0,40,4449,150.32315,406.636688232422,,,,,,,,,,,,,0,,,,0,,,,,,150.3614044,,,,
,22228224.945,150.3568268,518.962310791016,4.99468961460841E-5,4.04059733834792E-7,1,0.999253354069792,40.0298881530762,1.99813924057589,16.6800003498793,0.000567895104694343,9.8305113797811E-5,0.25,-5.39013745003183E-8,5.01911688344905E-5,2.57128315471933E-8,150.3568268,150.3568268,516.485778808594,521.438842773438,55.5542470043328,20.5038449292067,25.946213,0,0,0,40,4449,150.31815,518.962310791016,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.3568268,,,,
,22228227.235,150.3527069,631.256225585938,5.0437626101565E-5,2.59483683732758E-7,1,0.999253354069792,40.0298881530762,1.99813380909058,16.6800003498793,0.000573935232767098,9.66189849344326E-5,0.25,-2.87703195776391E-7,5.06846764923597E-5,-2.0844163927313E-7,150.3527069,150.3527069,621.230407714844,641.282043457031,55.8340700142174,20.5024525086637,25.566563,0,0,0,40,4449,150.3078,631.256225585938,,,,,,,,,,,,,0,,,,0,,,,,,150.3527069,,,,
,22228229.47,150.3527069,743.272491455078,5.09525003686296E-5,3.20254048211516E-7,1,0.999253354069792,40.0298881530762,1.9981247601663,16.6800003498793,0.000579577473702226,9.88335776783662E-5,0.25,-1.82553071903683E-7,5.12018996780504E-5,-1.01953338865744E-7,150.3527069,150.3527069,735.749267578125,750.795715332031,55.6285017136597,20.5033396475782,25.566563,0,0,0,40,4449,150.3037,743.272491455078,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.3527069,,,,
,22228232.4,150.34765625,890.53173828125,5.12420642846822E-5,2.86766523333942E-7,1,0.999253354069792,40.0298881530762,1.99803468302156,16.6800003498793,0.000582937517875074,9.88669842425653E-5,0.25,-2.29688276513949E-7,5.14929619244528E-5,-1.48855733885418E-7,150.3453369,150.3499756,880.863403320312,900.200073242188,55.6816524529674,20.5037909847651,25.566563,0,0,0,40,4449,150.299,890.53173828125,,,,,,,,,,,,,0,,,,0,,,,,,150.34765625,,,,
