[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,22997891.88,09/24/2018,1:16 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,23007092.42,10.0015907,-0.106566414237022,,,2,,,,16.570000127852,,,,,,,10.0015907,10.0015907,-0.106566414237022,-0.106566414237022,,,11.899124,,,,-99999999,4417,9.9876,-0.106566414237022,,,,,,,,,,,,,,,,,,,,,,,10.0015907,,,,
sample offset = 35.38 mm touchdown = 10.780000127852 mm,23007110.22,10.0029221,-0.0761188641190529,-3.6403114827917E-7,2.58370531379452E-7,1,0.999253354069792,40.0298881530762,1.99726062183664,16.5599994361401,-3.31150570262812E-6,-5.11290345065383E-6,0.25,-3.90383845759621E-7,-3.60058316967137E-7,-3.8989585748607E-7,10.0029221,10.0029221,-0.0913426354527473,-0.0608950927853584,55.8747146972174,20.6073154663985,11.519473,0,0,0,40,4417,9.9909,-0.0761188641190529,,,,,,,,,,,,,0,,,,0,,,,,,10.0029221,,,,
,23007132.28,10.0017881,32.5651245117188,5.87718895666701E-8,2.50195315102705E-7,1,0.999253354069792,40.0298881530762,1.99745477827037,16.5599994361401,8.82876818108535E-7,-1.13529453993577E-6,0.25,-1.11463161168724E-7,5.89716365923648E-8,-1.10539602487895E-7,10.0017881,10.0017881,30.3568153381348,34.7734336853027,56.0294771440252,20.6110408969057,11.899124,0,0,0,40,4449,9.98675,32.5651245117188,,,,,,,,,,,,,0,,,,0,,,,,,10.0017881,,,,
,23007135.985,10.0010252,123.428176879883,6.06640328201322E-7,3.17811141491131E-7,1,0.999253354069792,40.0298881530762,1.99740970199035,16.5599994361401,7.66686768803757E-6,-3.57523928018654E-6,0.25,-4.2588248207172E-7,6.05211687995958E-7,-4.20511083541481E-7,10.0010252,10.0010252,118.365692138672,128.490661621094,55.8285986145828,20.6119838677364,11.899124,0,0,0,40,4449,9.9888,123.428176879883,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0010252,,,,
,23007138.96,10.0001049,198.599960327148,1.7576622888764E-6,2.72135883727083E-7,1,0.999253354069792,40.0298881530762,1.99745985573751,16.5599994361401,2.05183990631331E-5,-8.08484714390752E-7,0.25,-3.84069986677774E-7,1.74942891314147E-6,-3.73382362042467E-7,10.0001049,10.0001049,195.893356323242,201.306564331055,55.9067614665059,20.608222442622,12.278775,0,0,0,40,4449,9.9882,198.599960327148,,,,,,,,,,,,,0,,,,0,,,,,,10.0001049,,,,
,23007141.205,9.9986954,254.457206726074,2.18021021102659E-6,2.89633621817438E-7,1,0.999253354069792,40.0298881530762,1.99737683845515,16.5599994361401,2.50449469882509E-5,1.27893672497537E-6,0.25,-2.73354031863374E-7,2.16902237825679E-6,-2.61257874633138E-7,9.9986954,9.9986954,250.717514038086,258.196899414062,56.2037803038136,20.6126343641914,11.519473,0,0,0,40,4449,9.9887,254.457206726074,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9986954,,,,
,23007144.245,9.9972897,330.841842651367,2.61144626268615E-6,2.89829311044659E-7,1,0.999253354069792,40.0298881530762,1.99738051004467,16.5599994361401,3.05367851511713E-5,-1.4970837912066E-6,0.25,-5.96980724550007E-7,2.59935651768101E-6,-5.80938608400063E-7,9.9972897,9.9972897,326.115264892578,335.568420410156,56.1959640186213,20.6130989283427,11.899124,0,0,0,40,4449,9.9887,330.841842651367,,,,,,,,,,,,,0,,,,-0.0049,,,,,,9.9972897,,,,
,23007147.09,9.9962902,401.575134277344,3.31133507986281E-6,2.56151116890026E-7,1,0.999253354069792,40.0298881530762,1.99742773630719,16.5599994361401,3.79555132505098E-5,2.41714766315285E-6,0.25,-3.72960688558933E-7,3.2941597942804E-6,-3.54811596937588E-7,9.9962902,9.9962902,395.639709472656,407.510559082031,56.0638687988713,20.6122130898298,11.899124,0,0,0,40,4449,9.9892,401.575134277344,,,,,,,,,,,,,0,,,,0,,,,,,9.9962902,,,,
,23007149.65,9.9958572,465.072235107422,3.69943258369974E-6,2.17013402725157E-7,1,0.999253354069792,40.0298881530762,1.99736225177232,16.5599994361401,4.20768539389959E-5,4.53572594250299E-6,0.25,-2.53354948403229E-7,3.6794647418512E-6,-2.34004448030573E-7,9.9958572,9.9958572,462.474609375,467.669860839844,55.9817978043521,20.613454858248,12.278775,0,0,0,40,4449,9.99045,465.072235107422,,,,,,,,,,,,,0,,,,0.00245,,,,,,9.9958572,,,,
,23007152.61,9.9959679,539.151672363281,4.25767083745852E-6,3.35550084463651E-7,1,0.999253354069792,40.0298881530762,1.99739193024737,16.5599994361401,4.83135800685738E-5,5.85905739215488E-6,0.25,-2.34754492397307E-7,4.23442872560637E-6,-2.12795166848265E-7,9.9959679,9.9959679,535.241943359375,543.061401367188,56.1217093092944,20.613901861138,11.899124,0,0,0,40,4449,9.9914,539.151672363281,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9959679,,,,
,23007156.105,9.9962225,626.257843017578,4.53513135524865E-6,3.02230749520902E-7,1,0.999253354069792,40.0298881530762,1.99743234376066,16.5599994361401,5.15294047338588E-5,5.86846914187352E-6,0.25,-2.83224598250854E-7,4.51055320714171E-6,-2.59625806374149E-7,9.9962225,9.9962225,622.47021484375,630.045471191406,56.2506780149675,20.6150897459734,11.899124,0,0,0,40,4449,9.9926,626.257843017578,,,,,,,,,,,,,0,,,,0.0049,,,,,,9.9962225,,,,
,23007158.505,9.9963903,686.086761474609,4.89402542138997E-6,3.29363945561532E-7,1,0.999253354069792,40.0298881530762,1.99742503942537,16.5599994361401,5.59765825378075E-5,4.25317040788254E-6,0.25,-4.90719170579274E-7,4.8684133962794E-6,-4.64180241014652E-7,9.9963903,9.9963903,684.89306640625,687.280456542969,56.0646504273905,20.6137071946286,12.278775,0,0,0,40,4449,9.9922,686.086761474609,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9963903,,,,
