[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32486767.02,01/12/2019,8:08 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Double Layer Blue 1.25,SAMPLE_COMMENT
INFO,26.73,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32486921.915,5.0209017,99.7613830566406,1.86256553593995E-5,3.29617544068755E-7,1,0.999253354069792,40.0298881530762,1.9970424295699,20.8199992775917,0.000209311533959659,3.69094272062656E-5,0.25,-2.23730167323518E-8,1.85188977711974E-5,6.75842362690952E-8,5.0209017,5.0209017,99.7613830566406,99.7613830566406,57.3152560581599,20.6135024809651,8.861917,0,0,0,40,4369,4.9523,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,5.0209017,,,,
,32486930.41,5.097846,99.7613830566406,1.88306973567012E-5,3.0249912957404E-7,1,0.999253354069792,40.0298881530762,1.99696468856856,20.8199992775917,0.000212197943883141,3.39915348244787E-5,0.25,-3.18376090152081E-7,1.87241904923545E-5,-2.25731613471421E-7,5.097846,5.097846,99.7613830566406,99.7613830566406,57.3011867448138,20.615898197173,8.861917,0,0,0,40,4370,5.0831,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,5.097846,,,,
,32486950.365,5.5781121,99.7613830566406,1.87635925721918E-5,3.57811807040533E-7,1,0.999253354069792,40.0298881530762,1.99691364257006,20.8199992775917,0.000211357880974973,3.43126609877613E-5,0.25,-2.77802166149767E-7,1.86572717865974E-5,-1.85714089392888E-7,5.5781121,5.5781121,99.7613830566406,99.7613830566406,56.976810909333,20.6135201979185,9.621219,0,0,0,40,4374,5.5753,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,5.5781121,,,,
,32486969.305,6.0285463,99.7613830566406,1.87588722924187E-5,2.97012979976321E-7,1,0.999253354069792,40.0298881530762,1.99700736061316,20.8199992775917,0.000211371940498784,3.39800003824028E-5,0.25,-3.06708822845878E-7,1.8652713937456E-5,-2.14477605738264E-7,6.0285463,6.0285463,99.7613830566406,99.7613830566406,57.1511140691214,20.6168116169757,9.621219,0,0,0,40,4370,6.0528,99.7613830566406,,,,,,,,,,,,,0,,,,0.0049,,,,,,6.0285463,,,,
,32486989.805,6.5190229,99.7613830566406,1.86295832786664E-5,3.28451786463258E-7,1,0.999253354069792,40.0298881530762,1.9969178370904,20.8199992775917,0.000209242130669868,3.74833597478531E-5,0.25,2.82129853043173E-8,1.85225459982462E-5,1.17898858828586E-7,6.5190229,6.5190229,99.7613830566406,99.7613830566406,57.2910255740638,20.6179880904171,10.00087,0,0,0,40,4370,6.5739,99.7613830566406,,,,,,,,,,,,,0,,,,0.00245,,,,,,6.5190229,,,,
,32487008.475,7.0118608,99.7613830566406,1.86888434829545E-5,3.41185555721773E-7,1,0.999253354069792,40.0298881530762,1.99688797623017,20.8199992775917,0.000209867464741759,3.7811463218972E-5,0.25,4.69434205133691E-8,1.85813691129158E-5,1.36807568074011E-7,7.0118608,7.0118608,99.7613830566406,99.7613830566406,57.3035316303714,20.6179157563502,10.38052,0,0,0,40,4370,7.0343,99.7613830566406,,,,,,,,,,,,,0,,,,0.00245,,,,,,7.0118608,,,,
,32487028.205,7.5168681,99.7613830566406,1.89089120277151E-5,3.43825240068553E-7,1,0.999253354069792,40.0298881530762,1.99661195315386,20.8199992775917,0.000212841574444505,3.52616999066377E-5,0.25,-2.1867691014109E-7,1.88014476460515E-5,-1.2622705829294E-7,7.5168681,7.5168681,99.7613830566406,99.7613830566406,56.7305979257752,20.6191286680339,10.00087,0,0,0,40,4370,7.5227,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,7.5168681,,,,
,32487049.425,8.0508604,99.7613830566406,1.86052654681423E-5,3.50787630983696E-7,1,0.999253354069792,40.0298881530762,1.99684075543372,20.8199992775917,0.000209089754680002,3.67080715811571E-5,0.25,-3.63521868446591E-8,1.8498654581421E-5,5.35868254679772E-8,8.0508604,8.0508604,99.7613830566406,99.7613830566406,57.4496961634676,20.6171994112588,10.38052,0,0,0,40,4370,8.06405,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,8.0508604,,,,
,32487069.01,8.5132446,99.7613830566406,1.89170599735371E-5,3.30309840873908E-7,1,0.999253354069792,40.0298881530762,1.99680556535935,20.8199992775917,0.000212625885079903,3.71209532103695E-5,0.25,-5.49102836365985E-8,1.88087392664409E-5,3.66389626404697E-8,8.5132446,8.5132446,99.7613830566406,99.7613830566406,57.126101956506,20.6188090802704,10.38052,0,0,0,40,4370,8.54565,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,8.5132446,,,,
,32487088.375,9.0260334,99.7613830566406,1.86458551511507E-5,3.04294156840798E-7,1,0.999253354069792,40.0298881530762,1.99665301429817,20.8199992775917,0.000209679008240768,3.59280256647019E-5,0.25,-1.12703518761771E-7,1.85393580582402E-5,-2.21304992015425E-8,9.0260334,9.0260334,99.7613830566406,99.7613830566406,57.0330881627176,20.6176363673248,10.760172,0,0,0,40,4370,9.0475,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,9.0260334,,,,
,32487109.415,9.5352106,99.7613830566406,1.86844423730589E-5,3.36601004912695E-7,1,0.999253354069792,40.0298881530762,1.99676781148575,20.8199992775917,0.000210415930849304,3.43621387386573E-5,0.25,-2.59118462612754E-7,1.85784168690822E-5,-1.67518698205331E-7,9.5352106,9.5352106,99.7613830566406,99.7613830566406,57.3895107674868,20.6175519548823,11.519473,0,0,0,40,4370,9.5811,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,9.5352106,,,,
,32487128.91,10.0273523,99.7613830566406,1.85008463428125E-5,3.1898864699202E-7,1,0.999253354069792,40.0298881530762,1.99658332946995,20.8199992775917,0.000208093407174635,3.53528377298837E-5,0.25,-1.38047943827036E-7,1.83952774119949E-5,-4.80287143734823E-8,10.0273523,10.0273523,99.7613830566406,99.7613830566406,57.322290714833,20.6153715042029,11.139823,0,0,0,40,4370,10.0684,99.7613830566406,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.0273523,,,,
,32487149.36,10.5113201,99.7613830566406,1.86777983584E-5,3.10716842759705E-7,1,0.999253354069792,40.0298881530762,1.99676031418415,20.8199992775917,0.0002098981825269,3.68379787079169E-5,0.25,-3.7531671256762E-8,1.85707139254584E-5,5.27637470985292E-8,10.5113201,10.5113201,99.7613830566406,99.7613830566406,57.3387049137368,20.6192629041811,10.760172,0,0,0,40,4370,10.5842,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.5113201,,,,
,32487170.465,11.0282793,99.7613830566406,1.86230369025224E-5,3.06676563309562E-7,1,0.999253354069792,40.0298881530762,1.99654700268157,20.8199992775917,0.000209593953973414,3.48526271916084E-5,0.25,-2.04217790479029E-7,1.85170540470632E-5,-1.13229106510217E-7,11.0282793,11.0282793,99.7613830566406,99.7613830566406,57.6482298073523,20.6185269198706,11.899124,0,0,0,40,4370,11.11365,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,11.0282793,,,,
,32487190.37,11.5464754,99.7613830566406,1.87084040190078E-5,3.84169663848442E-7,1,0.999253354069792,40.0298881530762,1.99653176577296,20.8199992775917,0.000210157855177824,3.72372195127856E-5,0.25,-7.05896005721832E-9,1.86009617702486E-5,8.3208904401469E-8,11.5464754,11.5464754,99.7613830566406,99.7613830566406,57.6161830380638,20.6175784459516,11.139823,0,0,0,40,4370,11.613,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,11.5464754,,,,
,32487210.96,12.0597992,99.7613830566406,1.89368582937841E-5,3.05540075138189E-7,1,0.999253354069792,40.0298881530762,1.99664272126277,20.8199992775917,0.000212923342981168,3.66345158104035E-5,0.25,-1.01453296167124E-7,1.88285393584384E-5,-9.54134954344243E-9,12.0597992,12.0597992,99.7613830566406,99.7613830566406,57.3027500018522,20.6158505945466,12.278775,0,0,0,40,4370,12.1277,99.7613830566406,,,,,,,,,,,,,0,,,,0.0049,,,,,,12.0597992,,,,
,32487228.895,12.5023508,99.7613830566406,1.87243191162543E-5,3.31216783363385E-7,1,0.999253354069792,40.0298881530762,1.99654783559853,20.8199992775917,0.000210524617302506,3.62172581980456E-5,0.25,-1.00707254051544E-7,1.86172001764052E-5,-9.82462243695949E-9,12.5023508,12.5023508,99.7613830566406,99.7613830566406,57.2808644033138,20.6184155831759,11.519473,0,0,0,40,4370,12.5793,99.7613830566406,,,,,,,,,,,,,0,,,,0.0049,,,,,,12.5023508,,,,
,32487250.975,13.056015,99.7613830566406,1.89043450643098E-5,3.12124857534071E-7,1,0.999253354069792,40.0298881530762,1.99654967312924,20.8199992775917,0.000212802130541009,3.5137939225335E-5,0.25,-2.28762027936911E-7,1.87967855701429E-5,-1.36275090756218E-7,13.056015,13.056015,99.7613830566406,99.7613830566406,56.8642564025637,20.6194009042171,11.899124,0,0,0,40,4370,13.13175,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,13.056015,,,,
,32487269.145,13.503355,99.7613830566406,1.87141143952022E-5,3.39240801272628E-7,1,0.999253354069792,40.0298881530762,1.99668232494374,20.8199992775917,0.000210249704530561,3.71752091976632E-5,0.25,-1.38174971260736E-8,1.86065918186503E-5,7.6516404527431E-8,13.503355,13.503355,99.7613830566406,99.7613830566406,57.1987934087945,20.6182884682415,11.519473,0,0,0,40,4370,13.5918,99.7613830566406,,,,,,,,,,,,,0,,,,0.00245,,,,,,13.503355,,,,
,32487290.51,14.0202103,99.7613830566406,1.88306250766892E-5,3.81211649528126E-7,1,0.999253354069792,40.0298881530762,1.99646604258898,20.8199992775917,0.000211404204266716,3.81479411809366E-5,0.25,5.24417763020216E-8,1.87220888085335E-5,1.42956469448333E-7,14.0202103,14.0202103,99.7613830566406,99.7613830566406,57.362935397833,20.6194047593858,12.278775,0,0,0,40,4370,14.1277,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,14.0202103,,,,
,32487312.305,14.5443907,99.7613830566406,1.8630494721446E-5,3.3992883271858E-7,1,0.999253354069792,40.0298881530762,1.9965868524908,20.8199992775917,0.000209586974628863,3.53920274852891E-5,0.25,-1.57556415139835E-7,1.85240964015726E-5,-6.67992467052076E-8,14.5443907,14.5443907,99.7613830566406,99.7613830566406,57.2488176340253,20.6170878718952,12.658426,0,0,0,40,4370,14.6698,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,14.5443907,,,,
,32487330.15,15.001091,99.7613830566406,1.87701269590521E-5,3.25700589330211E-7,1,0.999253354069792,40.0298881530762,1.99660266752447,20.8199992775917,0.000210922040696023,3.69926024426191E-5,0.25,-3.98813717224589E-8,1.86623344187796E-5,5.08723103583418E-8,15.001091,15.001091,99.7613830566406,99.7613830566406,57.268358347006,20.6196638783906,12.278775,0,0,0,40,4370,15.12615,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,15.001091,,,,
,32487352.37,15.5661507,99.7613830566406,1.86611998693517E-5,2.87879687717826E-7,1,0.999253354069792,40.0298881530762,1.99640090506044,20.8199992775917,0.000210109381746294,3.43419248693788E-5,0.25,-2.56213617973826E-7,1.8555046982644E-5,-1.64740434979324E-7,15.5661507,15.5661507,99.7613830566406,99.7613830566406,57.4965938746215,20.6223928140113,12.278775,0,0,0,40,4370,15.68775,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,15.5661507,,,,
,32487371.295,16.0266399,99.7613830566406,1.87492147934616E-5,3.21281732009094E-7,1,0.999253354069792,40.0298881530762,1.99657172462159,20.8199992775917,0.000211021782709806,3.50445711276822E-5,0.25,-2.095346104499E-7,1.86423043593449E-5,-1.1790540832789E-7,16.0266399,16.0266399,99.7613830566406,99.7613830566406,57.495030617583,20.617556393998,12.658426,0,0,0,40,4370,16.1623,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,16.0266399,,,,
,32487391.235,16.5335922,99.7613830566406,1.87804477211302E-5,3.24515508170106E-7,1,0.999253354069792,40.0298881530762,1.99639877202826,20.8199992775917,0.000210531946366111,3.97377173940665E-5,0.25,2.0302931033268E-7,1.86713380782909E-5,2.92433947245976E-7,16.5335922,16.5335922,99.7613830566406,99.7613830566406,57.3660619119099,20.6155071276749,12.278775,0,0,0,40,4370,16.6556,99.7613830566406,,,,,,,,,,,,,0,,,,0.0049,,,,,,16.5335922,,,,
,32487411.465,17.0359421,99.7613830566406,1.88013014187718E-5,3.69339370003892E-7,1,0.999253354069792,40.0298881530762,1.99648495052363,20.8199992775917,0.000211244686510024,3.71331212719551E-5,0.25,-3.27008807500522E-8,1.8693177905803E-5,5.81614754650511E-8,17.0359421,17.0359421,99.7613830566406,99.7613830566406,57.0807675023906,20.6226438813072,12.658426,0,0,0,40,4370,17.17125,99.7613830566406,,,,,,,,,,,,,0,,,,0.00245,,,,,,17.0359421,,,,
,32487432.28,17.5408936,99.7613830566406,1.90795194617695E-5,3.34109840501465E-7,1,0.999253354069792,40.0298881530762,1.9964321506969,20.8199992775917,0.000214471114658415,3.70810741262254E-5,0.25,-8.6605703789203E-8,1.89699878303029E-5,5.87008995276363E-9,17.5408936,17.5408936,99.7613830566406,99.7613830566406,57.4317187075253,20.6204433262117,13.038077,0,0,0,40,4370,17.68245,99.7613830566406,,,,,,,,,,,,,0,,,,0.0049,,,,,,17.5408936,,,,
,32487450.385,18.0014477,99.7613830566406,1.85320313273131E-5,3.44487727195135E-7,1,0.999253354069792,40.0298881530762,1.99639737737887,20.8199992775917,0.000208542772734461,3.47251194340312E-5,0.25,-1.99134892277193E-7,1.84262039368168E-5,-1.08607653859681E-7,18.0014477,18.0014477,99.7613830566406,99.7613830566406,56.9549253107945,20.6205209296747,12.658426,0,0,0,40,4370,18.14765,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,18.0014477,,,,
,32487472.44,18.5175591,99.7613830566406,1.87680445251125E-5,2.86709743760002E-7,1,0.999253354069792,40.0298881530762,1.99635265796237,20.8199992775917,0.000211112584766324,3.56286494823541E-5,0.25,-1.60629558040265E-7,1.86607135323695E-5,-6.90968150665605E-8,18.5175591,18.5175591,99.7613830566406,99.7613830566406,56.9564885678329,20.6215302741748,13.038077,0,0,0,40,4370,18.6904,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,18.5175591,,,,
,32487492.195,19.0535297,99.7613830566406,1.88304936314696E-5,3.35956387455682E-7,1,0.999253354069792,40.0298881530762,1.99632713349444,20.8199992775917,0.00021173329979649,3.61970631018259E-5,0.25,-1.21206548206046E-7,1.87226810762114E-5,-2.9476444830292E-8,19.0535297,19.0535297,99.7613830566406,99.7613830566406,57.301968373333,20.6212155629685,12.658426,0,0,0,40,4370,19.1988,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,19.0535297,,,,
,32487511.885,19.5138435,99.7613830566406,1.90465650651496E-5,3.08670244844514E-7,1,0.999253354069792,40.0298881530762,1.99642913871125,20.8199992775917,0.000213858084388884,3.83959213845947E-5,0.25,3.58546171970911E-8,1.89368524108472E-5,1.27885521103714E-7,19.5138435,19.5138435,99.7613830566406,99.7613830566406,57.2746113751599,20.6199513050206,13.038077,0,0,0,40,4370,19.6967,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,19.5138435,,,,
,32487531.535,20.0398273,99.7613830566406,1.86995900642415E-5,3.40759851999229E-7,1,0.999253354069792,40.0298881530762,1.99633147987177,20.8199992775917,0.000209898659873972,3.80053833815271E-5,0.25,6.26506596468173E-8,1.85918666541969E-5,1.53037664591378E-7,20.0398273,20.0398273,99.7613830566406,99.7613830566406,56.9885353371214,20.6181564496218,12.658426,0,0,0,40,4370,20.184,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,20.0398273,,,,
,32487551.395,20.5024357,99.7613830566406,1.88043515613213E-5,3.36333028846332E-7,1,0.999253354069792,40.0298881530762,1.99638500387853,20.8199992775917,0.000211338240606905,3.67764947480456E-5,0.25,-6.57237911887449E-8,1.86968203269391E-5,2.61471343175351E-8,20.5024357,20.5024357,99.7613830566406,99.7613830566406,57.4629838482945,20.6196840288755,13.038077,0,0,0,40,4370,20.693,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,20.5024357,,,,
,32487570.68,21.0030594,99.7613830566406,1.86680402550091E-5,3.40353530321602E-7,1,0.999253354069792,40.0298881530762,1.99644784838285,20.8199992775917,0.000209476918277168,3.84126976427183E-5,0.25,1.03770033872045E-7,1.85606475549557E-5,1.94263127932952E-7,21.0030594,21.0030594,99.7613830566406,99.7613830566406,57.047939104583,20.6204748533026,13.038077,0,0,0,40,4370,21.16685,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,21.0030594,,,,
,32487593.355,21.5274391,99.7613830566406,1.88220413951241E-5,3.33338570106884E-7,1,0.999253354069792,40.0298881530762,1.99638028456595,20.8199992775917,0.000212112821349761,3.3597724330822E-5,0.25,-3.52571908510238E-7,1.87162734485729E-5,-2.58357146164905E-7,21.5274391,21.5274391,99.7613830566406,99.7613830566406,56.8501870892175,20.6195960843707,13.038077,0,0,0,40,4370,21.74365,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,21.5274391,,,,
,32487612.155,22.005825,99.7613830566406,1.86584916598693E-5,3.64181553525643E-7,1,0.999253354069792,40.0298881530762,1.99644178653846,20.8199992775917,0.000209827662611636,3.58466142934455E-5,0.25,-1.23765918711623E-7,1.85527909801829E-5,-3.13282824765222E-8,22.005825,22.005825,99.7613830566406,99.7613830566406,56.8290831191983,20.6186815712353,13.417728,0,0,0,40,4370,22.2149,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,22.005825,,,,
,32487632.78,22.5099468,99.7613830566406,1.90225074847732E-5,2.94908985484382E-7,1,0.999253354069792,40.0298881530762,1.99642977868621,20.8199992775917,0.000214006923385177,3.60782015277038E-5,0.25,-1.68274958414757E-7,1.89152763537244E-5,-7.33837900041816E-8,22.5099468,22.5099468,99.7613830566406,99.7613830566406,57.2550706621791,20.6189994823206,13.417728,0,0,0,40,4370,22.7319,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,22.5099468,,,,
,32487653.145,23.0212574,99.7613830566406,1.85590876002615E-5,3.14735309365817E-7,1,0.999253354069792,40.0298881530762,1.99632739507162,20.8199992775917,0.000209312659469589,3.22414974454609E-5,0.25,-4.27859892462776E-7,1.8456132828944E-5,-3.33345762723177E-7,22.9903507,23.0521641,99.7613830566406,99.7613830566406,56.7626446950637,20.6171258386122,13.038077,0,0,0,40,4370,23.24825,99.7613830566406,,,,,,,,,,,,,0,,,,0.00245,,,,,,23.0212574,,,,
,32487674,23.5461712,99.7613830566406,1.8813308911713E-5,3.1156790934015E-7,1,0.999253354069792,40.0298881530762,1.9965331146614,20.8199992775917,0.000211975450426474,3.39805517222667E-5,0.25,-3.19073311152106E-7,1.8708782220047E-5,-2.23423772345332E-7,23.5461712,23.5461712,99.7613830566406,99.7613830566406,56.973684395256,20.6161365607914,13.038077,0,0,0,40,4370,23.7673,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,23.5461712,,,,
,32487692.975,24.0235043,99.7613830566406,1.86376961558692E-5,3.30292769178782E-7,1,0.999253354069792,40.0298881530762,1.99638861680771,20.8199992775917,0.000209058329854632,3.88852581556844E-5,0.25,1.48430494854295E-7,1.85322254507288E-5,2.41060983515301E-7,24.0235043,24.0235043,99.7613830566406,99.7613830566406,57.3559007411599,20.6161413106114,13.038077,0,0,0,40,4370,24.2449,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,24.0235043,,,,
