[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,22216493.63,09/15/2018,12:13 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Double Layer blue,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,22216509.3,100.2544479,0.121790185570717,,,2,,,,16.9800000751019,,,,,,,100.2544479,100.2544479,0.121790185570717,0.121790185570717,,,22.909004,,,,-99999999,4369,100.5863,0.121790185570717,,,,,,,,,,,,,,,,,,,,,,,100.2544479,,,,
sample offset = 35.33 mm touchdown = 11.1400000751019 mm,22216550.08,100.2343063,0.342534899711609,6.5023984858224E-5,3.20983080682467E-7,1,0.999253354069792,40.0298881530762,1.99821386254231,16.9699992984533,0.000739369320440513,0.000131096355894185,0.25,9.91911966476158E-8,6.53899448348775E-5,3.00212950935351E-7,100.2343063,100.2343063,0.3349229991436,0.350146800279617,55.3987029290059,20.5158379969648,23.288654,0,0,0,40,4417,100.5023,0.342534899711609,,,,,,,,,,,,,0,,,,0,,,,,,100.2343063,,,,
,22216569.53,100.2172623,45.6632919311523,6.55296565915852E-5,3.59932376508226E-7,1,0.999253354069792,40.0298881530762,1.99807740518078,16.9699992984533,0.00074637714943479,0.000124670773199683,0.25,-5.54014039906344E-7,6.5900451632033E-5,-3.54999937838832E-7,100.2172623,100.2172623,39.1173439025879,52.2092399597168,55.7543439052559,20.5180121477365,23.288654,0,0,0,40,4449,100.46985,45.6632919311523,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.2172623,,,,
,22216571.89,100.2158699,157.984527587891,6.5703083525527E-5,3.51048625198756E-7,1,0.999253354069792,40.0298881530762,1.99772827505874,16.9699992984533,0.000747183706747576,0.000130920399651165,0.25,-3.30617026710974E-8,6.60732487110639E-5,1.69425102658116E-7,100.2144775,100.2172623,153.048919677734,162.920135498047,55.9364633502367,20.5148034109231,23.288654,0,0,0,40,4449,100.4662,157.984527587891,,,,,,,,,,,,,0,,,,0.0049,,,,,,100.2158699,,,,
,22216574.395,100.2133789,282.567672729492,6.67189669540419E-5,3.04868594145342E-7,1,0.999253354069792,40.0298881530762,1.99787687808539,16.9699992984533,0.000759228140892494,0.00013046313001976,0.25,-2.52614622368548E-7,6.70955365582749E-5,-4.82349305885569E-8,100.2122803,100.2144775,277.533966064453,287.601379394531,55.5823856310251,20.5172568835053,22.909004,0,0,0,40,4449,100.4639,282.567672729492,,,,,,,,,,,,,0,,,,0.0049,,,,,,100.2133789,,,,
,22216576.055,100.2122803,365.044860839844,6.71722401880188E-5,3.22584176335898E-7,1,0.999253354069792,40.0298881530762,1.99780545010618,16.9699992984533,0.000764162702259181,0.000132468206575015,0.25,-1.55557019589393E-7,6.75510646054134E-5,5.07683372389819E-8,100.2122803,100.2122803,362.377777099609,367.711944580078,55.8536107271982,20.5157529493942,22.909004,0,0,0,40,4449,100.4612,365.044860839844,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.2122803,,,,
,22216578.295,100.2102356,477.162887573242,6.73819712545538E-5,2.55878264919159E-7,1,0.999253354069792,40.0298881530762,1.99809342235871,16.9699992984533,0.000766126473964535,0.000135902538861308,0.25,1.07951461136336E-7,6.77611665918199E-5,3.16408898202557E-7,100.2102356,100.2102356,467.198516845703,487.127258300781,56.1076399959482,20.5198732622382,23.288654,0,0,0,40,4449,100.4574,477.162887573242,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.2102356,,,,
,22216580.9,100.2083664,606.922729492188,6.79102040146494E-5,2.96795746234263E-7,1,0.999253354069792,40.0298881530762,1.99804068011604,16.9699992984533,0.000772501314053287,0.000134754926166972,0.25,-8.54857315982801E-8,6.8292974310534E-5,1.23510784885811E-7,100.2083664,100.2083664,601.758056640625,612.08740234375,55.9669468624867,20.5181142740176,23.288654,0,0,0,40,4449,100.4533,606.922729492188,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.2083664,,,,
,22216583.4,100.2065811,731.537353515625,6.8493891324284E-5,3.07885548994204E-7,1,0.999253354069792,40.0298881530762,1.99789124480844,16.9699992984533,0.000779227385974104,0.000135095555911617,0.25,-1.57255485881806E-7,6.88801766840723E-5,5.31295342317713E-8,100.2065811,100.2065811,721.385925292969,741.688781738281,55.9450612639482,20.5183383098091,23.288654,0,0,0,40,4449,100.45105,731.537353515625,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.2065811,,,,
,22216585.75,100.2047806,848.842987060547,6.83860769223809E-5,2.25987343646344E-7,1,0.999253354069792,40.0298881530762,1.99807978200603,16.9699992984533,0.000778067374887239,0.000134915306539247,0.25,-1.5522532053256E-7,6.87717524159018E-5,5.48361314593469E-8,100.2047806,100.2047806,841.470458984375,856.215515136719,55.964601976929,20.520924854005,23.288654,0,0,0,40,4449,100.4475,848.842987060547,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.2047806,,,,
