[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32621241.63,01/13/2019,9:29 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Double Layer Blue 1.25,SAMPLE_COMMENT
INFO,26.73,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32621256.83,10.0011206,100.309440612793,,,2,,,,20.6400000834465,,,,,,,10.0011206,10.0011206,100.309440612793,100.309440612793,,,13.038077,,,,-99999999,4369,9.9893,100.309440612793,,,,,,,,,,,,,,,,,,,,,,,10.0011206,,,,
sample offset = 36.38 mm touchdown = 15.8500000834465 mm,32621299.555,10.0126648,0.433877527713776,1.63092334001793E-5,3.91535802037005E-7,1,0.999253354069792,40.0298881530762,1.98573661171663,20.6300001591444,0.000182039456462966,3.3543446013717E-5,0.25,1.05677191998609E-7,1.62150340629684E-5,1.83679561513819E-7,10.0126648,10.0126648,0.411041855812073,0.456713199615479,55.0196130971789,20.5511377980402,12.658426,0,0,0,40,4417,9.9793,0.433877527713776,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.0126648,,,,
,32621318.09,10.0113487,50.0816841125488,1.7394937977801E-5,4.2880646917509E-7,1,0.999253354069792,40.0298881530762,1.98601989700145,20.6300001591444,0.000195708094218988,2.72011809219795E-5,0.25,-6.55032069325607E-7,1.72981878636996E-5,-5.67405381172865E-7,10.0113487,10.0113487,48.0052070617676,52.1581611633301,55.4753025238905,20.5592983880446,12.278775,0,0,0,40,4449,9.9839,50.0816841125488,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0113487,,,,
,32621320.07,10.0122557,145.611808776855,1.63168702671352E-5,3.31084281490081E-7,1,0.999253354069792,40.0298881530762,1.98566388847214,20.6300001591444,0.000183146701751973,2.77709852187399E-5,0.25,-4.12246545199495E-7,1.62251886986303E-5,-3.31159167953204E-7,10.0122557,10.0122557,138.160354614258,153.063262939453,55.6777443103713,20.5596391618758,12.278775,0,0,0,40,4449,9.98425,145.611808776855,,,,,,,,,,,,,0,,,,0,,,,,,10.0122557,,,,
,32621322.125,10.0121346,250.23575592041,1.6123761547885E-5,3.15359877021979E-7,1,0.999253354069792,40.0298881530762,1.98588919513578,20.6300001591444,0.000180043941239655,3.28261168138789E-5,0.25,7.404030626123E-8,1.60308995681731E-5,1.51472058976222E-7,10.0121346,10.0121346,247.732269287109,252.739242553711,56.7931282073137,20.5571477950417,13.038077,0,0,0,40,4449,9.9834,250.23575592041,,,,,,,,,,,,,0,,,,0,,,,,,10.0121346,,,,
,32621324.515,10.0110283,367.383163452148,1.64033477712984E-5,3.77340344125812E-7,1,0.999253354069792,40.0298881530762,1.98601944901681,20.6300001591444,0.000183281502611078,3.28157746407647E-5,0.25,2.31844218308651E-8,1.6309198829965E-5,1.02341988892219E-7,10.0110283,10.0110283,362.208068847656,372.558258056641,55.5612816610059,20.5613987397929,12.278775,0,0,0,40,4449,9.9824,367.383163452148,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0110283,,,,
,32621326.695,10.0098729,477.248046875,1.61755744670414E-5,3.09309407861786E-7,1,0.999253354069792,40.0298881530762,1.98589804287222,20.6300001591444,0.000181320859422019,2.9012947902559E-5,0.25,-2.76569106754816E-7,1.60842522626416E-5,-1.96712766568922E-7,10.0087175,10.0110283,472.198120117188,482.297973632812,55.6503873121982,20.5615794072023,13.038077,0,0,0,40,4449,9.9812,477.248046875,,,,,,,,,,,,,0,,,,0.0049,,,,,,10.0098729,,,,
,32621329.04,10.0087175,592.100433349609,1.58826797072868E-5,2.445753493866E-7,1,0.999253354069792,40.0298881530762,1.98614162681077,20.6300001591444,0.000177857489347377,2.96278554926864E-5,0.25,-1.69943311929147E-7,1.57925963621288E-5,-9.20271142546829E-8,10.0087175,10.0087175,587.480163574219,596.720703125,55.3494603322943,20.5624328240516,13.038077,0,0,0,40,4449,9.9792,592.100433349609,,,,,,,,,,,,,0,,,,0,,,,,,10.0087175,,,,
,32621331.155,10.0054321,699.216979980469,1.61518958331174E-5,3.21519345085339E-7,1,0.999253354069792,40.0298881530762,1.9859390415402,20.6300001591444,0.000180517518172524,3.20300779474202E-5,0.25,-2.65120222867587E-9,1.60595361745164E-5,7.56990054735835E-8,10.0054321,10.0054321,696.685363769531,701.748596191406,56.6188250475252,20.5632735695679,12.658426,0,0,0,40,4449,9.9772,699.216979980469,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0054321,,,,
,32621333.415,10.0037899,811.509094238281,1.58830560797839E-5,2.64192582276798E-7,1,0.999253354069792,40.0298881530762,1.98587800451087,20.6300001591444,0.000177589500905755,3.10406419975151E-5,0.25,-4.34625801996657E-8,1.57925119091737E-5,3.39097446608597E-8,10.0037899,10.0037899,806.394592285156,816.623596191406,55.0657291798135,20.560694257822,12.658426,0,0,0,40,4449,9.97725,811.509094238281,,,,,,,,,,,,,0,,,,0,,,,,,10.0037899,,,,
,32621335.78,10.0035105,928.859130859375,1.57548553230068E-5,3.4850208179506E-7,1,0.999253354069792,40.0298881530762,1.98584794705723,20.6300001591444,0.000176698767163355,2.77255331227967E-5,0.25,-3.17407031019773E-7,1.56664610266468E-5,-2.38994812209422E-7,10.0035105,10.0035105,916.079650878906,941.638610839844,55.9356817217174,20.5616532143897,12.658426,0,0,0,40,4449,9.9793,928.859130859375,,,,,,,,,,,,,0,,,,0,,,,,,10.0035105,,,,
,32621338.19,10.004632,1048.47729492188,1.53183020002282E-5,3.52843093657417E-7,1,0.999253354069792,40.0298881530762,1.98596378191211,20.6300001591444,0.000171878567705615,2.65907888694665E-5,0.25,-3.4165332828437E-7,1.52326065330487E-5,-2.651268343392E-7,10.004632,10.004632,1040.83203125,1056.12255859375,56.6227331901214,20.5638837174287,12.658426,0,0,0,40,4449,9.978,1048.47729492188,,,,,,,,,,,,,0,,,,0,,,,,,10.004632,,,,
,32621340.495,10.0039577,1165.57336425781,1.52260090687768E-5,2.74136228982203E-7,1,0.999253354069792,40.0298881530762,1.98579651343945,20.6300001591444,0.000170415031433974,2.87662020490459E-5,0.25,-1.3052061107494E-7,1.51398992106274E-5,-5.55485534495033E-8,10.0039577,10.0039577,1160.6611328125,1170.48559570312,55.7035380515059,20.56383727752,12.658426,0,0,0,40,4449,9.9807,1165.57336425781,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0039577,,,,
,32621343.04,10.0050449,1292.58502197266,1.48754042880804E-5,3.35472896114425E-7,1,0.999253354069792,40.0298881530762,1.98607478789352,20.6300001591444,0.000166100535485057,3.04369450268647E-5,0.25,8.07703363226049E-8,1.47903547206745E-5,1.52937620532496E-7,10.0050449,10.0050449,1285.22314453125,1299.94689941406,56.5609845371021,20.5665354118144,13.038077,0,0,0,40,4449,9.982,1292.58502197266,,,,,,,,,,,,,0,,,,0,,,,,,10.0050449,,,,
,32621345.425,10.0056658,1409.76654052734,1.49072984607527E-5,3.15121235711682E-7,1,0.999253354069792,40.0298881530762,1.98603748341585,20.6300001591444,0.000166978483364479,2.75531956506623E-5,0.25,-1.82977281650498E-7,1.48234445020347E-5,-1.09053031368816E-7,10.0056658,10.0056658,1404.85107421875,1414.68200683594,56.005246659929,20.5616792452936,12.658426,0,0,0,40,4449,9.98195,1409.76654052734,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.0056658,,,,
,32621347.595,10.0066166,1519.38690185547,1.55987756214835E-5,1.65652512919395E-6,1,0.999253354069792,40.0298881530762,1.98597886718201,20.6300001591444,0.000174352856622896,3.08966236308777E-5,0.25,-6.71181560512511E-9,1.55102166197383E-5,6.96917343110568E-8,10.0066166,10.0066166,1509.31762695313,1529.45617675781,55.3807254730635,20.5609802195032,12.658426,0,0,0,40,4449,9.9835,1519.38690185547,,,,,,,,,,,,,0,,,,0,,,,,,10.0066166,,,,
