[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32557439.61,01/13/2019,3:46 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Double Layer Blue 1.25,SAMPLE_COMMENT
INFO,26.73,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32557454.34,149.9767761,-0.441489428281784,,,2,,,,20.4800007277727,,,,,,,149.9767761,149.9767761,-0.441489428281784,-0.441489428281784,,,21.01075,,,,-99999999,4369,149.8764,-0.441489428281784,,,,,,,,,,,,,,,,,,,,,,,149.9767761,,,,
sample offset = 36.38 mm touchdown = 15.6900007277727 mm,32557493.085,149.9757996,-0.228356599807739,4.1920187967408E-5,3.38818435229357E-7,1,0.999253354069792,40.0298881530762,1.9973521552305,20.4700008034706,0.000476813047964241,8.04319560843782E-5,0.25,-2.25469582396274E-7,4.21258802988634E-5,-1.59241616087122E-7,149.9757996,149.9757996,-0.228356599807739,-0.228356599807739,55.9294286935636,20.5736011923798,21.3904,0,0,0,40,4417,149.8864,-0.228356599807739,,,,,,,,,,,,,0,,,,0,,,,,,149.9757996,,,,
,32557510.445,149.9767532,34.4294490814209,4.21656414898312E-5,3.37879299682754E-7,1,0.999253354069792,40.0298881530762,1.99746223529162,20.4700008034706,0.000480361022075356,7.67120082976175E-5,0.25,-5.95941250161743E-7,4.23731303694202E-5,-5.31135405673984E-7,149.9765167,149.9769897,30.2219085693359,38.6369895935059,56.5664559367368,20.5702684397538,22.149702,0,0,0,40,4449,149.8886,34.4294490814209,,,,,,,,,,,,,0,,,,0,,,,,,149.9767532,,,,
,32557512.48,149.9769897,127.689643859863,4.22457816784129E-5,4.31904777252962E-7,1,0.999253354069792,40.0298881530762,1.99746065282727,20.4700008034706,0.000479924387000196,8.46021104028752E-5,0.25,8.43943982958137E-8,4.24525703321317E-5,1.52660200278284E-7,149.9769897,149.9769897,122.767150878906,132.61213684082,56.3788650921214,20.5733004779319,21.3904,0,0,0,40,4449,149.8885,127.689643859863,,,,,,,,,,,,,0,,,,0.0049,,,,,,149.9769897,,,,
,32557514.43,149.9776611,226.886016845703,4.22423104957256E-5,2.94360613558297E-7,1,0.999253354069792,40.0298881530762,1.99760872353926,20.4700008034706,0.000480574806830679,8.0836385499616E-5,0.25,-2.468682344835E-7,4.24496137779931E-5,-1.80232310531646E-7,149.9776611,149.9776611,222.015960693359,231.756072998047,56.262402442756,20.5705067074155,21.01075,0,0,0,40,4449,149.8889,226.886016845703,,,,,,,,,,,,,0,,,,-0.00245,,,,,,149.9776611,,,,
,32557516.58,149.977478,333.963989257812,4.25076051832365E-5,3.16265633963674E-7,1,0.999253354069792,40.0298881530762,1.99748095698693,20.4700008034706,0.000482496005815007,8.74659858388153E-5,0.25,2.90714616454273E-7,4.27153450258132E-5,3.60408399371596E-7,149.977478,149.977478,326.377502441406,341.550476074219,56.1013869677944,20.56998655813,21.01075,0,0,0,40,4449,149.8883,333.963989257812,,,,,,,,,,,,,0,,,,0,,,,,,149.977478,,,,
,32557518.9,149.9768829,448.969024658203,4.23116527262558E-5,3.71862350840163E-7,1,0.999253354069792,40.0298881530762,1.99741893842003,20.4700008034706,0.000481103134503908,8.22068679179035E-5,0.25,-1.37701220249722E-7,4.25191223461261E-5,-7.04242553617211E-8,149.9768829,149.9768829,441.537719726562,456.400329589844,56.4968909985252,20.5742481663886,21.3904,0,0,0,40,4449,149.8908,448.969024658203,,,,,,,,,,,,,0,,,,0,,,,,,149.9768829,,,,
,32557520.68,149.9766235,538.726135253906,4.27381578055665E-5,3.69661100938181E-7,1,0.999253354069792,40.0298881530762,1.99749374390139,20.4700008034706,0.000486661722779185,7.90685728258183E-5,0.25,-4.88415816040266E-7,4.29482804367146E-5,-4.22173552427784E-7,149.9766235,149.9766235,531.256225585937,546.196044921875,56.6751023009098,20.5735815383834,21.3904,0,0,0,40,4449,149.891,538.726135253906,,,,,,,,,,,,,0,,,,-0.00245,,,,,,149.9766235,,,,
,32557522.84,149.9766235,646.022613525391,4.30052826668663E-5,3.80343302161266E-7,1,0.999253354069792,40.0298881530762,1.99766946120576,20.4700008034706,0.000488349832972743,8.75751301714612E-5,0.25,2.12924553357907E-7,4.32155877914765E-5,2.83029406001164E-7,149.9766235,149.9766235,636.042846679688,656.002380371094,56.5539498804291,20.5682881092949,21.01075,0,0,0,40,4449,149.8904,646.022613525391,,,,,,,,,,,,,0,,,,-0.0049,,,,,,149.9766235,,,,
,32557525.21,149.97708895,763.277648925781,4.2997505278092E-5,3.76294125706915E-7,1,0.999253354069792,40.0298881530762,1.99746682990509,20.4700008034706,0.000489017915903273,8.29379440799987E-5,0.25,-1.93021634201604E-7,4.32084240879072E-5,-1.24919677603257E-7,149.9769745,149.9772034,755.961669921875,770.593627929688,56.496109370006,20.5735973829958,21.770052,0,0,0,40,4449,149.8899,763.277648925781,,,,,,,,,,,,,0,,,,-0.0049,,,,,,149.97708895,,,,
