[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32594133.61,01/13/2019,1:57 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Double Layer Blue 1.25,SAMPLE_COMMENT
INFO,26.73,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32594149.52,300.0003052,-0.456713199615479,,,2,,,,19.6100001567602,,,,,,,300.0003052,300.0003052,-0.456713199615479,-0.456713199615479,,,24.807261,,,,-99999999,4369,300.1944,-0.456713199615479,,,,,,,,,,,,,,,,,,,,,,,300.0003052,,,,
sample offset = 36.38 mm touchdown = 14.8200001567602 mm,32594187.25,299.9896851,-0.304475456476212,1.93447455853169E-7,4.09619095163458E-7,1,0.999253354069792,40.0298881530762,1.99791577709249,19.6000002324581,2.26302378682713E-6,-5.13424402798636E-8,0.25,-3.80551689522312E-8,1.934670034893E-7,-3.79256887579109E-8,299.9896851,299.9896851,-0.319699227809906,-0.289251685142517,56.1654805063713,20.5597187540028,24.807261,0,0,0,40,4417,300.1942,-0.304475456476212,,,,,,,,,,,,,0,,,,0,,,,,,299.9896851,,,,
,32594205.635,299.9851837,32.2866430282593,1.25569831029228E-6,4.38466025611713E-7,1,0.999253354069792,40.0298881530762,1.9977469334331,19.6000002324581,1.61242576484449E-5,-8.62015834130647E-6,0.25,-9.79606131012847E-7,1.25631146743219E-6,-9.78744253102667E-7,299.9849548,299.9854126,30.285364151001,34.2879219055176,56.1951823901021,20.5684969168319,24.427608,0,0,0,40,4449,300.20465,32.2866430282593,,,,,,,,,,,,,0,,,,0,,,,,,299.9851837,,,,
,32594207.665,299.9854126,127.592071533203,8.89917364235895E-6,4.93550074553462E-7,1,0.999253354069792,40.0298881530762,1.99789113602129,19.6000002324581,0.000101648464465184,1.18152418611811E-5,0.25,-4.9744654746531E-7,8.89924272901906E-6,-4.91527409657045E-7,299.9854126,299.9854126,122.677169799805,132.506973266602,56.188147733429,20.568181116967,24.807261,0,0,0,40,4449,300.2061,127.592071533203,,,,,,,,,,,,,0,,,,0,,,,,,299.9854126,,,,
,32594209.84,299.9847412,234.50235748291,2.20175043236078E-5,4.53430769749423E-7,1,0.999253354069792,40.0298881530762,1.99779703282166,19.6000002324581,0.000249306512837887,4.176303269341E-5,0.25,-1.22885957730463E-7,2.20169407538469E-5,-1.08274146789475E-7,299.9847412,299.9847412,232.084930419922,236.919784545898,56.1850212193521,20.5680052236275,24.807261,0,0,0,40,4449,300.2088,234.50235748291,,,,,,,,,,,,,0,,,,0,,,,,,299.9847412,,,,
,32594211.97,299.9840698,341.725936889648,2.77750090421876E-5,4.09687967133669E-7,1,0.999253354069792,40.0298881530762,1.99777659345859,19.6000002324581,0.000314935047946044,5.01509920381901E-5,0.25,-3.78889421533008E-7,2.77744473172286E-5,-3.60450295517308E-7,299.9840698,299.9840698,336.979461669922,346.472412109375,56.2280107879098,20.5690413380877,24.427608,0,0,0,40,4449,300.2089,341.725936889648,,,,,,,,,,,,,0,,,,0.00245,,,,,,299.9840698,,,,
,32594214.12,299.9831848,451.548004150391,3.06088717450869E-5,3.78216229069849E-7,1,0.999253354069792,40.0298881530762,1.99780417695152,19.6000002324581,0.000347500285025489,5.27978935713327E-5,0.25,-6.35956469434287E-7,3.06083986218959E-5,-6.15630099434604E-7,299.9831848,299.9831848,446.594512939453,456.501495361328,56.4734421429483,20.5680744061031,24.807261,0,0,0,40,4449,300.2121,451.548004150391,,,,,,,,,,,,,0,,,,0,,,,,,299.9831848,,,,
,32594216.115,299.9831848,548.780059814453,3.32972259287178E-5,3.54765924368833E-7,1,0.999253354069792,40.0298881530762,1.9978349812306,19.6000002324581,0.000376980337599983,6.3474252410836E-5,0.25,-1.58032369829842E-7,3.32963571078991E-5,-1.35936336311994E-7,299.9831848,299.9831848,541.126281738281,556.433837890625,56.1740784200829,20.5686576243859,24.427608,0,0,0,40,4449,300.2095,548.780059814453,,,,,,,,,,,,,0,,,,-0.00245,,,,,,299.9831848,,,,
,32594218.12,299.9833069,648.568054199219,3.49120513353544E-5,3.83628125348714E-7,1,0.999253354069792,40.0298881530762,1.99776467792334,19.6000002324581,0.000395183593292422,6.69312492863151E-5,0.25,-1.32023883939697E-7,3.49111178996396E-5,-1.0885740084755E-7,299.9833069,299.9833069,641.085571289063,656.050537109375,56.313208296506,20.5698725351181,24.427608,0,0,0,40,4449,300.2088,648.568054199219,,,,,,,,,,,,,0,,,,-0.0049,,,,,,299.9833069,,,,
,32594219.99,299.9822083,740.985656738281,3.67005535204767E-5,4.07150370111876E-7,1,0.999253354069792,40.0298881530762,1.99784796832886,19.6000002324581,0.000415560287545238,6.96969795538113E-5,0.25,-1.97649390771822E-7,3.66996128057277E-5,-1.7329486190076E-7,299.9822083,299.9822083,736.006591796875,745.964721679688,56.353852979506,20.5683170256826,24.427608,0,0,0,40,4449,300.2112,740.985656738281,,,,,,,,,,,,,0,,,,0,,,,,,299.9822083,,,,
,32594222.08,299.9830627,845.816833496094,3.77698570252011E-5,4.23554401050507E-7,1,0.999253354069792,40.0298881530762,1.99774948360536,19.6000002324581,0.000427932438308477,7.00818879594371E-5,0.25,-3.48599685403539E-7,3.77689841021158E-5,-3.23531723422109E-7,299.9830627,299.9830627,835.77392578125,855.859741210937,56.4421770021791,20.5680787370007,24.807261,0,0,0,40,4449,300.21255,845.816833496094,,,,,,,,,,,,,0,,,,0,,,,,,299.9830627,,,,
,32594224.14,299.9820251,950.33447265625,3.90184522461429E-5,4.92338896427818E-7,1,0.999253354069792,40.0298881530762,1.99775055228299,19.6000002324581,0.000442346244259742,7.08577669864796E-5,0.25,-4.96344822324008E-7,3.90176423238767E-5,-4.70444586371247E-7,299.9820251,299.9820251,940.522155761719,960.146789550781,56.3515080939483,20.5691627549646,24.427608,0,0,0,40,4449,300.2135,950.33447265625,,,,,,,,,,,,,0,,,,-0.00245,,,,,,299.9820251,,,,
,32594226.195,299.9823303,1050.25231933594,3.95239928147831E-5,4.24659813818029E-7,1,0.999253354069792,40.0298881530762,1.99765873732304,19.6000002324581,0.000447635045991592,7.4212810408918E-5,0.25,-2.87052874261209E-7,3.95230288788636E-5,-2.60823707628005E-7,299.9823303,299.9823303,1040.20166015625,1060.30297851562,56.4624993436791,20.5698624636871,24.427608,0,0,0,40,4449,300.2141,1050.25231933594,,,,,,,,,,,,,0,,,,0,,,,,,299.9823303,,,,
,32594228.305,299.9823303,1157.38702392578,4.13047210874307E-5,4.07075086069987E-7,1,0.999253354069792,40.0298881530762,1.99767670479024,19.6000002324581,0.000468623021882178,7.28471221948296E-5,0.25,-7.16371997862666E-7,4.13039899969297E-5,-6.88949459957923E-7,299.9823303,299.9823303,1149.74621582031,1165.02783203125,56.4648442292367,20.5732205783122,24.807261,0,0,0,40,4449,300.21595,1157.38702392578,,,,,,,,,,,,,0,,,,-0.0049,,,,,,299.9823303,,,,
,32594230.99,299.981781,1291.90191650391,4.19388159583254E-5,4.37203345882744E-7,1,0.999253354069792,40.0298881530762,1.99778249723873,19.6000002324581,0.000474495623207209,8.17354589272837E-5,0.25,-4.08225378714453E-8,4.19376190570688E-5,-1.29995352417442E-8,299.981781,299.981781,1284.30078125,1299.50305175781,56.4710972573906,20.5709132026311,24.807261,0,0,0,40,4449,300.2163,1291.90191650391,,,,,,,,,,,,,0,,,,0,,,,,,299.981781,,,,
