[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,33070216.92,01/19/2019,2:12 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Double Layer Blue 1.25,SAMPLE_COMMENT
INFO,26.73,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,33070232.17,10.0015802,39999.47265625,,,2,,,,20.2999995064735,,,,,,,10.0015802,10.0015802,39999.47265625,39999.47265625,,,12.658426,,,,-99999999,4369,9.9949,39999.47265625,,,,,,,,,,,,,,,,,,,,,,,10.0015802,,,,
,33070471.96,10.0025845,-0.053283205255866,7.80762876770283E-5,3.90042914496711E-7,1,0.999253354069792,40.0298881530762,1.98259959626253,20.2799998223782,0.000872053736506394,0.000149630144787104,0.25,-4.53807887129635E-7,7.76299591223916E-5,-7.48786289802754E-8,10.0025845,10.0025845,-0.0608950927853584,-0.0456713177263737,55.8145293012367,20.5357494104183,13.038077,0,0,0,40,4417,9.98445,-0.053283205255866,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0025845,,,,
,33070491.655,10.0059404,41.4083976745605,7.63560275127308E-5,2.14115651834744E-7,1,0.999253354069792,40.0298881530762,1.98267297170312,20.2799998223782,0.000853279664527757,0.000144035079601165,0.25,-6.50332642185106E-7,7.59205942526893E-5,-2.78489314053642E-7,10.0059404,10.0059404,35.0230255126953,47.7937698364258,55.361966388602,20.5352034226846,12.658426,0,0,0,40,4449,9.9896,41.4083976745605,,,,,,,,,,,,,0,,,,0,,,,,,10.0059404,,,,
,33070494.15,10.0049505,160.225524902344,7.53881794819727E-5,1.812059953505E-7,1,0.999253354069792,40.0298881530762,1.9825765734995,20.2799998223782,0.0008425228960098,0.000141667939306449,0.25,-6.90379179611229E-7,7.49587652919312E-5,-3.22663852184751E-7,10.0049505,10.0049505,157.651550292969,162.799499511719,56.1123297670636,20.5321855221249,12.658426,0,0,0,40,4449,9.9901,160.225524902344,,,,,,,,,,,,,0,,,,0.0049,,,,,,10.0049505,,,,
,33070496.265,10.0040455,264.761810302734,7.57642844527025E-5,2.40998373062022E-7,1,0.999253354069792,40.0298881530762,1.98267706262533,20.2799998223782,0.000847507003452961,0.000138233588961047,0.25,-1.06593700837578E-6,7.53348015158198E-5,-6.9393401008478E-7,10.0040455,10.0040455,262.092010498047,267.431610107422,56.5117419403906,20.5385729989381,12.658426,0,0,0,40,4449,9.9889,264.761810302734,,,,,,,,,,,,,0,,,,0,,,,,,10.0040455,,,,
,33070499.415,10.0016327,422.345184326172,7.78003447147685E-5,3.578425865136E-7,1,0.999253354069792,40.0298881530762,1.98260207455816,20.2799998223782,0.000867880617413894,0.000155322656364744,0.25,1.03887287887796E-7,7.73539983037704E-5,4.79559284490477E-7,10.0016327,10.0016327,407.589263916016,437.101104736328,56.2678738423906,20.5345067297486,12.658426,0,0,0,40,4449,9.9882,422.345184326172,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0016327,,,,
,33070502.125,9.9997292,557.036529541016,7.75526210270461E-5,3.82267134221365E-7,1,0.999253354069792,40.0298881530762,1.98267197211667,20.2799998223782,0.0008648690794735,0.000156422487931349,0.25,2.45400160738623E-7,7.71074359199228E-5,6.19564014936527E-7,9.9997292,9.9997292,552.157043457031,561.916015625,55.9552224346982,20.5365109895913,12.278775,0,0,0,40,4449,9.9883,557.036529541016,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9997292,,,,
,33070504.45,9.9990768,674.185028076172,7.79561108814793E-5,3.68879992509401E-7,1,0.999253354069792,40.0298881530762,1.98274120870215,20.2799998223782,0.000869323382719293,0.000157686235669059,0.25,2.85997654170732E-7,7.75088092066868E-5,6.62341219594582E-7,9.9990768,9.9990768,666.718505859375,681.651550292969,56.0060282884482,20.5361072762997,12.658426,0,0,0,40,4449,9.9891,674.185028076172,,,,,,,,,,,,,0,,,,0,,,,,,9.9990768,,,,
,33070506.695,9.99897145,786.38427734375,7.73811259858752E-5,3.48562581182086E-7,1,0.999253354069792,40.0298881530762,1.98260324693055,20.2799998223782,0.000863020262918098,0.000155602439719744,0.25,2.0178251253925E-7,7.69379060681772E-5,5.76269649048166E-7,9.9988661,9.9990768,776.458312988281,796.310241699219,55.7043196800251,20.5373469813317,12.658426,0,0,0,40,4449,9.9888,786.38427734375,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.99897145,,,,
,33070510.025,9.9988813,951.20556640625,7.74356255916163E-5,3.70153236321819E-7,1,0.999253354069792,40.0298881530762,1.98265824411587,20.2799998223782,0.000863587527234324,0.000156111769241776,0.25,2.36589265242196E-7,7.69925106444115E-5,6.11825660316173E-7,9.9988813,9.9988813,941.025573730469,961.385559082031,56.4085669758521,20.5331537883457,12.278775,0,0,0,40,4449,9.9891,951.20556640625,,,,,,,,,,,,,0,,,,0,,,,,,9.9988813,,,,
