[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32445182.67,01/11/2019,8:35 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Double Layer Blue 1.25,SAMPLE_COMMENT
INFO,26.73,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32457992.56,4.9905596,99.7613830566406,,,2,,,,20.9799998784065,,,,,,,4.9905596,4.9905596,99.7613830566406,99.7613830566406,,,8.482265,,,,-99999999,4369,5.0039,99.7613830566406,,,,,,,,,,,,,,,,,,,,,,,4.9905596,,,,
,32458116.715,5.0064034,99.7613830566406,1.06873589241556E-7,2.90472875200818E-7,1,0.999253354069792,40.0298881530762,1.99893942584064,20.9699999541044,1.92257530282628E-6,-3.84522249730753E-6,0.25,-3.60909594698595E-7,1.08001013560593E-7,-3.58323425873955E-7,5.0064034,5.0064034,99.7613830566406,99.7613830566406,57.0330881627176,20.5575981037393,8.861917,0,0,0,40,4369,4.9804,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,5.0064034,,,,
,32458125.745,5.0684147,99.7613830566406,-1.57454850394106E-7,2.87817543607461E-7,1,0.999253354069792,40.0298881530762,1.99897378398432,20.9699999541044,-1.07392618765347E-6,-4.23825387543556E-6,0.25,-3.48914812190174E-7,-1.54868677858721E-7,-3.47672276211433E-7,5.0684147,5.0684147,99.7613830566406,99.7613830566406,56.2780350131406,20.5579567979207,8.482265,0,0,0,40,4370,5.0915,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,5.0684147,,,,
,32458146.22,5.5648179,99.7613830566406,8.33864259734017E-8,2.97344320359496E-7,1,0.999253354069792,40.0298881530762,1.99893742304602,20.9699999541044,7.23966393961891E-7,1.37029861633138E-6,0.25,1.07044723929237E-7,8.23917155612537E-8,1.06832690702154E-7,5.5648179,5.5648179,99.7613830566406,99.7613830566406,56.2764717561021,20.5554501400216,8.861917,0,0,0,40,4370,5.6329,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,5.5648179,,,,
,32458163.7,6.0415387,99.7613830566406,-1.5389901091889E-7,3.09303914968751E-7,1,0.999253354069792,40.0298881530762,1.99891611788235,20.9699999541044,-1.41555451715396E-6,-2.08184106747555E-6,0.25,-1.57798358693735E-7,-1.52254905498776E-7,-1.57635150413451E-7,6.0415387,6.0415387,99.7613830566406,99.7613830566406,56.5727089648906,20.5569454469833,9.241568,0,0,0,40,4370,6.0672,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,6.0415387,,,,
,32458185.375,6.549634,99.7613830566406,1.84111227007461E-9,3.13386730360023E-7,1,0.999253354069792,40.0298881530762,1.99896008109071,20.9699999541044,9.87353506203745E-7,-5.43989919517037E-6,0.25,-4.84058472139886E-7,4.1650909276793E-9,-4.81271934102498E-7,6.549634,6.549634,99.7613830566406,99.7613830566406,56.6274229612368,20.5606458363111,10.00087,0,0,0,40,4370,6.60465,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,6.549634,,,,
,32458204.68,7.0516582,99.7613830566406,1.83607951609172E-7,2.89046360594317E-7,1,0.999253354069792,40.0298881530762,1.99891971236704,20.9699999541044,2.59831870596223E-6,-2.63802925324951E-6,0.25,-2.671901641599E-7,1.8384291025228E-7,-2.64771341703554E-7,7.0516582,7.0516582,99.7613830566406,99.7613830566406,56.3374387806021,20.5614721693242,9.621219,0,0,0,40,4370,7.0767,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,7.0516582,,,,
,32458223.535,7.5048714,99.7613830566406,1.00317880878431E-8,2.88360259221951E-7,1,0.999253354069792,40.0298881530762,1.99903919229326,20.9699999541044,6.27087971522644E-7,-2.87601663322586E-6,0.25,-2.57515641303905E-7,1.12161748077606E-8,-2.55989369417747E-7,7.5048714,7.5048714,99.7613830566406,99.7613830566406,56.7165286124291,20.5574580616938,10.00087,0,0,0,40,4370,7.56,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,7.5048714,,,,
,32458243.72,8.0080986,99.7613830566406,-5.59287887571019E-8,2.96440540022818E-7,1,0.999253354069792,40.0298881530762,1.99909769214171,20.9699999541044,-1.59866774189202E-7,-2.75356023383753E-6,0.25,-2.34907130776475E-7,-5.44748626948337E-8,-2.33828611669358E-7,8.0080986,8.0080986,99.7613830566406,99.7613830566406,56.8611298884868,20.5601188684417,10.38052,0,0,0,40,4370,8.0651,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,8.0080986,,,,
,32458265.7,8.5900097,99.7613830566406,-2.54739901204957E-7,2.79344646888645E-7,1,0.999253354069792,40.0298881530762,1.99902224080462,20.9699999541044,-2.18451162496825E-6,-4.33973332964806E-6,0.25,-3.40655183802333E-7,-2.516347222285E-7,-3.39928334210244E-7,8.5900097,8.5900097,99.7613830566406,99.7613830566406,56.6766655579483,20.5612511450241,10.38052,0,0,0,40,4370,8.6244,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,8.5900097,,,,
