[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3737887058.08907,06/11/2018,1:59 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC654,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM507,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,494,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB210,OVEN_SERIAL_NUMBER
INFO,01.06.24,OVEN_SOFTWARE_VERSION
INFO,593,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3737887162.92,350.235824584961,99.8805694580078,1.05327912091166E-5,3.87579982224655E-7,1,0.999253354069792,40.0298881530762,2.00068397689357,16.1799993366003,0.000115454270619858,8.83290044296674E-6,0.25,-1.02413438845276E-6,1.05150918046476E-5,-1.01648682322173E-6,350.235443115234,350.235443115234,99.8684692382813,99.8926696777344,55.0196130971789,19.6857404328207,37.7728805541992,0,0,0,40,351.385345458984,1,4,1,2.15682983398438,43.9882698059082,,,,,,,,,,,,,,,,
,3737887195.86,349.984558105469,99.8866195678711,1.09102160287061E-5,4.93372214954127E-7,1,0.999253354069792,40.0298881530762,2.00066108977833,16.1799993366003,0.00011931905855321,1.07033730268686E-5,0.25,-9.1665502858825E-7,1.0891892147599E-5,-9.0898668551394E-7,349.997222900391,349.997222900391,99.8805694580078,99.8926696777344,55.0852698927943,19.6846279225321,37.7734184265137,0,0,0,40,349.630218505859,6,4,1,2.15744018554687,45.4545478820801,,,,,,,,,,,,,,,,
,3737887216.8505,349.480941772461,99.8987159729004,1.01912252572698E-5,3.93639469957389E-7,1,0.999253354069792,40.0298881530762,2.00070202022809,16.1799993366003,0.000112373907350008,4.77653768254848E-6,0.25,-1.34073038855934E-6,1.01745484214672E-5,-1.3327448841337E-6,349.498016357422,349.498016357422,99.8805694580078,99.916862487793,55.1360757465443,19.6859888489478,37.7931175231934,0,0,0,40,348.557403564453,6,4,1,2.15484619140625,45.4545478820801,,,,,,,,,,,,,,,,
,3737887234.844,348.996551513672,99.8866195678711,1.01549193545986E-5,4.4053064098662E-7,1,0.999253354069792,40.0298881530762,2.00070316612261,16.1799993366003,0.000110969380806366,1.05070684665399E-5,0.25,-8.02727936679767E-7,1.01381659996561E-5,-7.95687445683339E-7,349.007110595703,349.007110595703,99.8805694580078,99.8926696777344,54.8773567066789,19.6851177930407,37.8009452819824,0,0,0,40,347.812835693359,6,4,1,2.15560913085938,45.9433059692383,,,,,,,,,,,,,,,,
,3737887253.7945,348.494873046875,99.8987197875977,1.01249388579554E-5,4.02938702096953E-7,1,0.999253354069792,40.0298881530762,2.00072031407543,16.1799993366003,0.000110322583014027,1.23153640406806E-5,0.25,-6.29747845792734E-7,1.01083067713928E-5,-6.23019269986279E-7,348.502136230469,348.502136230469,99.8926696777344,99.9047698974609,55.026647753852,19.6853046826065,37.8114700317383,0,0,0,40,347.220367431641,6,4,1,2.159423828125,45.9433059692383,,,,,,,,,,,,,,,,
,3737887273.803,347.994293212891,99.8624229431152,1.08589013317308E-5,4.19725135091235E-7,1,0.999253354069792,40.0298881530762,2.00071085653911,16.1799993366003,0.000119245827336865,7.92689582969634E-6,0.25,-1.16538093923217E-6,1.08415176235461E-5,-1.15735291984583E-6,348.003784179687,348.003784179687,99.8442764282227,99.8805694580078,54.9750602715827,19.6844969489837,37.8174057006836,0,0,0,40,346.565002441406,6,4,1,2.15866088867187,45.4545478820801,,,,,,,,,,,,,,,,
,3737887293.7845,347.480438232422,99.8866195678711,1.10496487175485E-5,3.91691189026118E-7,1,0.999253354069792,40.0298881530762,2.00076644691136,16.1799993366003,0.000120558932672828,1.25615306116083E-5,0.25,-7.68857152682503E-7,1.1031913080268E-5,-7.61384417124701E-7,347.499084472656,347.499084472656,99.8805694580078,99.8926696777344,55.1141901480058,19.6863421417984,37.8419647216797,0,0,0,40,345.928955078125,6,4,1,2.15545654296875,45.4545478820801,,,,,,,,,,,,,,,,
,3737887312.8005,346.996688842773,99.8987197875977,1.06484505476369E-5,4.13728533183384E-7,1,0.999253354069792,40.0298881530762,2.00068048768993,16.1799993366003,0.000116755963005473,8.80742906352392E-6,0.25,-1.04688501360992E-6,1.06317011769249E-5,-1.03918870533167E-6,347.004272460937,347.004272460937,99.8926696777344,99.9047698974609,55.1728122869481,19.686504980092,37.8481712341309,0,0,0,40,345.434906005859,6,4,1,2.16232299804687,44.9657897949219,,,,,,,,,,,,,,,,
,3737887333.8395,346.48405456543,99.9047660827637,1.08884613812886E-5,4.31919345913437E-7,1,0.999253354069792,40.0298881530762,2.00076949618894,16.1799993366003,0.00011847108951995,1.4282626259996E-5,0.25,-5.81039812027369E-7,1.08712434927629E-5,-5.73967469232645E-7,346.500396728516,346.500396728516,99.8926696777344,99.916862487793,55.2650444522174,19.6845796374379,37.8411560058594,0,0,0,40,344.903961181641,6,4,1,2.1551513671875,45.9433059692383,,,,,,,,,,,,,,,,
,3737887354.754,345.985504150391,99.910816192627,1.02928409950858E-5,4.0257871960014E-7,1,0.999253354069792,40.0298881530762,2.00072715142802,16.1799993366003,0.000112372205477688,1.13183283676844E-5,0.25,-7.51771206802766E-7,1.02768489419958E-5,-7.44763148426858E-7,346.001861572266,346.001861572266,99.9047698974609,99.916862487793,55.3432073041405,19.6849500098381,37.8327903747559,0,0,0,40,344.384521484375,6,4,1,2.15011596679687,45.4545478820801,,,,,,,,,,,,,,,,
