[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,23214700.88,09/27/2018,1:30 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,23214716.75,10.0114946,-0.0456713177263737,,,2,,,,16.6899995654821,,,,,,,10.0114946,10.0114946,-0.0456713177263737,-0.0456713177263737,,,13.038077,,,,-99999999,4369,9.9915,-0.0456713177263737,,,,,,,,,,,,,,,,,,,,,,,10.0114946,,,,
sample offset = 35.92 mm touchdown = 11.4399995654821 mm,23214735.915,10.0129032,-0.0456713177263737,1.73298443315361E-8,2.4860292846457E-7,1,0.999253354069792,40.0298881530762,1.99641469091211,16.669999808073,4.69415073353254E-7,-1.51278079135795E-6,0.25,-1.37762617078906E-7,1.78942975790388E-8,-1.36887697136993E-7,10.0122862,10.0135202,-0.0456713177263737,-0.0456713177263737,55.923957293929,20.5643360070349,13.038077,0,0,0,40,4369,9.9925,-0.0456713177263737,,,,,,,,,,,,,0,,,,0,,,,,,10.0129032,,,,
,23214763.245,10.0120783,23.1582717895508,4.67327412523708E-7,2.69569368054703E-7,1,0.999253354069792,40.0298881530762,1.99630395525967,16.669999808073,6.40055287255118E-6,-5.55441889638821E-6,0.25,-5.77529860173421E-7,4.67426948156641E-7,-5.7195970818795E-7,10.0120783,10.0120783,17.9328632354736,28.3836803436279,56.2749084990636,20.5701237216263,13.038077,0,0,0,40,4449,9.98795,23.1582717895508,,,,,,,,,,,,,0,,,,0,,,,,,10.0120783,,,,
,23214765.575,10.012372,78.6559066772461,3.75154162938883E-7,2.97135980645725E-7,1,0.999253354069792,40.0298881530762,1.99633306519706,16.669999808073,4.97660925072068E-6,-3.54881613224313E-6,0.25,-3.82586788457533E-7,3.74844626069745E-7,-3.78580654074013E-7,10.012372,10.012372,73.741455078125,83.5703582763672,55.9606938343328,20.5707237770906,13.038077,0,0,0,40,4449,9.9874,78.6559066772461,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.012372,,,,
,23214768.515,10.0118132,151.133338928223,6.08151569844175E-7,2.74542292496803E-7,1,0.999253354069792,40.0298881530762,1.99626112306253,16.669999808073,8.05003697930862E-6,-5.65606653588109E-6,0.25,-6.11598373118514E-7,6.07611241093195E-7,-6.05153316089233E-7,10.0118132,10.0118132,146.153884887695,156.11279296875,55.8903472676021,20.5694868994332,12.658426,0,0,0,40,4449,9.9878,151.133338928223,,,,,,,,,,,,,0,,,,0,,,,,,10.0118132,,,,
,23214771.07,10.01133635,216.098541259766,1.10181350534178E-6,2.83943840937187E-7,1,0.999253354069792,40.0298881530762,1.99632947597573,16.669999808073,1.28046830773262E-5,-2.21565890686744E-7,0.25,-2.15387855766856E-7,1.09653064621071E-6,-2.08833131164818E-7,10.0108595,10.0118132,210.957534790039,221.239547729492,56.157664221179,20.5751422752195,13.038077,0,0,0,40,4449,9.98725,216.098541259766,,,,,,,,,,,,,0,,,,0,,,,,,10.01133635,,,,
,23214773.765,10.0099616,283.436874389648,8.08894156385497E-7,2.19845555464384E-7,1,0.999253354069792,40.0298881530762,1.99630413288859,16.669999808073,9.4237686888778E-6,-2.93992236675101E-7,0.25,-1.69822129204796E-7,8.05074639771296E-7,-1.64941004744441E-7,10.0090637,10.0108595,278.454406738281,288.419342041016,56.1584458496982,20.5740320792136,13.417728,0,0,0,40,4449,9.9866,283.436874389648,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0099616,,,,
,23214776.28,10.0090637,345.900253295898,1.21973698581592E-6,2.66545941095677E-7,1,0.999253354069792,40.0298881530762,1.99626716974972,16.669999808073,1.45006743819489E-5,-2.08036269580286E-6,0.25,-4.01838183425238E-7,1.21468550982461E-6,-3.93639416554023E-7,10.0090637,10.0090637,341.064727783203,350.735778808594,56.2412984727367,20.5723837430627,13.038077,0,0,0,40,4449,9.98625,345.900253295898,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.0090637,,,,
,23214779.515,10.0075121,425.451889038086,1.19535881539327E-6,2.73986129281397E-7,1,0.999253354069792,40.0298881530762,1.99620404076759,16.669999808073,1.4130959654772E-5,-1.59089688015636E-6,0.25,-3.53936742031356E-7,1.1902206109185E-6,-3.46127196599571E-7,10.0075121,10.0075121,422.804504394531,428.099273681641,55.9505326635828,20.5707595664386,12.658426,0,0,0,40,4449,9.9843,425.451889038086,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0075121,,,,
,23214781.805,10.0054359,483.118011474609,1.46118840954296E-6,2.8029295296596E-7,1,0.999253354069792,40.0298881530762,1.99609325025539,16.669999808073,1.7270704958555E-5,-1.93386750429834E-6,0.25,-4.31696324152937E-7,1.45490752489859E-6,-4.22152534445469E-7,10.0054359,10.0054359,480.527954101562,485.708068847656,55.9880508325059,20.5697747799431,13.038077,0,0,0,40,4449,9.9838,483.118011474609,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0054359,,,,
