[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,23177751.20,09/26/2018,3:14 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,23177766.64,200.4118805,-0.243580371141434,,,2,,,,16.2400003299117,,,,,,,200.4118805,200.4118805,-0.243580371141434,-0.243580371141434,,,26.705515,,,,-99999999,4369,200.6907,-0.243580371141434,,,,,,,,,,,,,,,,,,,,,,,200.4118805,,,,
sample offset = 35.92 mm touchdown = 10.9900003299117 mm,23177817.91,200.3947754,-0.235968485474586,2.7037970406218E-5,2.89885115951198E-7,1,0.999253354069792,40.0298881530762,1.99716514317245,16.2300001829863,0.000306276605226159,5.63257419279775E-5,0.25,2.67687687937893E-7,2.71306632288067E-5,2.97883749174072E-7,200.3947754,200.3947754,-0.243580371141434,-0.228356599807739,55.0477517238712,20.5385984787564,26.705515,0,0,0,40,4417,200.51235,-0.235968485474586,,,,,,,,,,,,,0,,,,-0.00245,,,,,,200.3947754,,,,
,23177837.46,200.3786011,32.8091049194336,2.76236903136334E-5,3.33437573142244E-7,1,0.999253354069792,40.0298881530762,1.99718074918761,16.2300001829863,0.00031494862656462,4.58316730222626E-5,0.25,-7.58905825644874E-7,2.77195225806766E-5,-7.31596474074685E-7,200.3786011,200.3786011,26.5986785888672,39.01953125,55.3611847600828,20.5422398788705,27.085165,0,0,0,40,4449,200.4591,32.8091049194336,,,,,,,,,,,,,0,,,,-0.00245,,,,,,200.3786011,,,,
,23177840.05,200.3778458,157.165916442871,2.85670434710315E-5,3.42915001861307E-7,1,0.999253354069792,40.0298881530762,1.99708064711685,16.2300001829863,0.000324798227282909,5.25208009765821E-5,0.25,-3.33041703534384E-7,2.86656596824112E-5,-3.03244924256978E-7,200.3770905,200.3786011,147.181793212891,167.150039672852,55.9302103220828,20.540735694283,26.705515,0,0,0,40,4449,200.45185,157.165916442871,,,,,,,,,,,,,0,,,,-0.00245,,,,,,200.3778458,,,,
,23177841.87,200.3770905,247.218795776367,3.02047215699537E-5,3.10376292339341E-7,1,0.999253354069792,40.0298881530762,1.99715302194346,16.2300001829863,0.000343756588349883,5.36532656993846E-5,0.25,-5.17846195183989E-7,3.03091713849699E-5,-4.86910700322262E-7,200.3770905,200.3770905,242.328186035156,252.109405517578,55.524545120602,20.5418714329278,26.705515,0,0,0,40,4449,200.4473,247.218795776367,,,,,,,,,,,,,0,,,,0,,,,,,200.3770905,,,,
,23177843.915,200.3740234,349.213516235352,3.15300390912305E-5,3.49338270991172E-7,1,0.999253354069792,40.0298881530762,1.99719441856092,16.2300001829863,0.000358974361410945,5.52753760109381E-5,0.25,-6.05182426134321E-7,3.1639145048226E-5,-5.73111206284112E-7,200.3740234,200.3740234,341.698699951172,356.728332519531,55.6433526555251,20.5427210956043,27.085165,0,0,0,40,4449,200.4418,349.213516235352,,,,,,,,,,,,,0,,,,-0.00245,,,,,,200.3740234,,,,
,23177846.235,200.3700562,463.854537963867,3.31088337748812E-5,3.2694226439642E-7,1,0.999253354069792,40.0298881530762,1.99715904570917,16.2300001829863,0.000375617412222937,6.5673358825624E-5,0.25,3.70331554169692E-8,3.32226787528996E-5,7.3024162627806E-8,200.3700562,200.3700562,456.486145019531,471.222930908203,55.8246904719867,20.5423033725993,26.705515,0,0,0,40,4449,200.4357,463.854537963867,,,,,,,,,,,,,0,,,,-0.00245,,,,,,200.3700562,,,,
,23177848.72,200.3671875,589.025604248047,3.46843695870132E-5,4.00906608965826E-7,1,0.999253354069792,40.0298881530762,1.99712567784078,16.2300001829863,0.000393442852685268,6.90430776608066E-5,0.25,6.04426486284552E-8,3.48036117766476E-5,9.82216836219377E-8,200.3671875,200.3671875,581.492919921875,596.558288574219,55.9286470650444,20.5423900041668,26.705515,0,0,0,40,4449,200.42855,589.025604248047,,,,,,,,,,,,,0,,,,-0.00245,,,,,,200.3671875,,,,
,23177851.085,200.3642578,708.698272705078,3.53804604537422E-5,3.42280985412096E-7,1,0.999253354069792,40.0298881530762,1.9970897586548,16.2300001829863,0.000401038513937305,7.21179515917589E-5,0.25,2.10634285526052E-7,3.55019377300155E-5,2.49684507560679E-7,200.3642578,200.3642578,701.201416015625,716.195129394531,55.4964064939097,20.5440161330464,27.085165,0,0,0,40,4449,200.423,708.698272705078,,,,,,,,,,,,,0,,,,0.00245,,,,,,200.3642578,,,,
,23177853.01,200.3627472,803.127868652344,3.66193804641369E-5,3.78765599918091E-7,1,0.999253354069792,40.0298881530762,1.99708475155804,16.2300001829863,0.000415911504159655,6.98600355574149E-5,0.25,-2.0353008806178E-7,3.67455699315171E-5,-1.64562147306801E-7,200.3627472,200.3627472,795.367248535156,810.888488769531,55.6613301114674,20.5447438302321,26.705515,0,0,0,40,4449,200.41875,803.127868652344,,,,,,,,,,,,,0,,,,0,,,,,,200.3627472,,,,
