[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,23105734.92,09/25/2018,7:14 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,23106254.815,349.903656,99.4721298217773,1.32582681383258E-5,4.76645057250903E-7,1,0.999253354069792,40.0298881530762,1.99857781232339,15.4900001361966,0.000150414050715882,2.22566167118121E-5,0.25,-3.25512214847104E-7,1.32349877170339E-5,-3.17573690939084E-7,349.903656,349.903656,99.4721298217773,99.4721298217773,56.7618630665445,20.5496913622311,27.844467,0,0,0,40,4369,351.56765,99.4721298217773,,,,,,,,,,,,,0,,,,0.00245,,,,,,349.903656,,,,
,23106264.585,349.9241943,99.4721298217773,1.28926104195635E-5,4.51347033662151E-7,1,0.999253354069792,40.0298881530762,1.99861299806474,15.4900001361966,0.000146743378860175,1.88979044321911E-5,0.25,-5.59550652757601E-7,1.28700976787907E-5,-5.5138833918451E-7,349.9241943,349.9241943,99.4721298217773,99.4721298217773,56.8025077495445,20.5485559195714,27.464817,0,0,0,40,4370,350.9537,99.4721298217773,,,,,,,,,,,,,0,,,,0.00245,,,,,,349.9241943,,,,
,23106311.45,349.4829102,99.4721298217773,1.24237700855356E-5,4.04288192890915E-7,1,0.999253354069792,40.0298881530762,1.99861974946044,15.4900001361966,0.000140840522286695,2.14975410546598E-5,0.25,-2.48335167541232E-7,1.24020968115567E-5,-2.40942048570235E-7,349.4829102,349.4829102,99.4721298217773,99.4721298217773,56.8884868866599,20.5489067296364,27.844467,0,0,0,40,4374,348.61155,99.4721298217773,,,,,,,,,,,,,0,,,,-0.00245,,,,,,349.4829102,,,,
,23106339.695,348.9594421,99.4721298217773,1.3228622453434E-5,3.48309240466638E-7,1,0.999253354069792,40.0298881530762,1.99873177173773,15.4900001361966,0.00014948541500596,2.57209531239836E-5,0.25,-1.40453536696036E-8,1.32056368979621E-5,-6.5849505942847E-9,348.9594421,348.9594421,99.4721298217773,99.4721298217773,56.7814037795252,20.547737646065,27.844467,0,0,0,40,4374,347.3062,99.4721298217773,,,,,,,,,,,,,0,,,,-0.0049,,,,,,348.9594421,,,,
,23106360.99,348.4408569,99.4721298217773,1.30397629283618E-5,4.33608278127603E-7,1,0.999253354069792,40.0298881530762,1.99858721377188,15.4900001361966,0.000147985857854697,2.16438088115257E-5,0.25,-3.42133845095832E-7,1.30175179687031E-5,-3.34196532847512E-7,348.4408569,348.4408569,99.4721298217773,99.4721298217773,56.9080275996406,20.5472070595643,27.464817,0,0,0,40,4374,346.43845,99.4721298217773,,,,,,,,,,,,,0,,,,-0.00245,,,,,,348.4408569,,,,
,23106380.265,347.9548035,99.4721298217773,1.33263571834664E-5,4.52726000247965E-7,1,0.999253354069792,40.0298881530762,1.99868565678395,15.4900001361966,0.000151129436947079,2.28053982286094E-5,0.25,-2.89077821234305E-7,1.33038081435852E-5,-2.81066805807256E-7,347.9548035,347.9548035,99.4721298217773,99.4721298217773,56.7712426087752,20.5468591214944,27.464817,0,0,0,40,4374,346.072,99.4721298217773,,,,,,,,,,,,,0,,,,0.00245,,,,,,347.9548035,,,,
,23106399.04,347.4862061,99.4721298217773,1.34767703979205E-5,4.27365367369921E-7,1,0.999253354069792,40.0298881530762,1.99873510683476,15.4900001361966,0.000152705536639453,2.38474830773965E-5,0.25,-2.22981631916592E-7,1.34541412549899E-5,-2.14992160720862E-7,347.4862061,347.4862061,99.4721298217773,99.4721298217773,56.7360693254098,20.5491415179286,27.464817,0,0,0,40,4374,345.6428,99.4721298217773,,,,,,,,,,,,,0,,,,-0.00245,,,,,,347.4862061,,,,
,23106420.525,346.9688721,99.4721298217773,1.35651624890309E-5,4.85636642831828E-7,1,0.999253354069792,40.0298881530762,1.99866994581686,15.4900001361966,0.000154213418617093,2.10675820867907E-5,0.25,-4.84312953010789E-7,1.35427693827507E-5,-4.75828374899162E-7,346.9688721,346.9688721,99.4721298217773,99.4721298217773,56.9088092281599,20.5469622422122,27.464817,0,0,0,40,4374,345.1047,99.4721298217773,,,,,,,,,,,,,0,,,,-0.00245,,,,,,346.9688721,,,,
,23106441.72,346.4507141,99.4721298217773,1.37161199273532E-5,4.30348830418454E-7,1,0.999253354069792,40.0298881530762,1.99864936941819,15.4900001361966,0.000156250083464055,1.9458149584247E-5,0.25,-6.52925097113411E-7,1.36938110541295E-5,-6.44072491797848E-7,346.4507141,346.4507141,99.4721298217773,99.4721298217773,56.8556584888522,20.5476377093531,27.464817,0,0,0,40,4374,344.57965,99.4721298217773,,,,,,,,,,,,,0,,,,0.0049,,,,,,346.4507141,,,,
,23106460.645,345.981781,99.4721298217773,1.28367950936605E-5,4.14255499391326E-7,1,0.999253354069792,40.0298881530762,1.9986299004108,15.4900001361966,0.000145565992230935,2.20687684401434E-5,0.25,-2.69626040040698E-7,1.28159270172965E-5,-2.61899337359134E-7,345.981781,345.981781,99.4721298217773,99.4721298217773,56.8447156895829,20.5461097015629,27.844467,0,0,0,40,4374,344.1059,99.4721298217773,,,,,,,,,,,,,0,,,,0,,,,,,345.981781,,,,
