[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32872420.11,01/16/2019,7:16 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DL 2.5,SAMPLE_MATERIAL
INFO,CoFe2O4,SAMPLE_COMMENT
INFO,29.51,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32872435.53,10.0016394,0.228356599807739,,,2,,,,21.8100001478195,,,,,,,10.0016394,10.0016394,0.228356599807739,0.228356599807739,,,11.899124,,,,-99999999,4369,9.9908,0.228356599807739,,,,,,,,,,,,,,,,,,,,,,,10.0016394,,,,
sample offset = 35.83 mm touchdown = 16.4700001478195 mm,32872476.26,10.0029211,0.159849613904953,-9.08822498369632E-7,3.03163793589246E-7,1,0.999253354069792,40.0298881530762,1.99830275019742,21.8000002205372,-1.00250664961338E-5,-2.89558297251356E-6,0.25,-9.61835077612467E-8,-9.03138092494504E-7,-1.0001143604001E-7,10.0029211,10.0029211,0.137013956904411,0.182685270905495,55.3041258781789,20.4625840133333,12.278775,0,0,0,40,4417,9.9913,0.159849613904953,,,,,,,,,,,,,0,,,,0,,,,,,10.0029211,,,,
,32872496.59,10.0014267,43.1810111999512,-2.92529331790853E-7,3.22858820303076E-7,1,0.999253354069792,40.0298881530762,1.9974008037872,21.8000002205372,-2.12729033817632E-6,-7.11587411380006E-6,0.25,-5.81293048181122E-7,-2.88046726533146E-7,-5.79364569444259E-7,10.0014267,10.0014267,38.8664588928223,47.4955635070801,55.4799922950059,20.4818675784512,12.278775,0,0,0,40,4449,9.9902,43.1810111999512,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0014267,,,,
,32872498.94,10.0016613,155.399612426758,-1.33261202868145E-6,3.26917125233428E-7,1,0.999253354069792,40.0298881530762,1.99698449333349,21.8000002205372,-1.50836486837087E-5,-2.02986378910478E-6,0.25,5.59706359997234E-8,-1.32523238087809E-6,4.9219658069593E-8,10.0016613,10.0016613,148.021469116211,162.777755737305,55.3994845575251,20.4848340274236,11.899124,0,0,0,40,4449,9.99145,155.399612426758,,,,,,,,,,,,,0,,,,0,,,,,,10.0016613,,,,
,32872501.985,10.001009,307.627563476562,-1.70072232365478E-6,2.321499295525E-7,1,0.999253354069792,40.0298881530762,1.99708699598859,21.8000002205372,-1.85219710237716E-5,-6.69759714287448E-6,0.25,-2.94079444699597E-7,-1.68954787705852E-6,-3.00609317457124E-7,10.001009,10.001009,297.637817382812,317.617309570313,55.1962611425251,20.4864316368503,11.899124,0,0,0,40,4449,9.99105,307.627563476562,,,,,,,,,,,,,0,,,,0,,,,,,10.001009,,,,
,32872504.765,10.0001497,446.979934692383,-1.79086539207575E-6,3.09429195070957E-7,1,0.999253354069792,40.0298881530762,1.99673114381356,21.8000002205372,-1.9767536246398E-5,-5.54751554008072E-6,0.25,-1.75781615733362E-7,-1.77975405701504E-6,-1.83437711803833E-7,10.0001497,10.0001497,437.024993896484,456.934875488281,55.5644081750828,20.4856857686883,11.899124,0,0,0,40,4449,9.99,446.979934692383,,,,,,,,,,,,,0,,,,0,,,,,,10.0001497,,,,
,32872506.83,9.9986153,549.578430175781,-2.0689613893544E-6,2.97301112242248E-7,1,0.999253354069792,40.0298881530762,1.99637302611361,21.8000002205372,-2.2853965938996E-5,-6.29170481500616E-6,0.25,-1.92723224001366E-7,-2.05618248751121E-6,-2.01638532965222E-7,9.9986153,9.9986153,542.186584472656,556.970275878906,54.6905474905827,20.4913244588896,11.899124,0,0,0,40,4449,9.9899,549.578430175781,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9986153,,,,
,32872509.055,9.9980817,659.04736328125,-2.29676565444775E-6,3.46229623371141E-7,1,0.999253354069792,40.0298881530762,1.99605588669443,21.8000002205372,-2.52414198642492E-5,-7.6881290885251E-6,0.25,-2.7668076818129E-7,-2.28228515807056E-6,-2.86232326624671E-7,9.9975481,9.9986153,651.559509277344,666.535217285156,55.6816524529674,20.4999048281979,11.519473,0,0,0,40,4449,9.9898,659.04736328125,,,,,,,,,,,,,0,,,,0,,,,,,9.9980817,,,,
,32872511.185,9.9975481,763.771301269531,-2.813041930297E-6,2.87422215308293E-7,1,0.999253354069792,40.0298881530762,1.99605059035064,21.8000002205372,-3.13392819026799E-5,-7.02932235135632E-6,0.25,-1.2630914689687E-7,-2.79634926978947E-6,-1.39239506032147E-7,9.9975481,9.9975481,756.068237304687,771.474365234375,56.0005568888136,20.5041976133323,11.899124,0,0,0,40,4449,9.9904,763.771301269531,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9975481,,,,
,32872513.75,9.9967842,893.800323486328,-2.84344650731847E-6,3.73242188829825E-7,1,0.999253354069792,40.0298881530762,1.9958793027214,21.8000002205372,-3.15094294724583E-5,-8.04030179897462E-6,0.25,-2.10966804040346E-7,-2.82618459337751E-6,-2.23581639170864E-7,9.9967842,9.9967842,886.3349609375,901.265686035156,55.1517083169289,20.4995678201741,12.278775,0,0,0,40,4449,9.9902,893.800323486328,,,,,,,,,,,,,0,,,,-0.0049,,,,,,9.9967842,,,,
,32872515.93,9.9968433,1003.55874633789,-3.20832012846697E-6,3.65422921970184E-7,1,0.999253354069792,40.0298881530762,1.99594226666418,21.8000002205372,-3.48027755283775E-5,-1.33016605862296E-5,0.25,-6.14633769958162E-7,-3.18702569418188E-6,-6.26739217572922E-7,9.9968433,9.9968433,996.223937988281,1010.8935546875,55.9263021794867,20.501314264214,12.278775,0,0,0,40,4449,9.9911,1003.55874633789,,,,,,,,,,,,,0,,,,0,,,,,,9.9968433,,,,
,32872518.25,9.996562,1117.875,-3.53330426964943E-6,3.88868258655105E-7,1,0.999253354069792,40.0298881530762,1.99591199443311,21.8000002205372,-3.93211334537046E-5,-9.05612512668262E-6,0.25,-1.7883459218692E-7,-3.5122946730354E-6,-1.95031078810934E-7,9.996562,9.996562,1115.50744628906,1120.24255371094,56.106858367429,20.5026640058901,11.519473,0,0,0,40,4449,9.9916,1117.875,,,,,,,,,,,,,0,,,,0,,,,,,9.996562,,,,
,32872520.85,9.9976654,1247.44873046875,-3.85531884291739E-6,3.9465791185155E-7,1,0.999253354069792,40.0298881530762,1.99583727335912,21.8000002205372,-4.24602701925449E-5,-1.23761748865052E-5,0.25,-4.17290230510522E-7,-3.83133350348985E-6,-4.33727554823513E-7,9.9976654,9.9976654,1234.87243652344,1260.02502441406,56.0029017743713,20.5028486592199,12.278775,0,0,0,40,4449,9.9924,1247.44873046875,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9976654,,,,
,32872523.43,9.9985085,1374.70092773438,-4.33903876637876E-6,3.19448335147575E-7,1,0.999253354069792,40.0298881530762,1.9960197062676,21.8000002205372,-4.79003332711137E-5,-1.33211426074212E-5,0.25,-4.15373928727837E-7,-4.31233350815613E-6,-4.34217111413785E-7,9.9985085,9.9985085,1364.57592773438,1384.82592773438,55.9145777516982,20.5037710755479,11.899124,0,0,0,40,4449,9.99265,1374.70092773438,,,,,,,,,,,,,0,,,,0,,,,,,9.9985085,,,,
,32872525.59,9.9988308,1484.34008789062,-4.28805652759162E-6,3.09849930075461E-7,1,0.999253354069792,40.0298881530762,1.99568684685324,21.8000002205372,-4.76152851789558E-5,-1.15579680166311E-5,0.25,-2.67560647030083E-7,-4.26238586904979E-6,-2.87024317977306E-7,9.9988308,9.9988308,1474.38635253906,1494.29382324219,55.8200007008713,20.508261966341,11.899124,0,0,0,40,4449,9.994,1484.34008789062,,,,,,,,,,,,,0,,,,0,,,,,,9.9988308,,,,
,32872527.61,9.999423,1586.61370849609,-4.39653605690671E-6,3.57291011172251E-7,1,0.999253354069792,40.0298881530762,1.99575389387848,21.8000002205372,-4.87141005097355E-5,-1.24562884452911E-5,0.25,-3.28224117647594E-7,-4.36997356829481E-6,-3.47902436685638E-7,9.999423,9.999423,1579.15197753906,1594.07543945313,56.1646988778521,20.5024174400255,12.278775,0,0,0,40,4449,9.9932,1586.61370849609,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.999423,,,,
,32872529.905,9.9989729,1698.83026123047,-5.1032202911766E-6,3.67103604307472E-7,1,0.999253354069792,40.0298881530762,1.99578705746832,21.8000002205372,-5.66389552633498E-5,-1.3932442175687E-5,0.25,-3.3407529514502E-7,-5.07264594306128E-6,-3.57219268674664E-7,9.9989729,9.9989729,1689.09973144531,1708.56079101562,54.9570828156404,20.5048656947232,11.899124,0,0,0,40,4449,9.99355,1698.83026123047,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9989729,,,,
