[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,33026698.91,01/18/2019,2:07 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DL 2.5,SAMPLE_MATERIAL
INFO,CoFe2O4,SAMPLE_COMMENT
INFO,29.51,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,33026724.14,300.0033264,0.0761188715696335,,,2,,,,19.1500004321337,,,,,,,300.0033264,300.0033264,0.0761188715696335,0.0761188715696335,,,22.909004,,,,-99999999,4369,300.1953,0.0761188715696335,,,,,,,,,,,,,,,,,,,,,,,300.0033264,,,,
sample offset = 36.02 mm touchdown = 14.0000004321337 mm,33026772.025,300.0057068,0.068506982177496,-3.58733588898278E-7,2.81811389163301E-7,1,0.999253354069792,40.0298881530762,2.00124328066035,19.1399995237589,-3.33451230928433E-6,-4.91883150388638E-6,0.25,-3.7195820364988E-7,-3.58475986202253E-7,-3.72185066078485E-7,300.0057068,300.0057068,0.0608950927853584,0.0761188715696335,55.5823856310251,20.5400029753052,22.909004,0,0,0,40,4417,300.18025,0.068506982177496,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.0057068,,,,
,33026790.41,300.0041504,32.7143869400024,1.73001682753442E-6,2.63711610141072E-7,1,0.999253354069792,40.0298881530762,2.00078443896299,19.1399995237589,2.14711413537463E-5,-7.41471411495496E-6,0.25,-9.54273215419139E-7,1.73059813371792E-6,-9.53096623112156E-7,300.0041504,300.0041504,26.7088985443115,38.7198753356934,55.9200491513328,20.5435992408243,22.909004,0,0,0,40,4449,300.1844,32.7143869400024,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.0041504,,,,
,33026792.43,300.0033569,125.443305969238,9.70687848512772E-6,4.90164413799512E-7,1,0.999253354069792,40.0298881530762,2.00070793689065,19.1399995237589,0.000110568398272514,1.55307950491875E-5,0.25,-3.10792057900754E-7,9.70679375583887E-6,-3.04341792853242E-7,300.0033569,300.0033569,118.027481079102,132.859130859375,55.7785743893521,20.5437458049015,23.288654,0,0,0,40,4449,300.18665,125.443305969238,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.0033569,,,,
,33026794.385,300.00177,222.184371948242,1.7822996952787E-5,3.67483991970792E-7,1,0.999253354069792,40.0298881530762,2.00077551582517,19.1399995237589,0.000201566519018133,3.69261872502728E-5,0.25,1.71639396725348E-7,1.78223498672917E-5,1.83460469645914E-7,300.00177,300.00177,217.233734130859,227.135009765625,55.9528775491405,20.5446392183074,22.529354,0,0,0,40,4449,300.188,222.184371948242,,,,,,,,,,,,,0,,,,0,,,,,,300.00177,,,,
,33026796.64,300.0018005,334.461120605469,2.38295097687042E-5,4.16481104563945E-7,1,0.999253354069792,40.0298881530762,2.00067879782348,19.1399995237589,0.000270198826858156,4.52417458914076E-5,0.25,-1.34810702908677E-7,2.38288863137543E-5,-1.18995016018059E-7,300.0018005,300.0018005,326.941772460937,341.98046875,55.8051497590059,20.5446418634795,22.909004,0,0,0,40,4449,300.1871,334.461120605469,,,,,,,,,,,,,0,,,,0,,,,,,300.0018005,,,,
,33026798.4,300.0018005,421.859573364258,2.70582649298884E-5,3.68136469061583E-7,1,0.999253354069792,40.0298881530762,2.00069744294836,19.1399995237589,0.000305152382782536,6.09501967439561E-5,0.25,6.92452407927992E-7,2.70569959742736E-5,7.10385645225836E-7,300.0018005,300.0018005,416.974700927734,426.744445800781,55.7973334738136,20.5460568374091,23.288654,0,0,0,40,4449,300.1863,421.859573364258,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.0018005,,,,
,33026800.82,300.0019226,544.1943359375,2.96402728677793E-5,3.91901788024801E-7,1,0.999253354069792,40.0298881530762,2.00072490922644,19.1399995237589,0.00033569927541653,5.85503284584901E-5,0.25,3.3170094371149E-8,2.96393640251959E-5,5.28359103137034E-8,300.0019226,300.0019226,541.628112792969,546.760559082031,55.8966002957559,20.5438461992439,23.288654,0,0,0,40,4449,300.1883,544.1943359375,,,,,,,,,,,,,0,,,,-0.0049,,,,,,300.0019226,,,,
,33026802.75,300.0023193,641.514373779297,3.13751202948844E-5,3.98068085837683E-7,1,0.999253354069792,40.0298881530762,2.00074394543207,19.1399995237589,0.000355445257854519,6.14338235231908E-5,0.25,-1.29126343637567E-8,3.13741896763411E-5,7.90564957388871E-9,300.0023193,300.0023193,636.544677734375,646.484069824219,56.0372934292175,20.5461957161804,22.529354,0,0,0,40,4449,300.186,641.514373779297,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.0023193,,,,
,33026804.665,300.00177,733.726196289063,3.29518879171657E-5,3.90783235759616E-7,1,0.999253354069792,40.0298881530762,2.00070614280075,19.1399995237589,0.00037377835208975,6.17681601575913E-5,0.25,-2.56490946795587E-7,3.29510724077983E-5,-2.34619651021484E-7,300.00177,300.00177,731.335754394531,736.116638183594,55.8293802431021,20.5485793379546,23.288654,0,0,0,40,4449,300.18925,733.726196289063,,,,,,,,,,,,,0,,,,0,,,,,,300.00177,,,,
