[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,30904407.53,12/25/2018,12:35 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,AH11 DL,SAMPLE_COMMENT
INFO,30.27,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30904547.485,349.584259,99.3960113525391,1.27300907016448E-5,4.319565307808E-7,1,0.999253354069792,40.0298881530762,1.99625181297462,14.7700002416968,0.00014508733339733,1.65859481985391E-5,0.25,-7.34434100821819E-7,1.27081088571432E-5,-7.26047483259241E-7,349.584259,349.584259,99.3960113525391,99.3960113525391,56.9158438848329,20.6245149873089,23.668306,0,0,0,40,4369,350.28125,99.3960113525391,,,,,,,,,,,,,0,,,,0,,,,,,349.584259,,,,
,30904556.86,349.5761108,99.3960113525391,1.35636495234599E-5,4.40139599793356E-7,1,0.999253354069792,40.0298881530762,1.99624756871174,14.7700002416968,0.000153887483951887,2.17135546452037E-5,0.25,-4.24370421281658E-7,1.35400323307785E-5,-4.16062136682953E-7,349.5761108,349.5761108,99.3960113525391,99.3960113525391,56.8220484625252,20.6262699408338,23.668306,0,0,0,40,4370,350.16005,99.3960113525391,,,,,,,,,,,,,0,,,,-0.00245,,,,,,349.5761108,,,,
,30904575.58,349.49543765,99.3960113525391,1.42136253997352E-5,4.95060718288788E-7,1,0.999253354069792,40.0298881530762,1.99630805772365,14.7700002416968,0.000160635715561798,2.64002231656213E-5,0.25,-1.21685939746844E-7,1.41887338946771E-5,-1.13529815347356E-7,349.4849854,349.5058899,99.3960113525391,99.3960113525391,57.0510656186599,20.6240737688609,24.047956,0,0,0,40,4370,349.357,99.3960113525391,,,,,,,,,,,,,0,,,,0.00245,,,,,,349.49543765,,,,
,30904612.44,348.9945068,99.3960113525391,1.36956288791236E-5,4.59410081507322E-7,1,0.999253354069792,40.0298881530762,1.99636393021882,14.7700002416968,0.000154813931426841,2.52911785299708E-5,0.25,-1.30399712685357E-7,1.36718816994771E-5,-1.22488570756254E-7,348.9945068,348.9945068,99.3960113525391,99.3960113525391,56.9439825115252,20.6250805603952,23.668306,0,0,0,40,4374,347.9397,99.3960113525391,,,,,,,,,,,,,0,,,,0,,,,,,348.9945068,,,,
,30904635.49,348.481308,99.3960113525391,1.35953888323708E-5,5.18525935072295E-7,1,0.999253354069792,40.0298881530762,1.99662597506632,14.7700002416968,0.000153075877945551,2.87298022030623E-5,0.25,1.91267328907377E-7,1.35718691655408E-5,1.98593181661376E-7,348.4541626,348.5084534,99.3960113525391,99.3960113525391,56.9353845978137,20.6263459168954,23.668306,0,0,0,40,4374,346.72695,99.3960113525391,,,,,,,,,,,,,0,,,,0.00245,,,,,,348.481308,,,,
,30904654.515,347.9513245,99.3960113525391,1.37455464509985E-5,5.69069439308238E-7,1,0.999253354069792,40.0298881530762,1.99656091839096,14.7700002416968,0.000156327965089345,2.00177465581195E-5,0.25,-6.06598693854499E-7,1.37224637520236E-5,-5.97810384634121E-7,347.9513245,347.9513245,99.3960113525391,99.3960113525391,56.9588334533906,20.6303877968188,24.047956,0,0,0,40,4374,346.08425,99.3960113525391,,,,,,,,,,,,,0,,,,0.0049,,,,,,347.9513245,,,,
,30904673.525,347.4886475,99.3960113525391,1.34565583399907E-5,4.53469344738739E-7,1,0.999253354069792,40.0298881530762,1.99653024342011,14.7700002416968,0.0001513850925235,2.9162527656878E-5,0.25,2.53659072160324E-7,1.34336935504986E-5,2.60826120673412E-7,347.4886475,347.4886475,99.3960113525391,99.3960113525391,57.1003082153714,20.634137098311,23.668306,0,0,0,40,4374,345.91855,99.3960113525391,,,,,,,,,,,,,0,,,,-0.00245,,,,,,347.4886475,,,,
,30904696.305,346.9865723,99.3960113525391,1.31961082672828E-5,4.53694878808051E-7,1,0.999253354069792,40.0298881530762,1.99659705337037,14.7700002416968,0.000149882089263039,2.0400279184678E-5,0.25,-4.77673253709793E-7,1.31743203710844E-5,-4.69413594050838E-7,346.9865723,346.9865723,99.3960113525391,99.3960113525391,57.2425646058714,20.6333749487802,23.288654,0,0,0,40,4374,345.34235,99.3960113525391,,,,,,,,,,,,,0,,,,0,,,,,,346.9865723,,,,
,30904717.075,346.4724731,99.3960113525391,1.52502128375902E-5,3.61068857118547E-7,1,0.999253354069792,40.0298881530762,1.99660320258941,14.7700002416968,0.000169353786410746,4.5881849070215E-5,0.25,1.42408118703488E-6,1.52241795186044E-5,1.43036539389061E-6,346.4724731,346.4724731,99.3960113525391,99.3960113525391,56.8955215433329,20.632698056645,23.288654,0,0,0,40,4374,344.677,99.3960113525391,,,,,,,,,,,,,0,,,,0.0049,,,,,,346.4724731,,,,
,30904740.125,345.9399109,99.3960113525391,1.34882754363149E-5,4.4470865753386E-7,1,0.999253354069792,40.0298881530762,1.99656864153349,14.7700002416968,0.000152666031563146,2.39585917335914E-5,0.25,-2.13089275686365E-7,1.34663277270848E-5,-2.05087073121774E-7,345.9399109,345.9399109,99.3960113525391,99.3960113525391,57.0463758475445,20.6329764560987,24.047956,0,0,0,40,4374,344.1647,99.3960113525391,,,,,,,,,,,,,0,,,,-0.0049,,,,,,345.9399109,,,,
