[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,30974119.94,12/25/2018,7:57 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,AH11 DL,SAMPLE_COMMENT
INFO,30.27,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30974136.61,99.9905396,-0.152237743139267,,,2,,,,16.0399996358156,,,,,,,99.9905396,99.9905396,-0.152237743139267,-0.152237743139267,,,20.251448,,,,-99999999,4369,99.927,-0.152237743139267,,,,,,,,,,,,,,,,,,,,,,,99.9905396,,,,
sample offset = 36.09 mm touchdown = 10.9599996358156 mm,30974184.19,99.99158095,-0.0685069765895605,6.49034213657981E-5,3.371287605113E-7,1,0.999253354069792,40.0298881530762,1.98452479180811,16.0199999809265,0.000733975608312405,0.000125377816976205,0.25,-3.11728523059443E-7,6.52693807508128E-5,-1.11369597484941E-7,99.9912491,99.9919128,-0.0913426354527473,-0.0456713177263737,56.035730172179,20.6078342269039,20.251448,0,0,0,40,4417,99.93245,-0.0685069765895605,,,,,,,,,,,,,0,,,,0,,,,,,99.99158095,,,,
,30974211.165,99.9912567,84.2322158813477,6.46934837488393E-5,3.33209523605129E-7,1,0.999253354069792,40.0298881530762,1.98419134251103,16.0199999809265,0.000730370946399176,0.000131285502554842,0.25,2.49890212129379E-7,6.50565203040421E-5,4.52740299463706E-7,99.9912567,99.9912567,74.7270736694336,93.7373580932617,56.320242953179,20.6104141827694,20.631098,0,0,0,40,4449,99.9346,84.2322158813477,,,,,,,,,,,,,0,,,,0,,,,,,99.9912567,,,,
,30974214.73,99.991272,259.760353088379,6.40999985477601E-5,3.54023475086153E-7,1,0.999253354069792,40.0298881530762,1.98410019998559,16.0199999809265,0.000723915013661612,0.000128505119822389,0.25,1.08612208817532E-7,6.44601456469777E-5,3.08802051594162E-7,99.991272,99.991272,247.305191040039,272.215515136719,56.1443765363521,20.6117184820628,20.251448,0,0,0,40,4449,99.935,259.760353088379,,,,,,,,,,,,,0,,,,0,,,,,,99.991272,,,,
,30974218.69,99.9919205,457.028747558594,6.36162142234638E-5,3.51370853514844E-7,1,0.999253354069792,40.0298881530762,1.98422472331612,16.0199999809265,0.000718003289650455,0.000130337920880314,0.25,3.55213355420624E-7,6.39728821780989E-5,5.55261882468891E-7,99.9919205,99.9919205,447.024749755859,467.032745361328,56.1865844763906,20.6124881237162,20.251448,0,0,0,40,4449,99.9352,457.028747558594,,,,,,,,,,,,,0,,,,-0.00245,,,,,,99.9919205,,,,
,30974222.24,99.9916229,636.414306640625,6.31329145434745E-5,3.34352959835981E-7,1,0.999253354069792,40.0298881530762,1.98438452921591,16.0199999809265,0.000713431937775874,0.000124644317040448,0.25,-6.46325401508257E-8,6.34881830170847E-5,1.31526025215683E-7,99.9916229,99.9916229,626.487121582031,646.341491699219,56.4281076888329,20.6153402029012,20.251448,0,0,0,40,4449,99.93615,636.414306640625,,,,,,,,,,,,,0,,,,-0.00245,,,,,,99.9916229,,,,
,30974225.97,99.9914093,821.140960693359,6.32914174732973E-5,3.41147522988263E-7,1,0.999253354069792,40.0298881530762,1.98412496443402,16.0199999809265,0.000715449608397908,0.000123145109745848,0.25,-2.23802971741875E-7,6.36480823735644E-5,-2.80664311091914E-8,99.9914093,99.9914093,810.946533203125,831.335388183594,56.1521928215444,20.6224668864851,19.871798,0,0,0,40,4449,99.9354,821.140960693359,,,,,,,,,,,,,0,,,,-0.00245,,,,,,99.9914093,,,,
,30974229.205,99.99180605,980.851898193359,6.21684299781917E-5,3.09568184407306E-7,1,0.999253354069792,40.0298881530762,1.98438719038754,16.0199999809265,0.000702370976491142,0.000123667338998564,0.25,1.84452020752283E-8,6.25180344801338E-5,2.12026992006341E-7,99.9916153,99.9919968,970.823791503906,990.880004882813,56.1162379096598,20.6173431016991,19.871798,0,0,0,40,4449,99.9359,980.851898193359,,,,,,,,,,,,,0,,,,0,,,,,,99.99180605,,,,
,30974233.26,99.9919281,1185.00396728516,6.22606728684812E-5,2.94427362311254E-7,1,0.999253354069792,40.0298881530762,1.9843703159624,16.0199999809265,0.00070411285293473,0.00011983699045102,0.25,-3.36674638141767E-7,6.26119121849101E-5,-1.44827266821287E-7,99.9919281,99.9919281,1175.07409667969,1194.93383789062,56.1865844763906,20.6208472535772,20.631098,0,0,0,40,4449,99.9351,1185.00396728516,,,,,,,,,,,,,0,,,,-0.00245,,,,,,99.9919281,,,,
,30974236.635,99.9921341,1351.99035644531,6.13288316331276E-5,3.54022776862442E-7,1,0.999253354069792,40.0298881530762,1.98430485007642,16.0199999809265,0.000693031676750337,0.000121004815644501,0.25,-6.9164846609821E-8,6.16740095154093E-5,1.21260279934945E-7,99.9921341,99.9921341,1344.52490234375,1359.45581054688,56.1154562811405,20.6209940212669,19.871798,0,0,0,40,4449,99.93655,1351.99035644531,,,,,,,,,,,,,0,,,,-0.00245,,,,,,99.9921341,,,,
