[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,30998510.84,12/26/2018,2:43 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,AH11 DL,SAMPLE_COMMENT
INFO,30.27,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30998526.03,199.9894714,-0.228356599807739,,,2,,,,15.4599998760223,,,,,,,199.9894714,199.9894714,-0.228356599807739,-0.228356599807739,,,22.909004,,,,-99999999,4369,199.9152,-0.228356599807739,,,,,,,,,,,,,,,,,,,,,,,199.9894714,,,,
sample offset = 36.09 mm touchdown = 10.3799998760223 mm,30998574.515,199.9841156,-0.068506982177496,2.96606499419872E-5,3.78865612413189E-7,1,0.999253354069792,40.0298881530762,2.00841931114924,15.4499998316169,0.000338697804789546,5.69291637443532E-5,0.25,-1.61668904915043E-7,2.97632137380209E-5,-1.29993446388276E-7,199.9841156,199.9841156,-0.0761188715696335,-0.0608950927853584,55.6300649706982,20.5964083540128,23.288654,0,0,0,40,4417,199.9269,-0.068506982177496,,,,,,,,,,,,,0,,,,0,,,,,,199.9841156,,,,
,30998594.36,199.98374935,45.4482288360596,3.06764897217835E-5,3.81401107274046E-7,1,0.999253354069792,40.0298881530762,2.00850009124638,15.4499998316169,0.000351428706953416,5.24474420323903E-5,0.25,-7.31136057109686E-7,3.07831794594365E-5,-7.00322774243719E-7,199.9835052,199.9839935,43.1258087158203,47.7706489562988,55.903634952429,20.5987120341634,23.668306,0,0,0,40,4449,199.92785,45.4482288360596,,,,,,,,,,,,,0,,,,0.0049,,,,,,199.98374935,,,,
,30998596.425,199.9839935,143.131195068359,3.10933696646799E-5,4.46943496079253E-7,1,0.999253354069792,40.0298881530762,2.00846822248091,15.4499998316169,0.000355033910530383,5.98675919295027E-5,0.25,-1.53072963836298E-7,3.12008700691759E-5,-1.19811518217002E-7,199.9839935,199.9839935,138.154449462891,148.107940673828,55.8184374438328,20.6012516899227,23.288654,0,0,0,40,4449,199.9276,143.131195068359,,,,,,,,,,,,,0,,,,-0.0049,,,,,,199.9839935,,,,
,30998598.53,199.9827118,249.928489685059,3.17160486518547E-5,4.05980588968155E-7,1,0.999253354069792,40.0298881530762,2.00844178753425,15.4499998316169,0.000362282490851847,6.02415015343139E-5,0.25,-2.28386256428419E-7,3.18257818247005E-5,-1.94708793851498E-7,199.9827118,199.9827118,247.355087280273,252.501892089844,55.8192190723521,20.5998930238132,23.668306,0,0,0,40,4449,199.9283,249.928489685059,,,,,,,,,,,,,0,,,,-0.0049,,,,,,199.9827118,,,,
,30998601.105,199.9827728,377.125946044922,3.30693979712914E-5,4.15273414353171E-7,1,0.999253354069792,40.0298881530762,2.00845026623192,15.4499998316169,0.000378382733403929,5.91285728077617E-5,0.25,-5.61025808546879E-7,3.31841644745611E-5,-5.27026746106821E-7,199.9827728,199.9827728,367.163391113281,387.088500976562,56.1045134818713,20.6030010159726,23.288654,0,0,0,40,4449,199.9287,377.125946044922,,,,,,,,,,,,,0,,,,-0.0049,,,,,,199.9827728,,,,
,30998603.31,199.9829254,486.970108032227,3.38928024378013E-5,3.58466199131233E-7,1,0.999253354069792,40.0298881530762,2.00841612724141,15.4499998316169,0.000387263407240989,6.36771319018259E-5,0.25,-3.05253055923567E-7,3.40101333564182E-5,-2.69477033263364E-7,199.9829254,199.9829254,481.96728515625,491.972930908203,56.0294771440252,20.6028457856685,23.288654,0,0,0,40,4449,199.92905,486.970108032227,,,,,,,,,,,,,0,,,,-0.00245,,,,,,199.9829254,,,,
,30998605.365,199.9833832,589.308959960937,3.48154988872492E-5,3.39814635330257E-7,1,0.999253354069792,40.0298881530762,2.00844959528585,15.4499998316169,0.000397616092401154,6.65428960585083E-5,0.25,-2.14409511098495E-7,3.49359158705614E-5,-1.77318123878774E-7,199.9833832,199.9833832,581.640441894531,596.977478027344,56.1357786226406,20.6041580907693,23.288654,0,0,0,40,4449,199.92995,589.308959960937,,,,,,,,,,,,,0,,,,-0.0049,,,,,,199.9833832,,,,
,30998607.805,199.9820099,711.555572509766,3.55806454301186E-5,3.48410748992168E-7,1,0.999253354069792,40.0298881530762,2.00850957505092,15.4499998316169,0.000406483299126901,6.73328906782113E-5,0.25,-2.78230486493574E-7,3.57037748165983E-5,-2.4052891635627E-7,199.9820099,199.9820099,706.610717773437,716.500427246094,55.9122328661405,20.6021669856895,23.668306,0,0,0,40,4449,199.93025,711.555572509766,,,,,,,,,,,,,0,,,,-0.00245,,,,,,199.9820099,,,,
,30998610.79,199.9831543,861.144653320312,3.69605467409799E-5,3.13112399228437E-7,1,0.999253354069792,40.0298881530762,2.00839035986485,15.4499998316169,0.000421534457092742,7.39088208464283E-5,0.25,5.88517425971079E-8,3.70880721923133E-5,9.92148964923275E-8,199.9831543,199.9831543,856.170959472656,866.118347167969,55.7199522504097,20.6022047506579,23.288654,0,0,0,40,4449,199.93155,861.144653320312,,,,,,,,,,,,,0,,,,0.0049,,,,,,199.9831543,,,,
