#File generated by ModelExp v0.3.9
#Generated at 2018-08-30 11:30:56.130455

#[[Data]] m
#r / nm	SLD / 1e-6 A-2	SLDmag / 1-6 A-2
-18.768	2.072	0.0
-18.56298662207358	2.072	0.0
-18.357973244147157	2.072	0.0
-18.152959866220737	2.072	0.0
-17.947946488294313	2.072	0.0
-17.742933110367893	2.072	0.0
-17.537919732441473	2.072	0.0
-17.332906354515053	2.072	0.0
-17.12789297658863	2.072	0.0
-16.92287959866221	2.072	0.0
-16.717866220735786	2.072	0.0
-16.512852842809366	2.072	0.0
-16.307839464882942	2.072	0.0
-16.102826086956522	2.072	0.0
-15.8978127090301	2.072	0.0
-15.69279933110368	2.072	0.0
-15.487785953177257	2.072	0.0
-15.282772575250837	2.072	0.0
-15.077759197324415	2.072	0.0
-14.872745819397995	2.072	0.0
-14.667732441471571	2.072	0.0
-14.462719063545151	2.072	0.0
-14.257705685618728	2.072	0.0
-14.052692307692308	2.072	0.0
-13.847678929765886	2.072	0.0
-13.642665551839466	2.072	0.0
-13.437652173913046	2.072	0.0
-13.232638795986622	2.072	0.0
-13.0276254180602	2.072	0.0
-12.82261204013378	2.072	0.0
-12.617598662207358	2.072	0.0
-12.412585284280937	2.072	0.0
-12.207571906354515	2.072	0.0
-12.002558528428093	2.072	0.0
-11.797545150501673	2.072	0.0
-11.592531772575251	2.072	0.0
-11.38751839464883	2.072	0.0
-11.182505016722407	2.072	0.0
-10.977491638795986	2.072	0.0
-10.772478260869566	2.072	0.0
-10.567464882943144	2.072	0.0
-10.362451505016722	2.072	0.0
-10.1574381270903	2.072	0.0
-9.952424749163878	2.072	0.0
-9.747411371237458	2.072	0.0
-9.542397993311036	2.072	0.0
-9.337384615384615	2.072	0.0
-9.132371237458193	2.072	0.0
-8.927357859531773	2.072	0.0
-8.72234448160535	2.072	0.0
-8.51733110367893	2.072	0.0
-8.312317725752509	2.072	0.0
-8.107304347826087	2.072	0.0
-7.902290969899665	2.072	0.0
-7.697277591973244	2.072	0.0
-7.4922642140468225	2.072	0.0
-7.287250836120402	2.072	0.0
-7.08223745819398	2.072	0.0
-6.877224080267558	2.072	0.0
-6.672210702341137	2.072	0.0
-6.467197324414715	2.072	0.0
-6.262183946488294	2.072	0.0
-6.057170568561872	2.0720000000000005	1.9454438060506615e-18
-5.85215719063545	2.0720000000000014	9.727219030253307e-18
-5.64714381270903	2.072000000000007	6.419964559967184e-17
-5.44213043478261	2.072000000000048	4.3772485636139885e-16
-5.237117056856187	2.07200000000031	2.82283896257951e-15
-5.032103678929767	2.0720000000018866	1.7172432476009192e-14
-4.827090301003343	2.072000000010823	9.850754711937526e-14
-4.622076923076923	2.0720000000585523	5.329212581228759e-13
-4.4170635451505005	2.072000000298758	2.7191876620369365e-12
-4.21205016722408	2.072000001437868	1.3086951847207648e-11
-4.007036789297658	2.072000006528003	5.941550357313473e-11
-3.8020234113712377	2.07200002796064	2.54487537174497e-10
-3.597010033444815	2.07200011299717	1.0284589867407546e-09
-3.391996655518395	2.0720004309187456	3.922065107774486e-09
-3.1869832775919718	2.072001550923614	1.4115940529660696e-08
-2.9819698996655517	2.0720052688955484	4.795556373150289e-08
-2.776956521739129	2.072016898887609	1.5380750562647272e-07
-2.571943143812709	2.072051178873647	4.6581142372320233e-07
-2.366929765886286	2.0721463906177173	1.3323939586649105e-06
-2.1619163879598657	2.072395580150092	3.6004261090489454e-06
-1.956903010033443	2.0730101328747397	9.193860649916143e-06
-1.751889632107023	2.0744383006588385	2.2192522430013492e-05
-1.5468762541806	2.077565752710476	5.065744924417994e-05
-1.34186287625418	2.0840192332776186	0.00010939467335098766
-1.136849498327757	2.0965676752563884	0.00022360601109809228
-0.9318361204013371	2.1195597707839955	0.0004328716707122476
-0.7268227424749142	2.1592570465507865	0.0007941817821915548
-0.5218093645484941	2.2238427902251203	0.001382017642365835
-0.31679598662207126	2.322859115377844	0.002283228085353715
-0.11178260869565122	2.46590370851209	0.0035851677498150796
0.09323076923077167	0.6392548158155271	0.005357520993433078
0.2982441471571917	0.8890507228932616	0.007631072144991761
0.5032575250836147	1.191000680706191	0.010379310426113989
0.7082709030100347	1.5349385399867177	0.013509707257590214
0.9132842809364548	1.9041034808678148	0.01686971177597539
1.1182976588628777	2.277488101715008	0.02026812228090518
1.3233110367892977	2.633355268659756	0.023507095315628994
1.5283244147157204	2.952961249388525	0.0264160322715288
1.7333377926421405	3.2234425670049554	0.028877854478049476
1.9383511705685634	3.439144938595067	0.0308410987163549
2.1433645484949837	3.6012392090798526	0.03231642158946773
2.3483779264214064	3.716021605367496	0.033361129056100586
2.5533913043478265	3.792612567620505	0.034058232032952516
2.758404682274249	3.8407711919612884	0.03449655425011117
2.9634180602006692	3.8693053180994195	0.03475626144907612
3.1684314381270924	3.8852365237436133	0.03490126146673775
3.3734448160535124	3.8936181026258923	0.03497754753780519
3.578458193979935	3.897773338457857	0.035015366977367984
3.783471571906355	3.899714481976681	0.035033034557010075
3.9884849498327783	3.9005689802384476	0.035040811888231264
4.193498327759198	3.900923430817565	0.03504403796800072
4.398511705685621	3.9010619757110288	0.03504529895304138
4.603525083612041	3.901113004459491	0.03504576339807961
4.808538461538464	3.901130714794897	0.03504592459108236
5.013551839464884	3.9011365064742325	0.035045977304811016
5.218565217391307	3.9011382897980416	0.03504599353586912
5.423578595317727	3.9011388010696755	0.03504599818881773
5.62859197324415	3.90113891363164	0.03504599921140825
5.83360535117057	3.90113883564942	0.03504599849417638
6.038618729096993	3.901138422019884	0.03504599470193273
6.243632107023413	3.9011369555620736	0.03504598125905576
6.448645484949836	3.901132146628706	0.03504593717643461
6.653658862876256	3.9011173047139556	0.03504580112337283
6.858672240802679	3.9010741443983075	0.03504540548083236
7.063685618729101	3.9009558767808543	0.035044321343707864
7.268698996655519	3.900650499669157	0.035041522008853236
7.473712374581941	3.8999074850857993	0.035034710933166804
7.678725752508365	3.898203957921355	0.03501909501833727
