[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,19798269.23,08/18/2018,3:29 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.68 mm,19798308.695,49.9998341,0.502384543418884,5.70815519100721E-7,1.61390398528762E-7,1,0.999253354069792,40.0298881530762,1.99363970395298,14.2400003969669,6.87645261660166E-6,-1.29732810837615E-6,0.25,-2.17994904875913E-7,5.72135304681242E-7,-2.13633307639191E-7,49.9995499,50.0001183,0.502384543418884,0.502384543418884,53.1030599680249,19.4932987879513,21.770052,0,0,0,40,4417,50.08225,0.502384543418884,,,,,,,,,,,,,0,,,,0.00245,,,,,,49.9998341,,,,
,19798327.835,49.9981117,68.4131088256836,8.19517472721138E-7,2.45810110787591E-7,1,0.999253354069792,40.0298881530762,1.99370916282073,14.2400003969669,1.04785152444915E-5,-5.2228235813603E-6,0.25,-6.11095073929687E-7,8.23631170541907E-7,-6.04676300928696E-7,49.9981117,49.9981117,61.2464828491211,75.5797348022461,53.6158082766403,19.5005893609803,21.3904,0,0,0,40,4449,50.0829,68.4131088256836,,,,,,,,,,,,,0,,,,0.0049,,,,,,49.9981117,,,,
,19798329.93,49.9982033,170.789115905762,7.32160866029784E-7,2.65999955546571E-7,1,0.999253354069792,40.0298881530762,1.99375907128019,14.2400003969669,8.77203277166629E-6,-1.39429921552335E-6,0.25,-2.55673853013409E-7,7.33678237930779E-7,-2.50092915338346E-7,49.9982033,49.9982033,158.482391357422,183.095840454102,53.5759452221595,19.4969832906893,21.770052,0,0,0,40,4449,50.0824,170.789115905762,,,,,,,,,,,,,0,,,,0.00245,,,,,,49.9982033,,,,
,19798332.46,49.9981346,295.167785644531,1.19191198875617E-6,3.01557647021878E-7,1,0.999253354069792,40.0298881530762,1.99348612350397,14.2400003969669,1.39978492763189E-5,-7.12540748950384E-7,0.25,-2.78067759568526E-7,1.19335843095805E-6,-2.69055738642133E-7,49.9981346,49.9981346,288.033325195313,302.30224609375,54.3114576587558,19.4951830050563,21.3904,0,0,0,40,4449,50.0827,295.167785644531,,,,,,,,,,,,,0,,,,0.0049,,,,,,49.9981346,,,,
,19798334.49,49.9978447,394.905181884766,1.74143969346975E-6,2.23700128246036E-7,1,0.999253354069792,40.0298881530762,1.99322627769568,14.2400003969669,2.06092485180327E-5,-1.92977997583675E-6,0.25,-4.85147866021965E-7,1.74414475719339E-6,-4.71940948611124E-7,49.9978447,49.9978447,387.412414550781,402.39794921875,53.2546959007556,19.4980908984791,21.3904,0,0,0,40,4449,50.08275,394.905181884766,,,,,,,,,,,,,0,,,,0,,,,,,49.9978447,,,,
,19798337.305,49.998661,536.846557617188,1.78491538336171E-6,3.12064079810933E-7,1,0.999253354069792,40.0298881530762,1.99348319425402,14.2400003969669,2.05245053477383E-5,1.36125461806455E-6,0.25,-2.00949711663015E-7,1.78549066678553E-6,-1.87567520573869E-7,49.998661,49.998661,531.867126464844,541.825988769531,53.8151235490442,19.4995544399878,21.770052,0,0,0,40,4449,50.0818,536.846557617188,,,,,,,,,,,,,0,,,,-0.00245,,,,,,49.998661,,,,
,19798339.695,49.998661,658.153076171875,1.91793040849668E-6,1.952708973996E-7,1,0.999253354069792,40.0298881530762,1.99325095292179,14.2400003969669,2.19460682002933E-5,2.04834278706718E-6,0.25,-1.63941235543454E-7,1.91816924771475E-6,-1.4958901210647E-7,49.998661,49.998661,645.833374023437,670.472778320312,53.7260178978518,19.4974453439692,21.3904,0,0,0,40,4449,50.08195,658.153076171875,,,,,,,,,,,,,0,,,,0,,,,,,49.998661,,,,
,19798341.79,49.9982491,760.561950683594,2.09290833114562E-6,2.46975542163728E-7,1,0.999253354069792,40.0298881530762,1.99321930736541,14.2400003969669,2.41063246076131E-5,1.35677011364363E-6,0.25,-2.56849751140063E-7,2.09375620920083E-6,-2.4114899152651E-7,49.9982491,49.9982491,750.446044921875,770.677856445313,53.9112638569095,19.5004611127557,21.3904,0,0,0,40,4449,50.08245,760.561950683594,,,,,,,,,,,,,0,,,,0.0049,,,,,,49.9982491,,,,
,19798344.1,49.9972038,875.187591552734,2.09092376840036E-6,2.76208409705574E-7,1,0.999253354069792,40.0298881530762,1.99308808567854,14.2400003969669,2.37092170496891E-5,3.42374210588501E-6,0.25,-7.30501310066822E-8,2.09041272301207E-6,-5.74575683836711E-8,49.9972038,49.9972038,870.368286132813,880.006896972656,53.5892329069864,19.4993048620509,21.01075,0,0,0,40,4449,50.0816,875.187591552734,,,,,,,,,,,,,0,,,,-0.0049,,,,,,49.9972038,,,,
,19798346.53,49.9968529,997.172271728516,2.32954994764153E-6,2.79831974283841E-7,1,0.999253354069792,40.0298881530762,1.99363308995015,14.2400003969669,2.64430808761077E-5,3.6987593067633E-6,0.25,-9.1743615744635E-8,2.32906810812556E-6,-7.4366500181039E-8,49.9968529,49.9968529,989.791687011719,1004.55285644531,53.6212796762749,19.4979562856732,21.01075,0,0,0,40,4449,50.08255,997.172271728516,,,,,,,,,,,,,0,,,,-0.00245,,,,,,49.9968529,,,,
