[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3735608881.15859,05/16/2018,5:07 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC654,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM507,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,494,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB210,OVEN_SERIAL_NUMBER
INFO,01.06.24,OVEN_SOFTWARE_VERSION
INFO,593,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3735610630.47,300.254486083984,0.133077308535576,2.98242143938216E-7,3.64483790312028E-7,1,0.999253354069792,40.0298881530762,1.99612277544196,14.5600000396371,4.92525498978852E-6,-9.21401040737582E-6,0.25,-9.07548908884547E-7,2.98832627920927E-7,-9.07315908166991E-7,300.254455566406,300.254455566406,0.133077308535576,0.133077308535576,55.0102335549481,19.7253083069829,38.6723365783691,0,0,0,40,301.616058349609,1,4,1,2.14767456054687,43.49951171875,,,,,,,,,,,,,,,,
,3735610638.734,300.273559570313,0.336161091923714,-2.73147168246793E-6,1.6460434312082E-6,1,0.999253354069792,40.0298881530762,1.99607109225394,14.5600000396371,-3.05948261325997E-5,1.52794507578195E-6,0.25,6.2025281069647E-7,-2.73177548371734E-6,6.1841654353822E-7,300.273559570313,300.273559570313,0.145175248384476,0.527146935462952,54.728847288025,19.7291391436525,38.7060699462891,0,0,0,40,301.606506347656,1,6,1,2.14935302734375,44.4770278930664,,,,,,,,,,,,,,,,
,3735610639.576,300.275207519531,25.747200012207,-1.38219080465816E-6,1.12205322163597E-6,1,0.999253354069792,40.0298881530762,1.99607560092768,14.5600000396371,-1.69273103590862E-5,9.02647440523682E-6,0.25,1.08001220823369E-6,-1.38285264992397E-6,1.07905277095347E-6,300.273559570313,300.273559570313,4.51377487182617,46.9806251525879,54.7757449991789,19.7283038951172,38.7122764587402,0,0,0,40,301.604705810547,1,6,1,2.15011596679687,43.9882698059082,,,,,,,,,,,,,,,,
,3735610640.5455,300.278030395508,72.0244274139404,5.4510385445929E-6,4.80003589071199E-7,1,0.999253354069792,40.0298881530762,1.99608056723351,14.5600000396371,6.13700653536689E-5,-4.83910117435551E-6,0.25,-1.40395339477031E-6,5.45175416820935E-6,-1.40028217780758E-6,300.27685546875,300.27685546875,51.993236541748,92.0556182861328,54.9617725867558,19.7301103565156,38.7201042175293,0,0,0,40,301.603118896484,1,6,1,2.14981079101562,44.4770278930664,,,,,,,,,,,,,,,,
,3735610641.4805,300.280624389648,119.510814666748,7.76309539923475E-6,4.87833671972206E-7,1,0.999253354069792,40.0298881530762,1.99606013577627,14.5600000396371,8.62091922850743E-5,-9.66601595765553E-8,0.25,-1.36867007759359E-6,7.76369545353682E-6,-1.36346661224575E-6,300.279205322266,300.279205322266,97.0217666625977,141.999862670898,54.6405232653519,19.7284649060675,38.7217216491699,0,0,0,40,301.597930908203,1,6,1,2.1514892578125,43.49951171875,,,,,,,,,,,,,,,,
,3735610642.4915,300.282943725586,169.611763000488,1.01716032612375E-5,5.30543398871787E-7,1,0.999253354069792,40.0298881530762,1.99611656171639,14.5600000396371,0.000111404535711303,8.74676465088215E-6,0.25,-9.69602212871761E-7,1.0171842303982E-5,-9.62817033100896E-7,300.282043457031,300.282043457031,147.085601806641,192.137924194336,55.2064223132751,19.7275987332861,38.7206420898438,0,0,0,40,301.597717285156,1,6,1,2.16445922851562,43.49951171875,,,,,,,,,,,,,,,,
,3735610643.4825,300.285720825195,219.450172424316,1.19206675459198E-5,5.16316043187033E-7,1,0.999253354069792,40.0298881530762,1.9960865735801,14.5600000396371,0.00012984309431281,1.43397620556029E-5,0.25,-7.5674436243345E-7,1.19206947652075E-5,-7.48807558092882E-7,300.283843994141,300.283843994141,197.029556274414,241.870788574219,54.9695888719481,19.7272967015618,38.7311668395996,0,0,0,40,301.597930908203,1,6,1,2.1502685546875,43.49951171875,,,,,,,,,,,,,,,,
,3735610644.472,300.288619995117,269.370895385742,1.39705440752527E-5,5.2250025418349E-7,1,0.999253354069792,40.0298881530762,1.99613922024165,14.5600000396371,0.000152953646721293,1.23586880121921E-5,0.25,-1.29970752173677E-6,1.39708483799411E-5,-1.29038948004519E-6,300.28759765625,300.28759765625,246.868194580078,291.873596191406,54.9719337575058,19.7266348703304,38.7306289672852,0,0,0,40,301.593536376953,1,6,1,2.14828491210938,43.49951171875,,,,,,,,,,,,,,,,
,3735610645.472,300.291152954102,316.867874145508,1.38941119871214E-5,5.63726480001985E-7,1,0.999253354069792,40.0298881530762,1.99614756705402,14.5600000396371,0.000151372278090075,1.65455550832957E-5,0.25,-8.97673209704858E-7,1.3894151460965E-5,-8.8842196462774E-7,300.289642333984,300.289642333984,291.873596191406,341.862152099609,54.8734485640827,19.7275158778529,38.7357559204102,0,0,0,40,301.592346191406,1,6,1,2.15164184570313,43.9882698059082,,,,,,,,,,,,,,,,
,3735610646.4635,300.294723510742,366.869400024414,1.54145437574969E-5,5.16253696078657E-7,1,0.999253354069792,40.0298881530762,1.99613431795031,14.5600000396371,0.000166823059278522,2.4709452508107E-5,0.25,-4.06135127333356E-7,1.541419447051E-5,-3.95895256374954E-7,300.292663574219,300.292663574219,341.862152099609,391.876647949219,54.8171713106981,19.7296788065866,38.7460098266602,0,0,0,40,301.5849609375,1,6,1,2.15118408203125,43.0107536315918,,,,,,,,,,,,,,,,
