#Data reduced with Dominiques SARed v. 1.0
#wavelength: 5.1836
#q/A-1 	 Icorr/a.u. 	 sIcorr /a.u. 	Ispec/a.u. 	 sIspec/a.u. 	 Ibg/a.u. 	 sIbg/a.u. 	 2th/°
0.0	3.2412381656499837e-06	3.8286830603004445e-06	3.266717388900667e-06	3.828598279450865e-06	2.5479223250683478e-08	2.5479223250683478e-08	0.0
0.0008039135400700388	2.5922569768065265e-05	1.1236500024350598e-05	2.794731038332483e-05	1.1144445187695773e-05	2.0247406152595664e-06	1.4353655477527306e-06	0.03799999999999937
0.0016078269917362076	7.094795541488826e-05	1.811661206419822e-05	7.369431406919886e-05	1.8043140099455024e-05	2.746358654310606e-06	1.6299472494809957e-06	0.07599999999999874
0.0024117402665946464	6.020233564814936e-05	1.727179192816031e-05	6.621848630327512e-05	1.7034837516795705e-05	6.016150655125761e-06	2.8511589198136853e-06	0.1139999999999981
0.0032156532762415146	1.6375956850485986e-05	1.2525322397475557e-05	2.9456620759366508e-05	1.1333373857158195e-05	1.3080663908880522e-05	5.332760839807655e-06	0.15199999999999747
0.004019565932272999	1.6829745826337116e-05	1.188787417725145e-05	2.8295932722572537e-05	1.1089240895693648e-05	1.146618689623542e-05	4.2837237085784805e-06	0.18999999999999684
0.004823478146285332	2.97699416218021e-05	1.2713065863559122e-05	3.644004738051177e-05	1.2469086276015493e-05	6.670105758709669e-06	2.4786954416536002e-06	0.2279999999999962
0.0056273898298747835	2.3940321932412634e-05	1.0878518202302724e-05	2.8018082015224827e-05	1.0730584435006882e-05	4.077760082812194e-06	1.7879362295729992e-06	0.2659999999999956
0.006431300894637692	2.6516895368413284e-05	1.1547522744747677e-05	3.179302969674215e-05	1.121503287012118e-05	5.276134328328864e-06	2.7510578442785296e-06	0.30399999999999494
0.0072352112521704565	4.365079694013928e-05	1.3848175603950448e-05	4.8596846750409244e-05	1.3647407771310655e-05	4.9460498102699695e-06	2.349516691027741e-06	0.3419999999999943
0.00803912081406956	3.677736937624208e-05	1.2213376007993201e-05	3.983743525518994e-05	1.2115032444124419e-05	3.0600658789478585e-06	1.5467845326472051e-06	0.3799999999999937
0.008843029491931569	2.5421840828761424e-05	1.0531472041800201e-05	3.020559432538071e-05	1.037148282977483e-05	4.783753496619287e-06	1.8287283228804547e-06	0.41799999999999304
0.00964693719735315	2.8098041430212262e-05	1.1685093858406276e-05	3.696028707747832e-05	1.1291873346559836e-05	8.862245647266055e-06	3.0058301357554494e-06	0.4559999999999924
