#File generated by ModelExp v0.7.2
#Read datafile: ../data_rescaling/IOS-11_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-15 12:01:31.842602
#Finished Fit at 2019-01-15 12:01:31.852320
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 0
#    # data points      = 4644
#    # variables        = 0
#    chi-square         = 176013.915
#    reduced chi-square = 37.9013598
#    Akaike info crit   = 16880.8796
#    Bayesian info crit = 16880.8796
#[[Variables]]
#    Ms:     191.2 (fixed)
#    mu:     13680 (fixed)
#    chi:    3.8 (fixed)
#    sigMu:  0 (fixed)
#    T:      300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.9999542969	-233.0652379248	2.0784494737	-224.70624355545436
-8.9972914062	-235.5775492206	2.7116351221	-224.6959192940025
-8.9883832031	-235.4459389665	2.5799793504	-224.6613805230499
-8.9879070312	-233.9605151477	2.6795868132	-224.6595342770829
-8.9779402344	-232.9982611939	2.9278326248	-224.62088944117218
-8.9753988281	-233.1036438309	3.1743840512	-224.61103522600976
-8.9652234375	-235.7125029405	2.266025537	-224.5715793822712
-8.9619253906	-234.8698461191	2.988962917	-224.55879057227506
-8.952928125	-236.0591145733	2.1395232267	-224.52390098768643
-8.9503054688	-235.0134088415	2.2146408299	-224.51373059006076
-8.9416597656	-233.3807784726	2.8652075744	-224.48020257168366
-8.9390949219	-230.2220894006	2.5323882796	-224.47025586245644
-8.9286398438	-236.1206445406	2.6041000591	-224.42970887879738
-8.9282027344	-233.0581079635	2.3911738208	-224.42801363524478
-8.9179417969	-232.2986562875	2.7508649868	-224.38821762661428
-8.9174582031	-235.1619679456	2.2905897559	-224.38634201127505
-8.907203125	-234.556794765	2.2680471467	-224.34656678855401
-8.9037136719	-234.3459856181	2.6955959523	-224.33303221435685
-8.89945	-235.9441977489	2.8557132158	-224.31649437813485
-8.895953125	-233.7291085944	2.6159137617	-224.30293053644453
-8.8874367187	-234.5581619447	2.0881828208	-224.26989579519523
-8.8857152344	-234.528247803	2.2613656873	-224.26321808160594
-8.8767246094	-235.9635783794	2.7522820214	-224.2283421927735
-8.8757152344	-232.7044686332	2.8721861828	-224.22442659631088
-8.8659550781	-234.3549754841	2.022430754	-224.18656377862428
-8.8624984375	-232.0644244943	3.1875819968	-224.17315393764363
-8.8539679688	-235.0203776658	2.3754222763	-224.14005955108038
-8.8502695312	-234.3651034279	2.451949976	-224.12571086804542
-8.8432269531	-234.2249342779	2.7410436553	-224.09838737309997
-8.8400371094	-230.9026022771	2.8265579244	-224.08601125871138
-8.8295308594	-232.6522022431	1.8535121767	-224.04524728561483
-8.8285007812	-234.9604715932	2.1020905721	-224.0412505017017
-8.8172480469	-229.156670914	1.9333997423	-223.9975877579853
-8.8155691406	-233.6730249693	2.3531068586	-223.99107308556302
-8.8060042969	-233.4151329189	2.4525013541	-223.95395757167756
-8.804803125	-234.483721015	1.9932558884	-223.94929641428288
-8.7962835937	-232.4630130681	2.472780176	-223.91623554533058
-8.7945816406	-235.4541261446	2.2297627001	-223.90963079153872
-8.7843402344	-235.7213339775	2.80498854	-223.86988593681775
-8.7840460937	-236.9001423001	2.0889254628	-223.86874440692438
-8.7738914062	-233.2734348289	1.856389064	-223.8293341277615
-8.77254375	-232.8176471926	2.4408967385	-223.8241037392963
-8.7633394531	-234.3237838516	2.6057460287	-223.78838004386017
-8.7603722656	-234.9571904426	2.3810184188	-223.77686346798663
-8.7525628906	-234.7980622066	1.9621443794	-223.74655207730996
-8.7488652344	-233.1400259768	2.4375151955	-223.73219955951745
-8.7433121094	-230.8405253638	2.7886761977	-223.71064452788303
-8.7378640625	-234.7366091327	1.9159337987	-223.68949680807216
-8.728553125	-232.3301312827	2.5492624177	-223.65335319381376
-8.727134375	-232.3460263429	3.1430507421	-223.64784568375083
-8.7173332031	-235.2398983742	2.1850253895	-223.60979703566073
-8.7141382812	-232.8938471825	2.3400855304	-223.59739379529807
-8.7078269531	-229.3363551965	3.2688409327	-223.5728915599487
-8.700365625	-235.9833812506	3.3150896961	-223.54392375055875
-8.69633125	-230.3853653467	2.7683942385	-223.52826028113327
-8.6909105469	-231.7482824328	2.8121943195	-223.50721390340067
-8.6830828125	-234.4512518516	2.5926833776	-223.4768210191105
-8.6807011719	-232.8842004993	2.1595633374	-223.4675735488799
-8.6708839844	-235.4964969164	1.6185205868	-223.42945408060865
