[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1418239200.498000 12/10/2014, 8:20:00 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, PMK18
INFO, WEIGHT, 13.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, NP
INFO, COMMENT, Fe2O3
INFO, SEQUENCE FILE: 04062014.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1418239200.498,,1.000000e+002,2.999957e+002,2.289520e-002,0.000000e+000,3,9.965565e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.639771e-002,0.000000e+000,0,,0,
1418239311.949,,1.000000e+002,2.988862e+002,2.297542e-002,0.000000e+000,3,9.964464e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.271729e-001,0.000000e+000,0,,0,
1418239384.152,,1.000000e+002,2.977856e+002,2.308344e-002,0.000000e+000,3,9.964775e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.899841e-001,0.000000e+000,0,,0,
1418239431.268,,1.000000e+002,2.966591e+002,4.739591e-002,0.000000e+000,3,5.541942e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,6.018066e-001,0.000000e+000,0,,0,
1418239461.166,,1.000000e+002,2.955931e+002,2.330311e-002,0.000000e+000,3,9.965168e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,7.934875e-001,0.000000e+000,0,,0,
1418239489.119,,1.000000e+002,2.944296e+002,2.341034e-002,0.000000e+000,3,9.964797e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.074493e+000,0.000000e+000,0,,0,
1418239509.486,,1.000000e+002,2.932753e+002,2.347804e-002,0.000000e+000,3,9.964833e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.816284e-001,0.000000e+000,0,,0,
1418239530.283,,1.000000e+002,2.920975e+002,2.358335e-002,0.000000e+000,3,9.964661e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.106293e+000,0.000000e+000,0,,0,
1418239552.267,,1.000000e+002,2.908763e+002,2.371207e-002,0.000000e+000,3,9.963918e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.187073e+000,0.000000e+000,0,,0,
1418239573.196,,1.000000e+002,2.896206e+002,2.381916e-002,0.000000e+000,3,9.965132e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.176208e+000,0.000000e+000,0,,0,
