# GRASP V.7.15CD    Instrument:  ILL_d33 
  
# ***** Sanpol Worksheets I+, I- ***** 
# Subtitle:  PKM18 Vpol Col5.3 Det 2 RF- 
# Start: 10-Sep-15   15:16:43   End: 10-Sep-15   15:26:43 
  
# Sample - (Flip off): Sum 23573 , Loaded: 23573 
# ***** Sanpol Worksheets I+, I- ***** 
# Subtitle:  PKM18 Vpol Col5.3 Det 2 RF+ 
# Start: 10-Sep-15   15:26:43   End: 10-Sep-15   15:36:43 
  
# Sample + (Flip on): Sum 23574 , Loaded: 23574 
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Data Normalisation: Exposure Time (1) seconds 
# Attenuator: 0 is In.  Attenuation factor 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator2: is Out 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Background: Sum 23561+23562 , Loaded: 23561+23562 
# Cadmium: No Cadmium Subtraction 
  
# Transmissions:  Ts = 0.99252 +/- 0.0017167  Te = 0.88085 +/- 0.001477 
# Foreground Image Only :  I_corr = I_s 
  
# Beam Centre1 :  Cx = 127.9407  Cy = 65.4408       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
  
# ***** Calibrations: ***** 
# Data: Corrected for D33 Detector Paralax 
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
# Data: Divided by Volume 0.2 cm3 
# Solid Angle Correction: 
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 1 
# Applying Default Instrument Mask 
# Applying User Defined Mask 
# Applying NanInf Mask 
# Intensity units are:  cm-1 \\ \Delta\Omega  
  
# ***** Analysis ***** 
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
# Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0209638	0.185457	0.00549589	0.00285751
0.0232061	0.141459	0.00891211	0.00288984
0.0235239	0.147851	0.00565909	0.00289432
0.0257284	0.120466	0.00622171	0.00291959
0.0260176	0.106364	0.00622756	0.00292389
0.0282686	0.0845664	0.0043627	0.00296399
0.0286415	0.077887	0.00652403	0.0029694
0.0307761	0.0607182	0.00347507	0.00300223
0.0311929	0.0743116	0.00990556	0.00301099
0.0332615	0.0468647	0.0031039	0.00304787
0.0357715	0.0393526	0.00267638	0.00309528
0.0382082	0.0271857	0.00251522	0.00314094
0.040646	0.0303019	0.00256826	0.00319467
0.0431541	0.0237274	0.00231746	0.00324316
0.0452472	0.0286645	0.00514275	0.00329613
0.0456711	0.0306666	0.00265075	0.00330559
0.0477251	0.0298886	0.0044121	0.00334948
0.0481368	0.0320386	0.00279577	0.00336105
0.0503003	0.0386374	0.00314762	0.0034152
0.0507634	0.0430392	0.00322982	0.00342551
0.0528067	0.0499409	0.00285716	0.00347695
0.0532842	0.0503974	0.00403406	0.00349002
0.0553149	0.0506789	0.0025437	0.0035402
0.0558801	0.0573344	0.00534456	0.0035528
0.057797	0.0567352	0.00243408	0.00360783
0.0584034	0.0598191	0.00534196	0.00362415
0.0602964	0.0609876	0.00232345	0.00367059
0.0609741	0.0556914	0.00941327	0.00369136
0.0627836	0.0628718	0.00223183	0.00374406
0.0635751	0.0635523	0.0127929	0.00376504
0.0652698	0.0637229	0.00212715	0.00381164
0.0672459	0.0628594	0.00587668	0.00388241
0.0677686	0.061089	0.00227082	0.00391259
0.0697369	0.0606617	0.00427627	0.00402623
0.0703142	0.0569103	0.00223087	0.00405956
0.0723161	0.0529582	0.00282766	0.00417514
0.0729121	0.0572663	0.00271476	0.00420955
0.0748076	0.0500306	0.00247705	0.00419129
0.075421	0.0504727	0.00296414	0.00422565
0.0773007	0.0437774	0.00217066	0.00415512
0.0780279	0.0463198	0.00298499	0.0041942
0.079785	0.0359425	0.0019825	0.00428865
0.0805276	0.0354767	0.00333095	0.00432857
0.0822712	0.0355175	0.0018656	0.00442229
0.0830324	0.0312797	0.00391055	0.00446321
0.0847591	0.0314678	0.00173209	0.00455602
0.0857508	0.0260002	0.0036472	0.00460933
0.0872599	0.0227697	0.0016357	0.0045533
0.0888914	0.0206508	0.00292867	0.00463844
0.0898158	0.0184649	0.00166988	0.00454113
0.0916244	0.0137196	0.00244899	0.00463257
0.092393	0.0114193	0.00167449	0.00467143
0.094174	0.00904412	0.00195193	0.00476148
0.0949729	0.0113065	0.00179926	0.00480187
0.0967598	0.0123976	0.00175423	0.00489222
0.0975538	0.0107508	0.00203829	0.00493236
0.0992526	0.00751192	0.00157598	0.00501826
0.100138	0.00879115	0.0021792	0.00506303
0.101725	0.00817835	0.00149971	0.00511528
0.102626	0.00490546	0.002389	0.00516056
0.104199	0.00737758	0.00140347	0.0050939
0.105166	0.00642381	0.00258393	0.00514118
0.106689	0.00841974	0.00135891	0.00506197
0.108135	0.00830187	0.00215121	0.00513059
0.109284	0.00818715	0.00139589	0.00518507
0.11094	0.012722	0.0020299	0.00526367
0.111867	0.0104236	0.00148	0.00530763
0.113552	0.012694	0.00171895	0.00538759
0.114494	0.00979405	0.0016095	0.00543228
0.116128	0.0126629	0.00158141	0.00550978
0.117078	0.0154961	0.00178753	0.00555486
0.118647	0.0154551	0.00149283	0.00562933
0.119677	0.0118196	0.00184941	0.00567818
0.121106	0.0139254	0.00142104	0.00574598
0.12215	0.0165618	0.00201238	0.00579551
0.123605	0.0145444	0.00133063	0.00586455
0.124881	0.0110952	0.00204638	0.00592511
0.126131	0.0101006	0.00129672	0.00598439
0.127615	0.0107838	0.00176481	0.00605482
0.12868	0.0126262	0.00134614	0.00610535
0.130305	0.0119559	0.00153515	0.00602811
0.131297	0.010785	0.00148213	0.00607401
0.1329	0.0104484	0.00141043	0.00614817
0.133936	0.00969656	0.00159879	0.00603325
0.135413	0.0109889	0.00133778	0.0060998
0.136529	0.00963809	0.00159468	0.00615007
0.137973	0.00824017	0.00126907	0.00621511
0.139113	0.00540406	0.0016821	0.00626645
0.140433	0.00689476	0.00124372	0.00632594
0.141755	0.00787626	0.00160201	0.00638549
0.142964	0.00508891	0.00117371	0.00643995
0.144446	0.00582667	0.00157029	0.00650668
0.145517	0.00449653	0.00120891	0.00655495
0.147123	0.00475987	0.00133093	0.00662729
0.148118	0.00598148	0.00134217	0.00667212
0.149671	0.00177088	0.00121741	0.00669579
0.150747	0.0047485	0.00139937	0.00674394
0.151896	0.00338366	0.00192056	0.00679533
