#From 023573_N.dat
#Mod_Q   	I       	Err_I   	Sigma_Q
0.0166861	0.735146	0.0175425	0.00280969
0.0185209	0.625038	0.0237154	0.00283215
0.0197446	0.567288	0.0229659	0.00284627
0.0209685	0.51884	0.0218626	0.0028573
0.0221925	0.450493	0.0209969	0.00287347
0.0233351	0.406926	0.0147424	0.00289145
0.0245595	0.352938	0.014595	0.00290706
0.0257838	0.324193	0.0139597	0.00291987
0.0270083	0.309349	0.0137962	0.00294308
0.0282328	0.263545	0.0129658	0.00296322
0.0294573	0.221007	0.0123022	0.00298006
0.0306818	0.187857	0.0118581	0.00299996
0.0319062	0.166261	0.0114604	0.00302463
0.0331307	0.145917	0.0111546	0.00304559
0.0343551	0.125289	0.0110205	0.00306361
0.0359604	0.100266	0.00849698	0.00309908
0.0374159	0.0897669	0.010104	0.00312721
0.0388713	0.0644993	0.00806493	0.00315169
0.0404868	0.0659488	0.00861156	0.00319095
0.0415933	0.0528477	0.00714132	0.00321415
0.0429662	0.0594965	0.0075754	0.00323957
0.0442158	0.0497077	0.00647621	0.00327122
0.0454377	0.0449563	0.00649609	0.00330022
0.0466595	0.0570047	0.00653961	0.00332604
0.0478813	0.045817	0.00648352	0.00335374
0.049103	0.048102	0.00650767	0.00338634
0.0503247	0.0554812	0.0066199	0.00341554
0.0515464	0.061148	0.00654694	0.00344186
0.0527679	0.0692891	0.00665596	0.00347568
0.0539894	0.0707774	0.00668395	0.00350819
0.0552108	0.0713765	0.00661545	0.00353761
0.056432	0.0804676	0.00665092	0.00356796
0.0578709	0.0911862	0.00606274	0.00360967
0.0593565	0.0898464	0.00603256	0.00364813
0.0608342	0.0973221	0.0060393	0.00368682
0.0622789	0.0925736	0.00643092	0.00372987
0.0636369	0.10237	0.00649955	0.00376643
0.0649774	0.0918984	0.00675903	0.00380202
0.0661976	0.105538	0.00688551	0.00384023
0.0674177	0.108021	0.00682679	0.00389233
0.0686782	0.100309	0.00603632	0.00396511
0.0698972	0.0966273	0.00600827	0.00403548
0.071116	0.100371	0.00606468	0.00410585
0.0723648	0.0947831	0.0054898	0.00417795
0.0735828	0.0933473	0.00542172	0.00424827
0.0748006	0.0885915	0.00533988	0.00419089
0.0760183	0.0865909	0.00525195	0.0042213
0.0772357	0.0804285	0.00514421	0.00415162
0.078601	0.075683	0.0047541	0.00422501
0.080003	0.0714534	0.00477186	0.00430037
0.0813539	0.0656619	0.00491249	0.00437299
0.0827956	0.0592759	0.00436173	0.00445048
0.0842611	0.0506267	0.00470055	0.00452926
0.0856073	0.0459993	0.00446295	0.00460162
0.0869686	0.0441265	0.00483666	0.0045381
0.0881842	0.0402695	0.00472981	0.00460154
0.0893996	0.0333434	0.00474789	0.00452009
0.0906148	0.0280974	0.00461767	0.00458153
0.0918298	0.0264857	0.00455429	0.00464295
0.0930445	0.0215226	0.00456772	0.00470437
0.0942589	0.0217828	0.00447951	0.00476577
0.0954731	0.0175773	0.00449011	0.00482716
0.096726	0.015969	0.00412692	0.00489051
0.0979392	0.0110274	0.00404527	0.00495185
0.099279	0.0141296	0.0038442	0.00501959
0.100647	0.0168178	0.00366771	0.00506106
0.102082	0.0204666	0.00342983	0.0051332
0.103493	0.0152326	0.00358485	0.00520417
0.104902	0.014929	0.00334183	0.00512828
0.106302	0.019905	0.00377924	0.00519673
0.10756	0.0180313	0.00357381	0.0051033
0.108874	0.0196784	0.00378417	0.00516566
0.110085	0.0185388	0.00378756	0.00522307
0.111294	0.0164164	0.00381177	0.00528047
0.112504	0.0227034	0.00385755	0.00533785
0.113713	0.0183021	0.0039064	0.00539522
0.114922	0.0151094	0.00380635	0.00545257
0.11613	0.0195871	0.00381643	0.00550991
0.117338	0.028911	0.00382965	0.00556724
0.118752	0.0257439	0.0034572	0.0056343
0.120227	0.0156543	0.00342196	0.0057043
0.121633	0.0213776	0.00359907	0.00577098
0.123032	0.0225825	0.00340645	0.00583737
0.12443	0.0198957	0.00378417	0.00590371
0.125625	0.0221937	0.00327694	0.00596039
0.126962	0.0186033	0.00356332	0.00602385
0.128225	0.0177469	0.0033141	0.00608375
0.12947	0.0207686	0.00336904	0.00598947
0.130674	0.0201037	0.00338306	0.00604516
0.131877	0.0156482	0.00334686	0.00610083
0.13308	0.0159135	0.00333893	0.00615648
0.134283	0.0159777	0.00329432	0.00604888
0.135571	0.0156984	0.00306459	0.00610693
0.136887	0.0157875	0.00310928	0.00616617
0.138331	0.0169816	0.00290107	0.00623123
0.139794	0.0147614	0.00299299	0.00629714
0.141131	0.0120231	0.00327911	0.00635737
0.142418	0.00838449	0.00297419	0.00641535
0.143811	0.00871233	0.00305249	0.00647807
0.145089	0.00593076	0.00324358	0.00653567
0.146288	0.0040849	0.00327027	0.00658967
0.147486	0.00652429	0.00324956	0.00664365
0.148684	0.0105674	0.00320278	0.00669761
0.149882	0.00559119	0.00319327	0.00670523
0.151079	0.00990873	0.00319987	0.00675878
0.152458	0.00985597	0.00279538	0.00682048
0.153795	0.0052734	0.00289873	0.00688028
0.154785	0.00804268	0.00355122	0.00692458
