#File generated by ModelExp v0.7.3
#Read datafile: ../../experimentalData/PMK18_LSDD_Nuclear20.dat
#Read datafile: ../../experimentalData/PMK18_SSDD_Nuclear20.dat
#Started Fit at 2019-01-30 14:08:57.485942
#Finished Fit at 2019-01-30 14:08:57.586614
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 21
#    # data points      = 213
#    # variables        = 3
#    chi-square         = 1094.02693
#    reduced chi-square = 5.20965205
#    Akaike info crit   = 354.537956
#    Bayesian info crit = 364.621833
#[[Variables]]
#    r:            52.89761 (fixed)
#    d:            14.6400000 +/- 0.44927578 (3.07%) (init = 14.72)
#    sldCore:      7e-06 (fixed)
#    sldShell:     7.8e-08 (fixed)
#    sldSolvent:   5.66e-06 (fixed)
#    sldOleic:     7.8e-08 (fixed)
#    sigR:         0.05594274 (fixed)
#    sigD:         0 (fixed)
#    i0:           0.05629891 +/- 0.00559575 (9.94%) (init = 0.056)
#    bg:           0 (fixed)
#    i0Oleic:      0.27953623 +/- 0.03030158 (10.84%) (init = 0.279)
#    rOleic:       21 (fixed)
#    dTheta_sa:    0.0017 (fixed)
#    wavelength:   5.9984 (fixed)
#    dWavelength:  0.04247 (fixed)
#    dTheta_la:    0.0028 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(d, i0)       = -0.988
#    C(i0, i0Oleic) = -0.750
#    C(d, i0Oleic)  =  0.683

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00511546	0.557008	0.0620943	0.47420961324392635
0.00559878	0.583545	0.082027	0.4698551551422807
0.00578977	0.587078	0.0434073	0.4681161992736071
0.00609626	0.530189	0.0390122	0.4652931235553671
0.00641688	0.510435	0.0383464	0.46224067745722636
0.0067377	0.577786	0.0386086	0.4591165318511533
0.00705871	0.530631	0.0374986	0.4559629580324491
0.00737987	0.561993	0.0373903	0.4526910716652277
0.00770118	0.571799	0.0365857	0.4493399213892931
0.00804508	0.539819	0.0343175	0.44572195085145544
0.00838422	0.565012	0.0361466	0.442021254878828
0.00872458	0.579196	0.0340862	0.4382142173702359
0.00906768	0.521083	0.0349903	0.4343284964978632
0.00937855	0.535718	0.030999	0.43067552809475274
0.00969388	0.500978	0.0272999	0.4268916622448488
0.0100146	0.49746	0.027206	0.4230126812614133
0.0103355	0.52852	0.0271379	0.41900098694622534
0.0106565	0.496245	0.0266286	0.4149016898572613
0.0109776	0.513071	0.0269376	0.4107721026642633
0.0112988	0.51189	0.0264667	0.4065129171174258
0.0116201	0.473413	0.0257341	0.40217183768285775
0.0119573	0.425385	0.024138	0.3975954956197015
0.012304	0.406671	0.023792	0.39275387925980365
0.0126377	0.435868	0.0248082	0.38793322061792573
0.012957	0.441927	0.0230544	0.3833702940042065
0.0132979	0.432094	0.020149	0.37837543189449857
0.0136387	0.407601	0.0211629	0.37330709255366873
0.0139596	0.43326	0.0214118	0.3685238175894326
0.0142805	0.402997	0.0208963	0.3636237615780265
0.0146016	0.402436	0.0207266	0.3586627011980912
0.0149331	0.38727	0.0197194	0.353556017941316
0.0152735	0.380257	0.019058	0.34819659829548777
0.0156141	0.364471	0.0191774	0.34277924726995146
0.0159467	0.36788	0.0198708	0.3375071567045546
0.0162759	0.358159	0.0185894	0.332178269123746
0.0166095	0.377081	0.0188556	0.32673683838662754
0.016925	0.334106	0.0169972	0.3215985839561407
0.0172407	0.32792	0.0164233	0.31641054951984804
0.0175616	0.338374	0.0165451	0.3111088855781207
0.0178902	0.326482	0.0159851	0.305660343174406
0.0182268	0.280221	0.0153925	0.3000627742593793
0.0185567	0.281054	0.0153983	0.29455743018850855
0.0188778	0.30681	0.0157108	0.2891819195551859
0.019199	0.287982	0.0153283	0.28379006691567976
0.0195278	0.283874	0.0149595	0.2782678692413032
0.0198646	0.258512	0.014765	0.27261117544628594
0.0201947	0.242042	0.0150088	0.26706327941081703
0.0205126	0.249403	0.0141957	0.2617250338644179
0.0208315	0.252169	0.0135514	0.2563763939921385
0.0211589	0.245249	0.0131904	0.25089630869697677
0.021493	0.255418	0.0131494	0.24531946889726838
0.0218209	0.242801	0.0133475	0.23986117219832426
0.0221419	0.240609	0.0129664	0.2345351497696927
0.0224629	0.218231	0.0127897	0.22923114052024196
0.022784	0.203908	0.0123954	0.2239500016330839
0.0231051	0.198816	0.0123672	0.21869284310589657
0.0234334	0.201219	0.0120973	0.21334928600227263
0.0237677	0.208169	0.0120363	0.20794788747935075
0.0240945	0.178887	0.0113172	0.20270478909467934
0.0244177	0.191292	0.0113654	0.19761835558906687
0.0247425	0.174191	0.0106522	0.19248219117043303
0.0250747	0.188191	0.0106881	0.18727903825763595
0.0254009	0.190634	0.0110469	0.1821665355539261
0.0257219	0.164187	0.0105672	0.1772375744987185
0.0260428	0.156965	0.0104579	0.17236055076750376
0.0263638	0.155678	0.0104843	0.16753260473910714
0.0266849	0.151291	0.0103673	0.16275624545080036
0.0270129	0.126001	0.00994831	0.1579386478379447
0.0273576	0.132168	0.00953863	0.15295022558411642
0.0276959	0.120666	0.00951714	0.14812261540364713
0.0280169	0.123273	0.00923589	0.1436008162283739
0.0283515	0.130077	0.00888535	0.1389650642524564
0.0286917	0.120447	0.00897867	0.13432886889764697
0.0290177	0.114504	0.00892467	0.12996545087317066
0.0293386	0.100217	0.00862213	0.1257065322976512
0.0296594	0.0973835	0.00855426	0.12154024567387575
0.0299857	0.100897	0.00859909	0.11738118884674316
0.0303165	0.083033	0.00835888	0.1132471136709009
0.0306424	0.0842414	0.00836881	0.10925207748128407
0.0309685	0.0867462	0.00825281	0.10533310155888652
0.0312995	0.0884448	0.00815358	0.10143799356913641
0.0316248	0.0775257	0.00779903	0.0976918471350462
0.0319503	0.0811312	0.00744009	0.09402831858642724
0.0322843	0.0746317	0.00729929	0.09035778159972088
0.0326182	0.0652731	0.00728258	0.08683076272106932
0.0329436	0.0700665	0.0074619	0.08342157266368216
0.0332644	0.0718245	0.00729015	0.08014090174338434
0.0335852	0.0700134	0.00740949	0.07694317676160223
0.033906	0.0690625	0.00729945	0.07382842883722807
0.0342269	0.0604438	0.00725344	0.07079443620443018
0.0345529	0.0540349	0.0070988	0.06778370947109355
0.0348827	0.050475	0.00691985	0.06486392089710961
0.0352127	0.0431888	0.00668142	0.06203199626092977
0.0355558	0.0524714	0.00622104	0.05918499797257109
0.0358946	0.0492973	0.0064076	0.056470526092039494
0.0362268	0.0324565	0.00639507	0.05390142783854058
0.0365562	0.0368685	0.00619176	0.051444019915611455
0.0368769	0.0484624	0.00627515	0.049135731755734435
0.0371976	0.0531606	0.00629171	0.04691323871379031
0.0375224	0.0358493	0.0060972	0.04474970355363389
0.0378512	0.0377781	0.00619596	0.04264759771544144
0.0381838	0.0313377	0.00592763	0.04061038973994442
0.0385166	0.03794	0.00596557	0.03866019220578704
0.0388462	0.0435616	0.00594193	0.03681318685344884
0.0391727	0.0445686	0.00594411	0.035063736018795554
0.0395029	0.0386109	0.00561124	0.03341788311983402
0.0398346	0.0244066	0.00555073	0.03180602974169471
0.0401594	0.0274956	0.00563385	0.030305952232775303
0.0403245	0.00607104	0.0351891	0.029553230970971633

#[[Data]] la
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.0191237	0.298198	0.00788015	0.2873745180203482
0.0209594	0.25952	0.0104305	0.2567044338292453
0.0218621	0.233112	0.00823104	0.2420792984705662
0.0230724	0.204358	0.00614875	0.22284585148088487
0.0245706	0.179343	0.00459411	0.19960371786120099
0.0258999	0.159703	0.00465448	0.18001011997169927
0.0271191	0.148736	0.00454023	0.1625244254660309
0.0283388	0.129286	0.0042769	0.14582234282932663
0.0295589	0.111714	0.00408382	0.13028487394569827
0.0307794	0.0945963	0.00390607	0.11545841006531504
0.0320001	0.0823406	0.00372182	0.10163604706972963
0.0332211	0.0746133	0.00362317	0.08915891918686211
0.0345239	0.0616749	0.00311714	0.0768284804347162
0.0357821	0.0530657	0.00288639	0.06612493032735432
0.0370202	0.0460333	0.00266359	0.05702123451130637
0.0383721	0.0363569	0.00238403	0.0482059479772171
0.0396592	0.0346453	0.00254199	0.04106543771291858
0.0411009	0.0301818	0.00212055	0.0346533784025356
0.0425026	0.0292513	0.00242808	0.029753859606768098
0.0438118	0.0261179	0.00220347	0.026300031229765566
0.045184	0.0230806	0.00225644	0.023806536757719772
0.0464987	0.0277106	0.0023091	0.022386310282506535
0.0478188	0.0275187	0.00229089	0.0218058039309039
0.0490964	0.0218422	0.00216059	0.02194943429839921
0.0503268	0.0266729	0.0022109	0.022651610145242772
0.0515468	0.0312385	0.0019697	0.0238043986610316
0.0528781	0.0319967	0.00202981	0.02547850706857802
0.0541677	0.0340473	0.00202749	0.02740993762780699
0.0554269	0.0370625	0.00213022	0.029499193966178047
0.0566435	0.0403445	0.00214522	0.031627100003906554
0.0578602	0.0468696	0.00218066	0.033788508252032196
0.0590769	0.0444916	0.00215116	0.0359175497328681
0.0603938	0.0477323	0.00207209	0.03811646287158526
0.0617127	0.0443588	0.00211607	0.04012615032707439
0.0631159	0.0492043	0.00194989	0.04201765756377119
0.0645088	0.04966	0.00186992	0.04356396709227818
0.0658375	0.0519263	0.00189895	0.044715203216129554
0.067122	0.0521405	0.00197743	0.0454947805088467
0.06839	0.0540465	0.00188002	0.04592983279687883
0.069725	0.0482013	0.00184782	0.04602317713485061
0.0710075	0.048996	0.00193671	0.04576527480664298
0.0722763	0.0473457	0.00183611	0.04518642395752338
0.0735572	0.0467338	0.00191693	0.04429485576973143
0.0748302	0.0440923	0.00180256	0.043124799862395494
0.0761368	0.0420913	0.00179896	0.041659216203633435
0.0773795	0.0390652	0.00168635	0.04004678648483085
0.0786089	0.0375356	0.00168439	0.03827499195695363
0.0798676	0.0355314	0.0015751	0.03631453308174932
0.0812081	0.032328	0.00153953	0.0341045544666507
0.0825617	0.0299476	0.00150149	0.03178786948067246
0.0838953	0.0253533	0.00149652	0.029463715114499085
0.0852485	0.0239288	0.00142136	0.02710918189610234
0.0865708	0.0210779	0.00151108	0.02485183291885302
0.0878273	0.019086	0.00143773	0.022778652522245216
0.0891364	0.0169993	0.00143729	0.020721587283770677
0.0904417	0.0131439	0.00137881	0.01879903383973406
0.0917035	0.0123658	0.00133875	0.017080616288821092
0.0929912	0.012537	0.00125825	0.015487972576119348
0.0942692	0.0125346	0.00128062	0.014078571937453675
0.0955207	0.00908268	0.00126784	0.012870250198415882
0.0967985	0.00913897	0.00123708	0.011816732258873665
0.0980462	0.00598963	0.00125999	0.010961643529224333
0.0993044	0.00495199	0.00120794	0.010271958465567301
0.100549	0.00832995	0.00128012	0.009752210911742784
0.101863	0.00936992	0.00118942	0.009368841887061797
0.10321	0.00964785	0.0012036	0.009136367723703413
0.104619	0.00710107	0.0011109	0.009068984000562226
0.105948	0.00905924	0.00122049	0.009111930294803897
0.107229	0.0101209	0.00109236	0.0092502994669821
0.10859	0.00769006	0.00113785	0.00948110753230131
0.109883	0.00873405	0.00112459	0.00975983131080207
0.11117	0.00896331	0.00116412	0.010076144758894201
0.112431	0.0102962	0.00114939	0.010405522798657106
0.113696	0.00950362	0.00118382	0.010739525793751465
0.114937	0.00725945	0.00116316	0.011056154937577662
0.116201	0.00915981	0.00115071	0.011353943577127457
0.117463	0.0123566	0.00117147	0.011614725793395855
0.11872	0.0137233	0.00114312	0.011827244523194873
0.120023	0.0109738	0.00109361	0.011990495234417534
0.121328	0.0101692	0.00108863	0.012089107349145407
0.122667	0.0107045	0.00103138	0.012111933379559821
0.124008	0.0108911	0.00106867	0.012064477084188712
0.125336	0.0110911	0.00103733	0.011942222714917423
0.126659	0.0104822	0.00108119	0.011747881670250926
0.127952	0.0105979	0.00106295	0.011492713432457054
0.129286	0.0113216	0.0010534	0.011162123862427263
0.130589	0.0101516	0.00107736	0.010782761966666934
0.131843	0.0087548	0.00107797	0.01037562687510918
0.133089	0.00871014	0.00106698	0.009929481496895836
0.134364	0.00776904	0.000989583	0.009441907622717455
0.13564	0.00763641	0.000995215	0.008934972209943572
0.136864	0.00744914	0.00101708	0.008430372461296614
0.138165	0.00729433	0.000954556	0.007889897836814366
0.139534	0.00824025	0.000945437	0.007317340647495175
0.140842	0.00628467	0.000987198	0.006776839761361345
0.142153	0.00442125	0.000939951	0.006248036224415712
0.143511	0.0051806	0.00093782	0.0057220611193472696
0.1448	0.00360484	0.000978906	0.0052480634747635695
0.146081	0.00400559	0.000944351	0.004802723969399918
0.147356	0.00422026	0.000959247	0.004387328299804058
0.148606	0.0043165	0.000899912	0.0040081390904911545
0.149882	0.00293887	0.000912318	0.003656618402741177
0.151159	0.00399878	0.000894768	0.0033292634192300546
0.152014	0.00684695	0.00198827	0.003124552092665138
