#File generated by ModelExp v0.7.2
#Read datafile: ../data_rescaling/IOS-7_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-15 11:36:47.881792
#Finished Fit at 2019-01-15 11:36:47.900405
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 6
#    # data points      = 4676
#    # variables        = 1
#    chi-square         = 19447.7439
#    reduced chi-square = 4.15994523
#    Akaike info crit   = 6666.64681
#    Bayesian info crit = 6673.09701
#[[Variables]]
#    Ms:     188.8 (fixed)
#    mu:     3785 (fixed)
#    chi:    2.32000000 +/- 0.00909869 (0.39%) (init = 1.68)
#    sigMu:  0 (fixed)
#    T:      300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.9999484375	-203.1758526857	1.3478588186	-207.20455156875943
-8.9969214844	-201.7908579654	1.1118332129	-207.19669623001025
-8.9866917969	-202.2716321292	1.6362413206	-207.1701447027096
-8.9848804687	-202.9807390403	1.3663581497	-207.1654426654036
-8.9745035156	-203.7655582839	1.6255238982	-207.13850118476356
-8.9723824219	-202.2115120129	1.9725882493	-207.1329934143318
-8.9641722656	-204.4229266031	1.3337797926	-207.11167176839686
-8.9608851563	-201.7945621366	1.4875546101	-207.10313402939545
-8.9545277344	-202.765530203	1.2834462191	-207.08661974700894
-8.9526199219	-202.4330444218	1.7619081959	-207.08166345124624
-8.9443664062	-201.7906836394	1.5920171861	-207.06021908182967
-8.9428941406	-202.2101045782	1.2179995965	-207.05639338074187
-8.9338546875	-203.6403060127	1.4622797782	-207.03290128340413
-8.9319070313	-201.9059083635	1.3484561443	-207.027838967431
-8.9239164062	-201.7101858939	1.4420696158	-207.00706738161892
-8.919884375	-201.7510786374	1.4905752229	-206.99658461985308
-8.9101640625	-200.8162089951	1.5677401997	-206.97130886055697
-8.9097011719	-203.0586498495	1.4517465764	-206.97010505637235
-8.8998792969	-201.6039329149	1.238583835	-206.94455887202957
-8.8996835937	-201.7653778392	1.561037688	-206.94404979632998
-8.8894070313	-201.6489281298	1.2367098947	-206.9173143388481
-8.8889980469	-202.4996213779	1.3217515587	-206.91625018846915
-8.8784945313	-202.8353163692	1.4067504236	-206.88891709534596
-8.874946875	-202.6138637759	1.4498660631	-206.8796835132632
-8.86543125	-202.5334702825	1.5818883304	-206.85491297159876
-8.863496875	-202.5693030116	1.5463121491	-206.84987680748168
-8.8549382812	-202.1913033499	1.326120602	-206.82759155002276
-8.8542453125	-201.9062793261	1.6459642594	-206.82578696094714
-8.8449535156	-201.3914731002	1.0366775956	-206.80158681955774
-8.8442644531	-203.5303340893	1.5429938245	-206.79979196055712
-8.8345320312	-203.423482959	1.4757967302	-206.77443783383967
-8.8329746094	-202.5998514191	1.7104525374	-206.77037999563166
-8.823778125	-201.3619657321	1.4619678594	-206.74641549922092
-8.8194976563	-203.5102408805	1.5671490041	-206.73525944586885
-8.8096882813	-203.0827421645	1.669228447	-206.70968908362084
-8.8080378906	-200.5684290387	1.7108541444	-206.70538635001742
-8.7978445312	-199.0819146439	1.5881698544	-206.67880730296406
-8.7962574219	-201.0587905297	1.5210995315	-206.67466832581871
-8.7883285156	-201.0867105416	1.7113197891	-206.65398828537928
-8.7872855469	-200.2092476916	1.5131595099	-206.6512677250272
-8.7780957031	-200.2434079907	1.216920811	-206.62729313415522
-8.7730148437	-202.1755478845	1.4506944568	-206.61403573129203
-8.7648375	-202.3196832136	1.5702534114	-206.592695144575
-8.7630058594	-201.1426860131	1.3257429481	-206.58791446726337
-8.7532730469	-198.781490533	1.9687422855	-206.56250759034182
-8.752840625	-201.7278377968	1.4675562508	-206.56137863511086
-8.7437847656	-200.3316506246	1.8075745798	-206.5377329884784
-8.7421144531	-201.342235973	1.7170487715	-206.5333710588466
-8.7317769531	-200.7438692774	1.2796926405	-206.50637110047154
-8.730375	-200.7270306162	1.8336888936	-206.50270886465088
-8.7198015625	-200.3012096168	1.3637221067	-206.4750842808336
-8.718115625	-202.849987118	1.3808888816	-206.4706788396137
-8.7105386719	-203.0759492647	1.2599249446	-206.45087751103037
-8.7081570312	-202.0740839911	1.5364398216	-206.44465262042834
-8.7003019531	-203.5376295435	1.4441484851	-206.4241191005572
-8.6978914062	-200.8150538025	1.2887505942	-206.41781698830323
-8.6885769531	-201.0623117284	1.117923961	-206.3934616650542
-8.6866761719	-202.5758898949	1.5005176686	-206.388490801127
-8.676434375	-200.971773341	1.9962915479	-206.36170254139887
-8.6728734375	-202.2803825332	1.4177385529	-206.35238694221846
-8.6633625	-201.7148298428	1.3648268049	-206.32750158253668
-8.6611769531	-201.1069540836	1.409572788	-206.32178222586845
-8.6543402344	-200.836302355	2.1269297948	-206.30388910376246
-8.6506902344	-201.6687858454	1.4749383412	-206.29433497564764
-8.6462238281	-200.5684028393	1.6871968303	-206.2826425998036
-8.6433550781	-200.5088082674	1.4718723456	-206.275131921269
-8.6329453125	-202.8351453525	1.6855893617	-206.24787332581226
-8.6318949219	-203.6390154008	1.7576957477	-206.24512239868045
-8.6237191406	-201.9562897698	1.1891902048	-206.22370776937524
-8.6198527344	-201.4491407238	1.3082236435	-206.21357896713403
-8.6104917969	-201.4583318971	1.7220570046	-206.18905186297036
-8.6101304688	-201.173955228	1.2759882477	-206.1881050049966
-8.5998789062	-202.6641770134	1.4581268747	-206.1612370492056
-8.5994820312	-200.3321225813	1.7711638256	-206.16019674577836
-8.5884941406	-200.1922187753	2.3356371101	-206.13139049295748
-8.5873902344	-200.6793058786	1.8022909244	-206.12849598353304
-8.5785265625	-203.6511401231	1.6061730083	-206.10525178399345
-8.5736871094	-202.426733836	1.477697945	-206.09255840502684
-8.5670121094	-202.0856684522	1.574935425	-206.0750478612301
-8.5624660156	-200.6912949472	1.4158671274	-206.06312027529677
-8.554275	-202.0259988463	1.5762363357	-206.0416258043407
-8.5517085937	-200.4607111137	1.6358473114	-206.03489018189663
-8.5435375	-201.902608659	1.5513425127	-206.01344173537473
-8.5419488281	-203.3734761928	1.5753327838	-206.0092710492897
-8.5330152344	-203.2704892283	1.3345996556	-205.98581462795826
-8.52895	-201.381370974	1.4639034481	-205.9751388829547
-8.5228015625	-202.5114914314	1.5733253617	-205.95899016592668
-8.5194707031	-199.7171457406	1.3788722872	-205.95024061134248
