#File generated by ModelExp v0.7.2
#Read datafile: ../data_rescaling/IOS-7_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-15 12:41:09.566797
#Finished Fit at 2019-01-15 12:41:09.573967
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 0
#    # data points      = 4676
#    # variables        = 0
#    chi-square         = 10886.0815
#    reduced chi-square = 2.32807560
#    Akaike info crit   = 3951.41640
#    Bayesian info crit = 3951.41640
#[[Variables]]
#    Ms1:  206.4 (fixed)
#    mu1:  4140 (fixed)
#    Ms2:  38 (fixed)
#    mu2:  530 (fixed)
#    chi:  0.32 (fixed)
#    T:    300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.9999484375	-241.7119797373	1.603505629	-241.24795850838993
-8.9969214844	-240.0642946835	1.3227133219	-241.2449604498529
-8.9866917969	-240.6362567224	1.9465853038	-241.2348182951804
-8.9848804687	-241.4798591143	1.6255137066	-241.23302083617003
-8.9745035156	-242.4135341087	1.9338351204	-241.22271386325488
-8.9723824219	-240.5647336937	2.3467267623	-241.22060508462525
-8.9641722656	-243.1955847104	1.5867562505	-241.21243621711594
-8.9608851563	-240.0687014206	1.7696973584	-241.2091627919507
-8.9545277344	-241.2238318678	1.5268759668	-241.20282720814896
-8.9526199219	-240.8282838963	2.0960872688	-241.20092475743883
-8.9443664062	-240.0640872933	1.8939732293	-241.19268808809252
-8.9428941406	-240.5630593125	1.4490161597	-241.1912177420386
-8.9338546875	-242.2645253852	1.7396286785	-241.182182856036
-8.9319070313	-240.2011665565	1.6042162487	-241.180234555936
-8.9239164062	-239.9683216343	1.7155852782	-241.172235234928
-8.919884375	-240.0169704568	1.7732908872	-241.1681951143993
-8.9101640625	-238.9047851796	1.8650916552	-241.15844506840148
-8.9097011719	-241.5725471758	1.7270976566	-241.15798040048963
-8.8998792969	-239.8419157766	1.4735045866	-241.1481130517565
-8.8996835937	-240.0339817715	1.8571178859	-241.14791629166768
-8.8894070313	-239.8954451815	1.4712752183	-241.13757593329285
-8.8889980469	-240.9074884259	1.5724466355	-241.13716407258516
-8.8784945313	-241.3068542947	1.673567136	-241.1265778183603
-8.874946875	-241.0433990464	1.7248604685	-241.12299835269363
-8.86543125	-240.9477574128	1.8819232454	-241.1133877474841
-8.863496875	-240.9903864939	1.8395993712	-241.11143234035967
-8.8549382812	-240.5406920771	1.5776443502	-241.10277368376663
-8.8542453125	-240.2016078791	1.9581523811	-241.10207211239535
-8.8449535156	-239.5891589567	1.2333030263	-241.09265770216024
-8.8442644531	-242.1336952154	1.8356516638	-241.09195900784295
-8.8345320312	-242.0065777558	1.755709375	-241.0820825774002
-8.8329746094	-241.0267289821	2.0348720755	-241.0805007276965
-8.823778125	-239.5540549605	1.7392575985	-241.07115220064065
-8.8194976563	-242.1097909511	1.8643883283	-241.06679640830512
-8.8096882813	-241.6012090521	1.98582906	-241.0568034728418
-8.8080378906	-238.6100090877	2.0353498549	-241.0551206984691
-8.7978445312	-236.8415492412	1.8893961787	-241.04471772630893
-8.7962574219	-239.1933768709	1.8096047059	-241.04309649115498
-8.7883285156	-239.2265924389	2.0359038179	-241.03499107567797
-8.7872855469	-238.1827022334	1.8001587096	-241.03392414113165
-8.7780957031	-238.2233416766	1.4477327621	-241.0245155977445
-8.7730148437	-240.5219482909	1.7258459827	-241.01930800747218
-8.7648375	-240.6934215998	1.8680815449	-241.01091797811455
-8.7630058594	-239.2931847128	1.5771950671	-241.0090372211016
-8.7532730469	-236.4841440395	2.342151339	-240.99903432945567
-8.752840625	-239.989321553	1.7459059336	-240.9985895527019
-8.7437847656	-238.328321188	2.1504151425	-240.98926799260744
-8.7421144531	-239.5305830809	2.0427194097	-240.98754721909444
-8.7317769531	-238.8187248719	1.5224104514	-240.97688732150579
-8.730375	-238.7986924415	2.1814825278	-240.97544030472721
-8.7198015625	-238.2921064697	1.6223776884	-240.9645166588691
-8.718115625	-241.3243076274	1.6428004655	-240.96277318991633
-8.7105386719	-241.593127751	1.4988934396	-240.9549319245382
-8.7081570312	-240.4012398592	1.8278545708	-240.9524652562875
-8.7003019531	-242.1423743899	1.7180584443	-240.9443231274165
-8.6978914062	-238.903410883	1.5331864165	-240.94182245250445
-8.6885769531	-239.1975659314	1.3299592951	-240.93215072375924
-8.6866761719	-240.9982227036	1.785119105	-240.93017527116274
-8.676434375	-239.0898552335	2.3749258379	-240.91952081985906
-8.6728734375	-240.6466668052	1.6866393709	-240.91581232586944
-8.6633625	-239.9738463956	1.6236919135	-240.90589692537247
-8.6611769531	-239.25067555	1.6769248149	-240.90361630319612
-8.6543402344	-238.9286896237	2.5303420887	-240.89647701811157
-8.6506902344	-239.9190692868	1.7546881764	-240.89266227882018
-8.6462238281	-238.6099779192	2.0072054856	-240.88799124523078
-8.6433550781	-238.5390801143	1.7510406571	-240.88498929713435
-8.6329453125	-241.3066508416	2.0052931303	-240.87408456753917
-8.6318949219	-242.2629899845	2.0910758504	-240.8729832183186
-8.6237191406	-240.2611037454	1.4147425242	-240.8644044251402
-8.6198527344	-239.6577643312	1.5563528964	-240.8603434914635
-8.6104917969	-239.6686987836	2.0486775486	-240.85050108244027
-8.6101304688	-239.3303847233	1.5180034507	-240.85012087132594
-8.5998789062	-241.1032551369	1.7346880987	-240.83932429790954
-8.5994820312	-238.3288826602	2.107098403	-240.83890596327095
-8.5884941406	-238.1624434624	2.7786346771	-240.82731324862368
-8.5873902344	-238.7419158086	2.1441293423	-240.8261474358009
-8.5785265625	-242.2774143888	1.9108139698	-240.81677911190636
-8.5736871094	-240.820776389	1.757971191	-240.81165842516546
-8.5670121094	-240.4150215315	1.8736515905	-240.80458890099686
-8.5624660156	-238.7561788298	1.6844129943	-240.79976970817478
