[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28913692.14,12/01/2018,11:35 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Maghemite,SAMPLE_MATERIAL
INFO,Oleate Iron Spheres,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28913821.765,349.6277466,99.5330276489258,5.92480790233942E-5,9.51967619095931E-7,1,0.999253354069792,40.0298881530762,1.9914853603344,29.3799992650747,0.00059921228067528,0.000507330734059039,0.25,3.48021911264346E-5,5.91243819978751E-5,3.47739483809439E-5,349.6277466,349.6277466,99.5330276489258,99.5330276489258,57.2675767184868,20.436237846671,30.122374,0,0,0,40,4369,350.2579,99.5330276489258,,,,,,,,,,,,,0,,,,0.00245,,,,,,349.6277466,,,,
,28913830.69,349.6191101,99.5330276489258,5.85162883767438E-5,1.22529379898922E-6,1,0.999253354069792,40.0298881530762,1.99144597441247,29.3799992650747,0.000587641294806481,0.000525073704362496,0.25,3.65056896121442E-5,5.83929392124039E-5,3.64740616948963E-5,349.6191101,349.6191101,99.5330276489258,99.5330276489258,57.1487691835637,20.4383437578241,29.742722,0,0,0,40,4370,350.1342,99.5330276489258,,,,,,,,,,,,,0,,,,-0.00245,,,,,,349.6191101,,,,
,28913857.445,349.4746704,99.5330276489258,5.87164637587927E-5,1.22559898147181E-6,1,0.999253354069792,40.0298881530762,1.99119393373205,29.3799992650747,0.000590658396450885,0.000520594678289592,0.25,3.6078478508722E-5,5.85932223294436E-5,3.60479795059904E-5,349.4746704,349.4746704,99.5330276489258,99.5330276489258,57.1878506095253,20.4385974462942,29.363071,0,0,0,40,4370,349.1307,99.5330276489258,,,,,,,,,,,,,0,,,,-0.00245,,,,,,349.4746704,,,,
,28913892.65,348.9993286,99.5330276489258,6.02101068509674E-5,1.19972275857496E-6,1,0.999253354069792,40.0298881530762,1.9914975989809,29.3799992650747,0.00060683231437269,0.000527850169926071,0.25,3.64566771767334E-5,6.00849097752597E-5,3.64270610764337E-5,348.9993286,348.9993286,99.5330276489258,99.5330276489258,57.1722180391407,20.4356308422105,29.742722,0,0,0,40,4374,347.77865,99.5330276489258,,,,,,,,,,,,,0,,,,0,,,,,,348.9993286,,,,
,28913917.345,348.4789124,99.5330276489258,5.8375933940025E-5,1.37632976780778E-6,1,0.999253354069792,40.0298881530762,1.99152008667218,29.3799992650747,0.000586773669130844,0.000520958627998132,0.25,3.61607637957983E-5,5.82550329569426E-5,3.61313907957934E-5,348.4789124,348.4789124,99.5330276489258,99.5330276489258,57.3746598256215,20.4357759064735,29.742722,0,0,0,40,4374,346.4577,99.5330276489258,,,,,,,,,,,,,0,,,,0.0049,,,,,,348.4789124,,,,
,28913934.335,347.9937439,99.5330276489258,5.96303849642545E-5,1.15384477333855E-6,1,0.999253354069792,40.0298881530762,1.99151508786329,29.3799992650747,0.000600969532729424,0.000523044403836192,0.25,3.61280898583943E-5,5.95082804457596E-5,3.61001320694773E-5,347.9937439,347.9937439,99.5330276489258,99.5330276489258,57.3191642007561,20.4347809095152,29.742722,0,0,0,40,4374,345.8465,99.5330276489258,,,,,,,,,,,,,0,,,,0,,,,,,347.9937439,,,,
,28913955.475,347.4205933,99.5330276489258,5.8959363729084E-5,1.38066102071922E-6,1,0.999253354069792,40.0298881530762,1.99165068166034,29.3799992650747,0.000592733953816636,0.000525997089928383,0.25,3.65025612471115E-5,5.88393244365824E-5,3.64743140670124E-5,347.4205933,347.4205933,99.5330276489258,99.5330276489258,57.2144259791791,20.4361546706796,29.742722,0,0,0,40,4374,345.6532,99.5330276489258,,,,,,,,,,,,,0,,,,0.0049,,,,,,347.4205933,,,,
,28913978.485,346.9283142,99.5330276489258,5.76930516866039E-5,1.07433176681492E-6,1,0.999253354069792,40.0298881530762,1.99156744760987,29.3799992650747,0.000578729132940316,0.000521966487401861,0.25,3.63649178799544E-5,5.75761485052561E-5,3.63368501705219E-5,346.9283142,346.9283142,99.5330276489258,99.5330276489258,57.0354330482753,20.4375172294013,29.363071,0,0,0,40,4374,345.06165,99.5330276489258,,,,,,,,,,,,,0,,,,0.00245,,,,,,346.9283142,,,,
,28913999.345,346.4461365,99.5330276489258,5.69073783052711E-5,1.16166440666307E-6,1,0.999253354069792,40.0298881530762,1.99153935303963,29.3799992650747,0.000567727576787965,0.000532886173134821,0.25,3.74705349818652E-5,5.67920460341031E-5,3.74408517209251E-5,346.4461365,346.4461365,99.5330276489258,99.5330276489258,57.4215575367753,20.436762520566,29.742722,0,0,0,40,4374,344.3982,99.5330276489258,,,,,,,,,,,,,0,,,,-0.00245,,,,,,346.4461365,,,,
,28914018.365,345.9999084,99.5330276489258,5.94791619591877E-5,1.2040083758905E-6,1,0.999253354069792,40.0298881530762,1.99145148190766,29.3799992650747,0.000598390476815148,0.000527950581565348,0.25,3.6588107499712E-5,5.93609517155233E-5,3.65619362199579E-5,345.9999084,345.9999084,99.5330276489258,99.5330276489258,57.0917103016599,20.436745616035,29.363071,0,0,0,40,4374,343.99265,99.5330276489258,,,,,,,,,,,,,0,,,,0,,,,,,345.9999084,,,,
