[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32694414.08,01/14/2019,5:49 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Maghemite,SAMPLE_MATERIAL
INFO,Oleate Iron Spheres,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32694431.19,29.9975128,0.1674614995718,,,2,,,,28.0300007301569,,,,,,,29.9975128,29.9975128,0.1674614995718,0.1674614995718,,,16.075285,,,,-99999999,4369,30.0053,0.1674614995718,,,,,,,,,,,,,,,,,,,,,,,29.9975128,,,,
sample offset = 34.64 mm touchdown = 21.5000007301569 mm,32694473.245,30.0344734,0.251192256808281,-0.000129501935289212,3.66100597386197E-7,1,0.999253354069792,40.0298881530762,1.97600155137111,28.0200000852346,-0.00143692535103018,-0.000279657835677543,0.25,-2.04884111492823E-6,-0.000128818298274906,-2.74759664487957E-6,30.0344734,30.0344734,0.243580371141434,0.258804142475128,55.2017325421597,20.6492468116292,16.454937,0,0,0,40,4417,29.9898,0.251192256808281,,,,,,,,,,,,,0,,,,0,,,,,,30.0344734,,,,
,32694492.905,30.0246868,36.718074798584,-0.000113356341933676,2.74598272206983E-6,1,0.999253354069792,40.0298881530762,1.98942055432161,28.0300006270409,-0.00126554992799779,-0.000248534277262668,0.25,-1.98602031756679E-6,-0.000112756696298573,-2.59647515499433E-6,30.0246868,30.0246868,34.6362419128418,38.7999076843262,55.5870754021405,20.6589910601337,16.454937,0,0,0,40,4449,29.9675,36.718074798584,,,,,,,,,,,,,0,,,,-0.00245,,,,,,30.0246868,,,,
,32694495.17,30.0234299,145.825370788574,0.000335280812744379,7.75734182280083E-6,1,0.999253354069792,40.0298881530762,1.98915463491537,28.0200000852346,0.00374404094660024,0.00072764860054868,0.25,5.21536375789902E-6,0.000333512004353888,7.02549243666422E-6,30.0234299,30.0234299,138.491317749023,153.159423828125,56.360887636179,20.6595433503888,16.454937,0,0,0,40,4449,29.97025,145.825370788574,,,,,,,,,,,,,0,,,,0.0049,,,,,,30.0234299,,,,
,32694497.655,30.0230656,267.574546813965,0.000646643927830336,6.58565071278303E-6,1,0.999253354069792,40.0298881530762,1.99028977745946,28.0200000852346,0.00722916273766433,0.00138058586815284,0.25,7.95215750623065E-6,0.000643246686112041,1.14567159523161E-5,30.0230656,30.0230656,252.645950317383,282.503143310547,55.8356332712559,20.6551456189749,16.454937,0,0,0,40,4449,29.96835,267.574546813965,,,,,,,,,,,,,0,,,,0,,,,,,30.0230656,,,,
,32694500.385,30.0234528,404.780624389648,0.0010238959322823,5.14704761358251E-6,1,0.999253354069792,40.0298881530762,1.989941588599,28.0300006270409,0.011447669506996,0.00216962976311135,0.25,1.11543072062216E-5,0.00101853057552888,1.67164610495335E-5,30.0234528,30.0234528,392.598083496094,416.963165283203,55.2775505085251,20.6632975413468,16.834587,0,0,0,40,4449,29.9724,404.780624389648,,,,,,,,,,,,,0,,,,-0.00245,,,,,,30.0234528,,,,
,32694503.18,30.0248318,544.485626220703,0.00132399493481619,4.15799494781311E-6,1,0.999253354069792,40.0298881530762,1.99063691276282,28.0200000852346,0.0148082986486791,0.00280454074760489,0.25,1.42426178021671E-5,0.00131706558632614,2.14430427012563E-5,30.0248318,30.0248318,541.817993164063,547.153259277344,56.2608391857175,20.6560580118893,16.454937,0,0,0,40,4449,29.9712,544.485626220703,,,,,,,,,,,,,0,,,,0,,,,,,30.0248318,,,,
,32694505.52,30.0260239,661.879699707031,0.00149079985173485,3.65237372907552E-6,1,0.999253354069792,40.0298881530762,1.99101257116393,28.0200000852346,0.0166791782513821,0.00314645841357582,0.25,1.49582582870211E-5,0.00148301193950614,2.30793573732793E-5,30.0260239,30.0260239,651.973693847656,671.785705566406,55.9794529187944,20.6576010214241,16.834587,0,0,0,40,4449,29.97605,661.879699707031,,,,,,,,,,,,,0,,,,0.00245,,,,,,30.0260239,,,,
,32694507.855,30.0270977,776.550903320312,0.00163579404677105,3.19168726642538E-6,1,0.999253354069792,40.0298881530762,1.99102737408687,28.0200000852346,0.0183017835045178,0.00345159169553031,0.25,1.63214296290613E-5,0.00162725832769196,2.52413577615986E-5,30.0270977,30.0270977,771.474060058594,781.627746582031,55.6621117399866,20.6536642787002,16.454937,0,0,0,40,4449,29.9792,776.550903320312,,,,,,,,,,,,,0,,,,0,,,,,,30.0270977,,,,
,32694510,30.0282021,883.911071777344,0.00182403830787424,2.5296241013375E-6,1,0.999253354069792,40.0298881530762,1.99058889713741,28.0200000852346,0.0203982946990203,0.00387845299467806,0.25,2.09092694657063E-5,0.00181451375787226,3.08494875158443E-5,30.0282021,30.0282021,881.236328125,886.585815429688,55.8465760705251,20.6534034591364,16.454937,0,0,0,40,4449,29.9751,883.911071777344,,,,,,,,,,,,,0,,,,0.00245,,,,,,30.0282021,,,,
,32694512.07,30.02899265,988.669067382813,0.00192806886502924,2.27788274322264E-6,1,0.999253354069792,40.0298881530762,1.99044417485217,28.0200000852346,0.0215606519877245,0.00409730247843654,0.25,2.19071675021827E-5,0.00191801139909975,3.24238891221408E-5,30.0282021,30.0297832,981.098449707031,996.239685058594,55.7496541341405,20.665726404605,16.454937,0,0,0,40,4449,29.9728,988.669067382813,,,,,,,,,,,,,0,,,,0.00245,,,,,,30.02899265,,,,
,32694514.88,30.0300655,1128.03955078125,0.00206069496431408,1.93275908332681E-6,1,0.999253354069792,40.0298881530762,1.99014523254349,28.0300006270409,0.0230429768779325,0.00436520752944522,0.25,2.22107227987544E-5,0.00204996635013252,3.34700702223288E-5,30.0297832,30.0303478,1120.56958007812,1135.50952148438,55.2212732551405,20.6571343359912,16.075285,0,0,0,40,4449,29.9722,1128.03955078125,,,,,,,,,,,,,0,,,,0.0049,,,,,,30.0300655,,,,
,32694517.375,30.0303478,1252.59802246094,0.00213823619969445,1.61633253914903E-6,1,0.999253354069792,40.0298881530762,1.99058537685955,28.0300006270409,0.0239129535343336,0.00454331665142079,0.25,2.41830916246625E-5,0.00212711043861874,3.58721284377304E-5,30.0303478,30.0303478,1245.08508300781,1260.11096191406,56.1811130767559,20.6495932733986,16.834587,0,0,0,40,4449,29.9695,1252.59802246094,,,,,,,,,,,,,0,,,,0.0049,,,,,,30.0303478,,,,
,32694520.055,30.0315304,1384.92810058594,0.00220792295772048,1.52655265458687E-6,1,0.999253354069792,40.0298881530762,1.99006081961275,28.0200000852346,0.0246871018622123,0.00468549824086515,0.25,2.45339588222318E-5,0.00219645246799682,3.66204596659713E-5,30.0315304,30.0315304,1379.84814453125,1390.00805664062,55.9536591776598,20.6620120912986,16.075285,0,0,0,40,4449,29.971,1384.92810058594,,,,,,,,,,,,,0,,,,0.0049,,,,,,30.0315304,,,,
,32694522.17,30.0313187,1492.02478027344,0.00229530309788273,1.23258184461031E-6,1,0.999253354069792,40.0298881530762,1.99046154870147,28.0200000852346,0.0256690228318061,0.00487276326054502,0.25,2.55720709438402E-5,0.0022833899704259,3.81473071912926E-5,30.0313187,30.0313187,1484.45300292969,1499.59655761719,55.8301618716213,20.6517726744061,16.834587,0,0,0,40,4449,29.9661,1492.02478027344,,,,,,,,,,,,,0,,,,0.00245,,,,,,30.0313187,,,,
,32694524.55,30.0312786,1609.029296875,0.00234614163486359,1.1223295004301E-6,1,0.999253354069792,40.0298881530762,1.99111614959268,28.0200000852346,0.0262492105037034,0.00496408881357279,0.25,2.45021302765277E-5,0.00233398809535354,3.73774809674647E-5,30.0312786,30.0312786,1604.10229492187,1613.95629882813,55.6777443103713,20.639770363111,16.075285,0,0,0,40,4449,29.965,1609.029296875,,,,,,,,,,,,,0,,,,-0.0049,,,,,,30.0312786,,,,
,32694527,30.03112125,1731.65405273438,0.00241463699967196,8.82636599681983E-7,1,0.999253354069792,40.0298881530762,1.99146476526266,28.0300006270409,0.0270190360600449,0.00511667050359828,0.25,2.58073693839555E-5,0.00240214070971276,3.90696285921804E-5,30.0309639,30.0312786,1724.21362304687,1739.09448242187,56.0873176544482,20.634687777883,16.454937,0,0,0,40,4449,29.96225,1731.65405273438,,,,,,,,,,,,,0,,,,0.00245,,,,,,30.03112125,,,,
,32694529.94,30.0303383,1876.28063964844,0.00247234252542887,9.40617311237107E-7,1,0.999253354069792,40.0298881530762,1.99151069276691,28.0200000852346,0.0276683622343864,0.00522347280908291,0.25,2.5011918938121E-5,0.0024595750833318,3.8616253918103E-5,30.0297127,30.0309639,1868.92602539062,1883.63525390625,56.4484300303329,20.6257670182877,16.454937,0,0,0,40,4449,29.9619,1876.28063964844,,,,,,,,,,,,,0,,,,0.00245,,,,,,30.0303383,,,,
,32694532.785,30.0291939,2020.7001953125,0.00250879140872893,8.40496224672717E-7,1,0.999253354069792,40.0298881530762,1.99145424100424,28.0200000852346,0.0280729945776205,0.00531571813107876,0.25,2.67311714019469E-5,0.00249584792980076,4.05470747454847E-5,30.0291939,30.0291939,2008.20361328125,2033.19677734375,56.8197035769676,20.6269042164401,16.834587,0,0,0,40,4449,29.9596,2020.7001953125,,,,,,,,,,,,,0,,,,-0.00245,,,,,,30.0291939,,,,
,32694535.625,30.0284271,2162.64953613281,0.00255701148897433,7.94404294861608E-7,1,0.999253354069792,40.0298881530762,1.99148509738986,28.0300006270409,0.0286103236928811,0.00543427259393203,0.25,2.86770421077448E-5,0.00254383163904995,4.27696860850822E-5,30.0284271,30.0284271,2152.73657226562,2172.5625,56.2256659023521,20.6235962544518,16.075285,0,0,0,40,4449,29.9586,2162.64953613281,,,,,,,,,,,,,0,,,,-0.00245,,,,,,30.0284271,,,,
,32694538.125,30.0274868,2284.74670410156,0.00259902527012596,7.59114749382773E-7,1,0.999253354069792,40.0298881530762,1.99101858860965,28.0200000852346,0.0290733089167295,0.00552687167574711,0.25,2.95343019888818E-5,0.00258564460614798,4.38727342962632E-5,30.0274868,30.0274868,2277.24975585938,2292.24365234375,56.5945945634291,20.6377082948816,16.834587,0,0,0,40,4449,29.9572,2284.74670410156,,,,,,,,,,,,,0,,,,-0.0049,,,,,,30.0274868,,,,
,32694540.555,30.02696515,2406.91455078125,0.00262436370641779,5.4388754907735E-7,1,0.999253354069792,40.0298881530762,1.99051502751094,28.0200000852346,0.0293501847896119,0.00557764749095512,0.25,2.96458205454914E-5,0.00261087153373751,4.41411631805091E-5,30.0264435,30.0274868,2396.90014648438,2416.92895507813,56.3515080939483,20.6543681292428,16.454937,0,0,0,40,4449,29.9547,2406.91455078125,,,,,,,,,,,,,0,,,,-0.0049,,,,,,30.02696515,,,,
,32694543.015,30.0264435,2531.40441894531,0.00265871074469004,7.38259823831366E-7,1,0.999253354069792,40.0298881530762,1.99114143647991,28.0300006270409,0.0297437530514211,0.00565080281392775,0.25,2.98749681510778E-5,0.00264506263194441,4.45786296883418E-5,30.0264435,30.0264435,2526.48046875,2536.32836914062,56.1232725663329,20.6449324012125,16.454937,0,0,0,40,4449,29.95555,2531.40441894531,,,,,,,,,,,,,0,,,,0,,,,,,30.0264435,,,,
,32694545.68,30.0255871,2661.28991699219,0.00267839286507667,6.63918584081992E-7,1,0.999253354069792,40.0298881530762,1.99136470977502,28.0300006270409,0.0299705240060838,0.00567569073358991,0.25,2.85080239821839E-5,0.00266467334121968,4.334720658291E-5,30.0255871,30.0255871,2656.38647460938,2666.193359375,56.3663590358137,20.6409598176629,16.454937,0,0,0,40,4449,29.9556,2661.28991699219,,,,,,,,,,,,,0,,,,-0.0049,,,,,,30.0255871,,,,
,32694547.995,30.0249729,2778.59997558594,0.00270730224115826,5.87745408846974E-7,1,0.999253354069792,40.0298881530762,1.99134663473494,28.0200000852346,0.0302908032237855,0.00575467435892431,0.25,3.03804509165759E-5,0.00269344500271377,4.53890123481244E-5,30.0249729,30.0249729,2766.033203125,2791.16674804687,56.4953277414867,20.6432375785538,16.454937,0,0,0,40,4449,29.95565,2778.59997558594,,,,,,,,,,,,,0,,,,-0.00245,,,,,,30.0249729,,,,
,32694550.235,30.0243702,2890.61865234375,0.0027239914842105,6.49031150665233E-7,1,0.999253354069792,40.0298881530762,1.99138916959334,28.0300006270409,0.030479884920894,0.0057818498160802,0.25,2.97958079329344E-5,0.00271007283841434,4.49183826630406E-5,30.0243702,30.0243702,2885.54809570313,2895.68920898438,55.8059313875251,20.6435187281326,16.834587,0,0,0,40,4449,29.9595,2890.61865234375,,,,,,,,,,,,,0,,,,0,,,,,,30.0243702,,,,
,32694552.93,30.024044,3025.37060546875,0.00274985477032809,5.93381794283829E-7,1,0.999253354069792,40.0298881530762,1.99181794052331,28.0300006270409,0.0307716731097361,0.00586142742036322,0.25,3.21491933013017E-5,0.00273581430704162,4.74244803154333E-5,30.024044,30.024044,3020.5185546875,3030.22265625,55.2634811951789,20.6334673787645,16.834587,0,0,0,40,4449,29.9571,3025.37060546875,,,,,,,,,,,,,0,,,,-0.0049,,,,,,30.024044,,,,
,32694555.64,30.0239258,3159.78039550781,0.00276457139889704,4.64883045282415E-7,1,0.999253354069792,40.0298881530762,1.99126112044202,28.0300006270409,0.0309291506594389,0.0058868346345111,0.25,3.19051929263633E-5,0.00275048110495715,4.72847657844993E-5,30.0239258,30.0239258,3149.82568359375,3169.73510742188,55.2744239944482,20.6505792317728,16.075285,0,0,0,40,4449,29.95715,3159.78039550781,,,,,,,,,,,,,0,,,,0.0049,,,,,,30.0239258,,,,
,32694558.57,30.0242023,3304.28564453125,0.00278419216612093,6.69398725442894E-7,1,0.999253354069792,40.0298881530762,1.99156023871665,28.0300006270409,0.0311527675653093,0.00593316873081877,0.25,3.24346393685389E-5,0.00277002578151484,4.79445656601301E-5,30.0242023,30.0242023,3299.23559570313,3309.33569335937,56.0310404010636,20.6286971149009,16.454937,0,0,0,40,4449,29.95885,3304.28564453125,,,,,,,,,,,,,0,,,,0.0049,,,,,,30.0242023,,,,
,32694560.92,30.0239162,3424.00659179687,0.00280382456727799,5.4461181133176E-7,1,0.999253354069792,40.0298881530762,1.99155965538075,28.0200000852346,0.0313724662061908,0.00597612590039774,0.25,3.27417888740189E-5,0.00278957817318198,4.83786598157806E-5,30.0239162,30.0239162,3418.8974609375,3429.11572265625,55.9974303747367,20.6263453284254,16.075285,0,0,0,40,4449,29.9563,3424.00659179687,,,,,,,,,,,,,0,,,,0,,,,,,30.0239162,,,,
,32694563.015,30.0239162,3526.0283203125,0.00281588193220809,5.6312470799978E-7,1,0.999253354069792,40.0298881530762,1.99199857078507,28.0200000852346,0.0315117097897688,0.00601713366595152,0.25,3.41160913719555E-5,0.00280158512261428,4.98297387949395E-5,30.0239162,30.0239162,3523.513671875,3528.54296875,56.2178496171598,20.6133947381379,16.454937,0,0,0,40,4449,29.95505,3526.0283203125,,,,,,,,,,,,,0,,,,0.0049,,,,,,30.0239162,,,,
,32694565.46,30.02425,3650.76354980469,0.00282749015162122,5.82652207605162E-7,1,0.999253354069792,40.0298881530762,1.99237849775075,28.0200000852346,0.0316471044370536,0.00604610195781973,0.25,3.45048333901098E-5,0.00281315655909532,5.03027704221759E-5,30.02425,30.02425,3638.21728515625,3663.30981445313,55.8739330686982,20.6130832765337,16.454937,0,0,0,40,4449,29.95845,3650.76354980469,,,,,,,,,,,,,0,,,,0.00245,,,,,,30.02425,,,,
,32694567.79,30.0241108,3765.48364257812,0.00283827683287571,4.72786911268424E-7,1,0.999253354069792,40.0298881530762,1.99214749920804,28.0200000852346,0.0317646385540472,0.00606801666175067,0.25,3.45726396740471E-5,0.00282390889958133,5.04487131899223E-5,30.0241108,30.0241108,3762.97729492188,3767.98999023438,56.1310888515252,20.6180328862058,16.454937,0,0,0,40,4449,29.9555,3765.48364257812,,,,,,,,,,,,,0,,,,0,,,,,,30.0241108,,,,
,32694570.325,30.0243759,3892.5908203125,0.00285228652850756,5.61572953355844E-7,1,0.999253354069792,40.0298881530762,1.99234074885533,28.0300006270409,0.0319272669953641,0.00608392875036327,0.25,3.34163781410848E-5,0.00283787882041129,4.9398137067725E-5,30.0243759,30.0243759,3882.63671875,3902.544921875,56.4539014299675,20.6101677190468,16.834587,0,0,0,40,4449,29.9561,3892.5908203125,,,,,,,,,,,,,0,,,,0,,,,,,30.0243759,,,,
