# GRASP V.7.15CD    Instrument:  ILL_d33 
  
# ***** Sanpol Worksheets I+, I- ***** 
# Subtitle:  KWI338 Vpol Col7.8 Det 8 RF- 
# Start: 10-Sep-15   13:07:27   End: 10-Sep-15   13:27:27 
  
# Sample - (Flip off): Sum 23564 , Loaded: 23564 
# ***** Sanpol Worksheets I+, I- ***** 
# Subtitle:  KWI338 Vpol Col7.8 Det 8 RF+ 
# Start: 10-Sep-15   13:27:27   End: 10-Sep-15   13:47:27 
  
# Sample + (Flip on): Sum 23565 , Loaded: 23565 
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds) 
# Data Normalisation: Exposure Time (1) seconds 
# Attenuator: 0 is In.  Attenuation factor 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator: 0 is In. Up-scaling data by 1 
# Attenuator2: is Out 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Attenuator2: Up-scaling data by 1 
# Background: Sum 23558+23559 , Loaded: 23558+23559 
# Cadmium: No Cadmium Subtraction 
  
# Transmissions:  Ts = 1.0407 +/- 0.0026793  Te = 0.8403 +/- 0.002096 
# Foreground Image Only :  I_corr = I_s 
  
# Beam Centre1 :  Cx = 127.6859  Cy = 64.446       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm] 
  
# ***** Calibrations: ***** 
# Data: Corrected for D33 Detector Paralax 
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
# Data: Divided by Volume 0.2 cm3 
# Solid Angle Correction: 
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 1 
# Applying Default Instrument Mask 
# Applying User Defined Mask 
# Applying NanInf Mask 
# Intensity units are:  cm-1 \\ \Delta\Omega  
  
# ***** Analysis ***** 
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
# Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.00486715	1.40927	0.22217	0.00148875
0.00547532	0.867008	0.0828396	0.00148986
0.00554863	0.810442	0.0699375	0.00148997
0.00613809	0.560256	0.0560822	0.0014949
0.00621423	0.549599	0.0647743	0.00149599
0.00679184	0.476594	0.0449337	0.0015026
0.00687763	0.531715	0.0656619	0.00150338
0.00743991	0.434511	0.0411454	0.00150767
0.00751943	0.420319	0.0615873	0.00150818
0.00808759	0.341847	0.0378074	0.00151129
0.00817634	0.448454	0.0547707	0.00151171
0.00874006	0.377343	0.0340032	0.00151403
0.00883603	0.371212	0.0528677	0.00151501
0.00938758	0.339933	0.0315799	0.00152445
0.0094826	0.218481	0.0516816	0.00152584
0.0100392	0.318146	0.027918	0.00153288
0.0101465	0.357743	0.0533371	0.00153406
0.010691	0.327525	0.02668	0.00153934
0.0108076	0.292579	0.0501256	0.00154034
0.0113387	0.285635	0.0255309	0.00154441
0.0114534	0.342892	0.0572399	0.0015452
0.0119861	0.278277	0.0243613	0.00155242
0.0121102	0.299398	0.0516473	0.00155486
0.0126378	0.298373	0.0231773	0.00156408
0.0127714	0.243933	0.0513302	0.00156616
0.0132854	0.314708	0.0226146	0.00157338
0.0134169	0.260096	0.0545535	0.00157505
0.0139328	0.283854	0.021362	0.00158101
0.0140739	0.340932	0.0494298	0.0015825
0.0145843	0.254584	0.0197596	0.00158743
0.0147353	0.258956	0.0464329	0.0015899
0.0152319	0.296055	0.0195198	0.00160087
0.0153805	0.344103	0.0556991	0.00160386
0.0158792	0.296847	0.0189718	0.00161301
0.0160376	0.260472	0.0434398	0.00161567
0.0165307	0.251869	0.0177373	0.0016233
0.016699	0.248224	0.0449767	0.0016257
0.0171782	0.256014	0.0173455	0.00163202
0.0173551	0.204368	0.0387966	0.00163419
0.0178254	0.257631	0.0170012	0.00164292
0.0180124	0.234975	0.0395172	0.00164747
0.0184769	0.211854	0.015276	0.00165788
0.0186627	0.250075	0.042905	0.00166174
0.0191284	0.248722	0.0153929	0.00167072
0.0193274	0.2993	0.0434917	0.00167428
0.0197757	0.250677	0.0148029	0.00168178
0.0199814	0.234868	0.0363115	0.001685
0.0204229	0.223605	0.0141337	0.00169147
0.0206263	0.241015	0.0384609	0.00169572
0.0210744	0.226727	0.0139026	0.00170752
0.0212909	0.169017	0.0362487	0.00171282
0.0217216	0.227649	0.0139356	0.0017227
0.0219449	0.178203	0.0335613	0.0017275
0.0223688	0.199491	0.0130235	0.00173605
0.0225897	0.185955	0.0349862	0.00174025
0.0230201	0.193169	0.012638	0.00174796
0.0232543	0.296313	0.041316	0.00175191
0.0236673	0.178547	0.0122098	0.00176137
0.0240188	0.194188	0.0269582	0.00177114
0.0243265	0.18079	0.0122443	0.00177918
0.0247061	0.202315	0.0248527	0.00178849
0.0249842	0.189516	0.0126022	0.00179493
0.0253714	0.183019	0.0233269	0.0018034
0.0256342	0.17467	0.012061	0.00180884
0.0260186	0.207135	0.0226171	0.00181639
0.0262842	0.171761	0.0118646	0.00182135
0.026692	0.175933	0.0200043	0.00183253
0.0269416	0.192873	0.0123602	0.00183981
0.027351	0.1569	0.0195317	0.00185111
