#File generated by ModelExp v0.6.0
#Generated at 2018-12-14 01:08:31.373424
#Fit range: 0.03 .. 1

#[[Data]] 0
#r / nm	SLD / 1e-6 A-2
0.0	52.07
0.0	52.07
0.0	41.85
3.5403336065098125	41.85
3.5403336065098125	8.52
5.100333606509812	8.52
5.100333606509812	7.55
15.100333606509812	7.55
15.100333606509812	7.55
5.100333606509812	7.55
5.100333606509812	8.52
3.5403336065098125	8.52
3.5403336065098125	41.85
0.0	41.85
0.0	52.07
0.0	52.07
0.0	52.07
0.0	52.07
0.0	41.85
0.6799999999999999	41.85
0.6799999999999999	8.52
2.24	8.52
2.24	7.55
12.24	7.55
