# GRASP V.7.05    Instrument:  ILL_d33

# ***** Sample, Backgrounds and Transmissions Data: *****
# Subtitle:  PKM18 Vpol Col7.8 Det 8 RF-
# Start: 10-Sep-15   14:32:01   End: 10-Sep-15   14:52:01

# Foreground:  23570 , Loaded: 23570,23571
# Background:  23559 , Loaded: 23558+23559
# Cadmium: No Cadmium Subtraction
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1

# Beam Centre1 :  Cx = 127.9334  Cy = 65.436       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Transmissions:  Ts = 0.99252 +/- 0.0017167  Te = 0.8812 +/- 0.0014755
# Transmissions Thickness Correction is:  on
# Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd]

# ***** Calibrations: *****
# Data: Corrected for D33 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.1 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 2
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q


0.0048908	1.35317	0.203148	0.00148839
0.00548521	1.34404	0.159637	0.00148947
0.00553999	1.71655	0.350243	0.00148955
0.0061393	1.67649	0.143672	0.00149453
0.00678438	1.74059	0.137279	0.00150213
0.00743492	1.70626	0.116142	0.00150723
0.00808338	1.58411	0.100295	0.00151086
0.00872803	1.45339	0.094946	0.00151357
0.0093728	1.50721	0.0957742	0.00152385
0.0100177	1.3963	0.0919937	0.00153224
0.0106626	1.46845	0.0911607	0.00153869
0.0113181	1.42889	0.0798606	0.00154386
0.0119614	1.30851	0.0749416	0.00155156
0.0126061	1.34682	0.0742994	0.0015632
0.0132508	1.22296	0.070731	0.00157254
0.0138956	1.16054	0.0692172	0.00158021
0.0145459	1.17693	0.0655727	0.00158668
0.0151945	1.09811	0.0584476	0.00159974
0.015839	1.06495	0.057641	0.00161195
0.0164837	1.0987	0.0567069	0.00162223
0.0171283	0.928597	0.0548665	0.001631
0.017773	0.876594	0.0538681	0.00164128
0.0184228	0.858929	0.0493348	0.00165638
0.0190717	0.861235	0.0460657	0.00166931
0.0197162	0.820017	0.0450809	0.00168045
0.0203607	0.780824	0.0441687	0.00169021
0.0210053	0.750407	0.0434401	0.00170545
0.0216499	0.684703	0.0424374	0.00172077
0.0222315	0.622461	0.117354	0.001733
0.0223092	0.599173	0.0416579	0.00173453
0.0228798	0.630368	0.0898707	0.00174514
0.0229646	0.652232	0.0429597	0.00174662
0.0235294	0.69905	0.0750849	0.00175706
0.023616	0.606517	0.0429081	0.00175959
0.0241744	0.586088	0.068273	0.00177494
0.0242603	0.535602	0.0410602	0.00177716
0.024825	0.48196	0.0583581	0.00179094
0.0249116	0.591432	0.0440192	0.00179294
0.0254735	0.491887	0.0560089	0.00180518
0.025559	0.513227	0.0427113	0.00180695
0.0261214	0.500695	0.0530551	0.00181797
0.0262137	0.490566	0.0386682	0.00181969
0.0267702	0.502736	0.0509452	0.00183455
0.0268602	0.454047	0.0387624	0.00183717
0.0274184	0.482138	0.0470082	0.00185259
0.0275068	0.395283	0.0378902	0.0018549
0.0280738	0.343326	0.0390586	0.001869
0.0281574	0.383435	0.0420289	0.00187097
0.028729	0.368086	0.0343669	0.00188383
0.0288134	0.317154	0.0475949	0.00188563
0.0293783	0.318461	0.0314024	0.00189803
0.0294683	0.350355	0.048564	0.00190092
0.030032	0.305206	0.0293829	0.00191815
0.03013	0.274784	0.0501675	0.001921
0.0306811	0.299751	0.0276877	0.00193625
0.0307839	0.263647	0.0552594	0.00193896
0.0313255	0.297627	0.0273117	0.00195261
0.0314272	0.273049	0.0583256	0.00195507
0.0319751	0.257981	0.0251167	0.0019677
0.0320816	0.173068	0.0662162	0.00197006
0.0326194	0.189119	0.0242987	0.00198597
0.0327248	0.162301	0.061626	0.00198932
0.0332711	0.180246	0.0224907	0.00200594
0.0333878	0.16312	0.071056	0.00200933
0.0339169	0.208167	0.0220485	0.00202405
0.0340356	0.191729	0.0656466	0.00202722
0.0345669	0.174686	0.0208067	0.00204081
0.0346912	0.229197	0.0889279	0.00204386
0.0352109	0.183107	0.0212082	0.00205657
0.0353338	0.109168	0.0799101	0.00206079
0.0358614	0.163134	0.0194197	0.00207818
0.0365054	0.16206	0.0195095	0.00209786
0.0371576	0.138939	0.018317	0.00211625
0.0378026	0.12474	0.0179838	0.00213309
0.0384465	0.108405	0.0172781	0.00215252
0.0390903	0.0802538	0.0167079	0.00217372
0.0397341	0.0864242	0.016821	0.00219337
0.0403814	0.0647279	0.0154082	0.00221172
0.0409899	0.0815283	0.0227007	0.00222783
