# GRASP V.7.05    Instrument:  ILL_d33

# ***** Sample, Backgrounds and Transmissions Data: *****
# Subtitle:  KWI338 Vpol Col7.8 Det 8 RF-
# Start: 10-Sep-15   13:07:27   End: 10-Sep-15   13:27:27

# Foreground:  23564 , Loaded: 23564,23565
# Background:  23559 , Loaded: 23558+23559
# Cadmium: No Cadmium Subtraction
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1

# Beam Centre1 :  Cx = 127.9334  Cy = 65.436       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Transmissions:  Ts = 0.99488 +/- 0.0017198  Te = 0.8812 +/- 0.0014755
# Transmissions Thickness Correction is:  on
# Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd]

# ***** Calibrations: *****
# Data: Corrected for D33 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.1 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 2
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q


0.00489276	1.88723	0.218508	0.0014888
0.00548741	2.14858	0.177125	0.00148988
0.00554221	1.22268	0.320279	0.00148996
0.00614176	1.38086	0.136473	0.00149496
0.0067871	1.09693	0.120733	0.00150255
0.0074379	0.819121	0.0953678	0.00150766
0.00808662	0.891893	0.0854749	0.00151129
0.00873153	0.664421	0.0773256	0.001514
0.00937656	0.746875	0.0785789	0.00152429
0.0100217	0.665289	0.0751879	0.00153268
0.0106669	0.643476	0.0716499	0.00153912
0.0113226	0.541779	0.061137	0.0015443
0.0119662	0.595636	0.06035	0.00155202
0.0126111	0.691306	0.0608388	0.00156365
0.0132561	0.605071	0.0574765	0.001573
0.0139012	0.559722	0.0559664	0.00158067
0.0145518	0.669224	0.0547188	0.00158713
0.0152006	0.591271	0.0484169	0.00160023
0.0158454	0.49865	0.0460352	0.00161243
0.0164903	0.624125	0.0470377	0.00162271
0.0171352	0.548659	0.0470201	0.00163148
0.0177802	0.433888	0.0442695	0.00164179
0.0184302	0.535259	0.0427077	0.00165689
0.0190793	0.468996	0.0380698	0.00166981
0.0197241	0.477143	0.0379782	0.00168095
0.0203689	0.456201	0.0373715	0.00169071
0.0210137	0.455103	0.0371614	0.00170599
0.0216586	0.472453	0.0379359	0.00172131
0.0222404	0.499156	0.110556	0.00173353
0.0223181	0.428481	0.0377638	0.00173507
0.0228889	0.448202	0.0816398	0.00174567
0.0229738	0.365484	0.0364996	0.00174715
0.0235388	0.323937	0.0601851	0.00175763
0.0236255	0.368705	0.037064	0.00176017
0.0241841	0.448614	0.0626298	0.00177551
0.02427	0.423642	0.0382422	0.00177773
0.024835	0.387012	0.0548428	0.00179151
0.0249216	0.400332	0.0388683	0.00179351
0.0254837	0.36611	0.0516137	0.00180575
0.0255692	0.386528	0.0391523	0.00180751
0.0261319	0.340399	0.0476679	0.00181853
0.0262242	0.394999	0.0361341	0.00182025
0.0267809	0.420286	0.0482758	0.00183516
0.0268709	0.312239	0.0347433	0.00183778
0.0274294	0.393863	0.0442079	0.00185319
0.0275178	0.348877	0.0365596	0.00185551
0.028085	0.300351	0.0377058	0.0018696
0.0281687	0.283229	0.0387188	0.00187157
0.0287405	0.297513	0.0323793	0.00188442
0.028825	0.2945	0.0466851	0.00188623
0.02939	0.348901	0.0321717	0.00189867
0.0294801	0.255191	0.0447891	0.00190157
0.0300441	0.294555	0.0291017	0.00191879
0.0301421	0.249825	0.0488937	0.00192164
0.0306934	0.251668	0.0264899	0.00193689
0.0307962	0.370809	0.0608055	0.0019396
0.031338	0.304811	0.0274363	0.00195325
0.0314398	0.242212	0.0566617	0.0019557
0.0319879	0.259409	0.0251238	0.00196834
0.0320945	0.226719	0.0697518	0.00197069
0.0326325	0.276486	0.0264057	0.00198665
0.0327379	0.323645	0.0724732	0.00199
0.0332844	0.294076	0.0251005	0.00200662
