#File generated by ModelExp v0.6.0
#Read datafile: ../../experimentalData/sans_PKM18_N_8m.dat
#Read datafile: ../../experimentalData/sans_PKM18_N_2m.dat
#Started Fit at 2018-12-11 15:56:58.635152
#Finished Fit at 2018-12-11 15:56:58.716213
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 19
#    # data points      = 218
#    # variables        = 5
#    chi-square         = 251.374702
#    reduced chi-square = 1.18016292
#    Akaike info crit   = 41.0540130
#    Bayesian info crit = 57.9764883
#[[Variables]]
#    particleSize:     54.16 (fixed)
#    dShell:           25.8138879 +/- 1.05897864 (4.10%) (init = 25.76)
#    dSurfactant:      19.4300891 +/- 0.44342030 (2.28%) (init = 19.36)
#    sldCore:          8.34e-06 (fixed)
#    sldShell:         6.57e-06 (fixed)
#    sldSurfactant:    7.8e-08 (fixed)
#    sldSolvent:       5.66e-06 (fixed)
#    sigParticleSize:  0.0543 (fixed)
#    sigD:             0 (fixed)
#    i0:               0.04394378 +/- 0.00280693 (6.39%) (init = 0.043)
#    bg:               0.00303454 +/- 8.0948e-04 (26.68%) (init = 0.00302)
#    rOleic:           21 (fixed)
#    i0Oleic:          0.86105176 +/- 0.05005902 (5.81%) (init = 0.86)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(dSurfactant, i0)      = -0.976
#    C(bg, i0Oleic)          = -0.655
#    C(dShell, dSurfactant)  = -0.379
#    C(i0, i0Oleic)          = -0.363
#    C(dSurfactant, i0Oleic) =  0.250
#    C(dShell, i0)           =  0.226
#    C(dSurfactant, bg)      =  0.185
#    C(dShell, i0Oleic)      =  0.183
#    C(i0, bg)               = -0.150

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00551909	1.15635	0.174832	1.0291558806777974
0.0058199	1.16615	0.121846	1.0237455975790144
0.00614223	1.05806	0.118822	1.0176578847588433
0.00646462	0.986658	0.116763	1.0112731654661389
0.00678704	1.10116	0.117338	1.00459684934293
0.00710949	1.01762	0.114273	0.9976340118136429
0.00743198	1.10498	0.111252	0.9903897127075734
0.00775449	1.01117	0.107129	0.982869898189248
0.00807702	1.01888	0.108506	0.9750802927520024
0.00839957	1.17976	0.1094	0.9670268164494086
0.00872214	1.10657	0.109134	0.9587155788735268
0.00904472	1.06423	0.106649	0.9501531422038793
0.00936731	1.11562	0.106971	0.9413459987239
0.00968992	1.00369	0.101322	0.9323005258350326
0.0100125	0.98112	0.0990881	0.9230249813730537
0.0103352	0.984026	0.0980373	0.9135219588922396
0.0106696	1.03522	0.0816096	0.9034456255269259
0.0109919	1.03976	0.0820982	0.8935210451001134
0.0113142	1.01904	0.0794932	0.8833950294049051
0.0116436	0.984196	0.0672655	0.872845640822389
0.0119658	0.870988	0.0673818	0.8623387241474825
0.012288	0.848339	0.0650257	0.8516535746292245
0.0126102	0.852588	0.0640859	0.8407980403068558
0.0129325	0.84861	0.0646688	0.8297766181848771
0.0132548	0.8702	0.0647711	0.8186006849597881
0.0135771	0.835501	0.0646227	0.8072783513642562
0.0138994	0.884151	0.0640565	0.7958177972894398
0.0142217	0.864641	0.0651079	0.7842272637143591
0.0145441	0.778191	0.0624544	0.7725113926311818
0.0148664	0.844384	0.0618411	0.7606857929330468
0.0151888	0.820668	0.0601609	0.7487515075424318
0.0155112	0.749271	0.059256	0.736720600374264
0.0158336	0.75315	0.0592595	0.7246015038224527
0.016156	0.696192	0.0576014	0.7124026625917166
