#File generated by ModelExp v0.3.1
#Generated at 2018-07-20 18:13:23.720338

#[[Data]] saxs
#r / nm	SLD / 1e-6 A-2
0.0	41.469
3.5254716959472345	41.469
3.5254716959472345	8.514000000000001
5.427471695947235	8.514000000000001
5.427471695947235	7.554
15.427471695947236	7.554
15.427471695947236	7.554
5.427471695947235	7.554
5.427471695947235	8.514000000000001
3.5254716959472345	8.514000000000001
3.5254716959472345	41.469
0.0	41.469
0.0	41.469
0.952	41.469
0.952	8.514000000000001
2.854	8.514000000000001
2.854	7.554
12.854	7.554
12.854	7.554
2.854	7.554
2.854	8.514000000000001
0.952	8.514000000000001
0.952	41.469
0.0	41.469
0.0	8.514000000000001
1.902	8.514000000000001
1.902	7.554
11.902	7.554

#[[Data]] sans_sa
#r / nm	SLD / 1e-6 A-2
0.0	6.941000000000001
3.5254716959472345	6.941000000000001
3.5254716959472345	2.5772256000000002
5.427471695947235	2.5772256000000002
5.427471695947235	5.664000000000001
15.427471695947236	5.664000000000001
15.427471695947236	5.664000000000001
5.427471695947235	5.664000000000001
5.427471695947235	2.5772256000000002
3.5254716959472345	2.5772256000000002
3.5254716959472345	6.941000000000001
0.0	6.941000000000001
0.0	6.941000000000001
0.952	6.941000000000001
0.952	2.5772256000000002
2.854	2.5772256000000002
2.854	5.664000000000001
12.854	5.664000000000001
12.854	5.664000000000001
2.854	5.664000000000001
2.854	2.5772256000000002
0.952	2.5772256000000002
0.952	6.941000000000001
0.0	6.941000000000001
0.0	0.078
1.902	0.078
1.902	5.664000000000001
11.902	5.664000000000001

#[[Data]] sans_la
#r / nm	SLD / 1e-6 A-2
0.0	6.941000000000001
3.5254716959472345	6.941000000000001
3.5254716959472345	2.5772256000000002
5.427471695947235	2.5772256000000002
5.427471695947235	5.664000000000001
15.427471695947236	5.664000000000001
15.427471695947236	5.664000000000001
5.427471695947235	5.664000000000001
5.427471695947235	2.5772256000000002
3.5254716959472345	2.5772256000000002
3.5254716959472345	6.941000000000001
0.0	6.941000000000001
0.0	6.941000000000001
0.952	6.941000000000001
0.952	2.5772256000000002
2.854	2.5772256000000002
2.854	5.664000000000001
12.854	5.664000000000001
12.854	5.664000000000001
2.854	5.664000000000001
2.854	2.5772256000000002
0.952	2.5772256000000002
0.952	6.941000000000001
0.0	6.941000000000001
0.0	0.078
1.902	0.078
1.902	5.664000000000001
11.902	5.664000000000001
