#From 023567_N.dat
#Mod_Q   	I       	Err_I   	Sigma_Q
0.0166861	0.4869	0.0152795	0.00280969
0.0185209	0.434354	0.0211721	0.00283215
0.0197446	0.409085	0.0208002	0.00284627
0.0209685	0.416671	0.0204087	0.0028573
0.0221925	0.388476	0.0200826	0.00287347
0.0233351	0.371485	0.0142946	0.00289145
0.0245595	0.354774	0.0146206	0.00290706
0.0257838	0.342904	0.0142289	0.00291987
0.0270083	0.33098	0.0141093	0.00294308
0.0282328	0.312821	0.0137067	0.00296322
0.0294573	0.305841	0.0135819	0.00298006
0.0306818	0.257992	0.0129191	0.00299996
0.0319062	0.250254	0.0127456	0.00302463
0.0331307	0.240046	0.0126071	0.00304559
0.0343551	0.227425	0.0126248	0.00306361
0.0359604	0.216867	0.0100092	0.00309908
0.0374159	0.188968	0.0116607	0.00312721
0.0388713	0.179943	0.00953792	0.00315169
0.0404868	0.15392	0.0098768	0.00319095
0.0415933	0.155658	0.00841397	0.00321415
0.0429662	0.148638	0.00877808	0.00323957
0.0442158	0.132225	0.00743072	0.00327122
0.0454377	0.115816	0.00732381	0.00330022
0.0466595	0.111857	0.00718188	0.00332604
0.0478813	0.106996	0.00719664	0.00335374
0.049103	0.10291	0.00714761	0.00338634
0.0503247	0.0937907	0.00706321	0.00341554
0.0515464	0.0897179	0.00688319	0.00344186
0.0527679	0.079064	0.0067657	0.00347568
0.0539894	0.0714627	0.00668351	0.00350819
0.0552108	0.0615186	0.00649187	0.00353761
0.056432	0.0581065	0.00637608	0.00356796
0.0578709	0.0566504	0.00567796	0.00360967
0.0593565	0.0476469	0.00556545	0.00364813
0.0608342	0.0453657	0.00545945	0.00368682
0.0622789	0.0467517	0.00589703	0.00372987
0.0636369	0.0457983	0.00583286	0.00376643
0.0649774	0.0395693	0.00610404	0.00380202
0.0661976	0.0344476	0.0060058	0.00384023
0.0674177	0.0422551	0.006003	0.00389233
0.0686782	0.0460003	0.00542213	0.00396511
0.0698972	0.0397002	0.00536685	0.00403548
0.071116	0.0373487	0.0053575	0.00410585
0.0723648	0.034189	0.00486955	0.00417795
0.0735828	0.036871	0.00483684	0.00424827
0.0748006	0.0401637	0.00483693	0.00419089
0.0760183	0.0427061	0.00478526	0.0042213
0.0772357	0.0434838	0.00474587	0.00415162
0.078601	0.0434092	0.004433	0.00422501
0.080003	0.038503	0.0044466	0.00430037
0.0813539	0.0411201	0.00465689	0.00437299
0.0827956	0.0369197	0.00415352	0.00445048
0.0842611	0.0397703	0.00458547	0.00452926
0.0856073	0.0436566	0.0044366	0.00460162
0.0869686	0.0364269	0.00474815	0.0045381
0.0881842	0.0449121	0.0047781	0.00460154
0.0893996	0.0378996	0.00479507	0.00452009
0.0906148	0.0350585	0.00469063	0.00458153
0.0918298	0.0389286	0.00468979	0.00464295
0.0930445	0.0311558	0.004671	0.00470437
0.0942589	0.0345275	0.00462094	0.00476577
0.0954731	0.0338055	0.00466887	0.00482716
0.096726	0.0341555	0.00431322	0.00489051
0.0979392	0.031284	0.00425388	0.00495185
0.099279	0.0316786	0.00401301	0.00501959
0.100647	0.0321864	0.00380667	0.00506106
0.102082	0.0364679	0.00356953	0.0051332
0.103493	0.0340556	0.00375678	0.00520417
0.104902	0.0396853	0.00356105	0.00512828
0.106302	0.0330884	0.00390898	0.00519673
0.10756	0.0315629	0.0036991	0.0051033
0.108874	0.0281434	0.00386795	0.00516566
0.110085	0.0280824	0.00388109	0.00522307
0.111294	0.0216316	0.00386137	0.00528047
0.112504	0.0242186	0.00387008	0.00533785
0.113713	0.0247106	0.00396818	0.00539522
0.114922	0.020893	0.00386338	0.00545257
0.11613	0.0247261	0.00386578	0.00550991
0.117338	0.021247	0.00374895	0.00556724
0.118752	0.0175434	0.00338118	0.0056343
0.120227	0.0160996	0.00342366	0.0057043
0.121633	0.0162366	0.00354853	0.00577098
0.123032	0.0190521	0.00337164	0.00583737
0.12443	0.0184609	0.00376636	0.00590371
0.125625	0.015842	0.00321848	0.00596039
0.126962	0.00976734	0.00347697	0.00602385
0.128225	0.0109008	0.00325087	0.00608375
0.12947	0.0151943	0.00331514	0.00598947
0.130674	0.0145396	0.00332915	0.00604516
0.131877	0.0110451	0.00330286	0.00610083
0.13308	0.00921356	0.00327411	0.00615648
0.134283	0.0117176	0.00325201	0.00604888
0.135571	0.0113136	0.00302283	0.00610693
0.136887	0.0159776	0.00310967	0.00616617
0.138331	0.00975517	0.00284005	0.00623123
0.139794	0.00801092	0.00293321	0.00629714
0.141131	0.00517079	0.00321401	0.00635737
0.142418	0.00748362	0.00296482	0.00641535
0.143811	0.0130171	0.00308956	0.00647807
0.145089	0.00731259	0.00325439	0.00653567
0.146288	0.00662047	0.00329212	0.00658967
0.147486	0.00594783	0.00324258	0.00664365
0.148684	0.00912301	0.00318629	0.00669761
0.149882	0.00765588	0.003211	0.00670523
0.151079	0.009078	0.00318901	0.00675878
0.152458	0.00873561	0.00278347	0.00682048
0.153795	0.00662733	0.00290837	0.00688028
0.154785	0.00687123	0.00353638	0.00692458
