#File generated by ModelExp v0.6.0
#Generated at 2018-12-14 13:46:26.557112
#Fit range: 0.03 .. 0.5

#[[Data]] p_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	6.57	0.0	0.43979930892391084
3.5200000000000005	6.57	3.5200000000000005	0.43979930892391084
3.5200000000000005	0.078	3.5200000000000005	0.0
4.975278082534625	0.078	4.975278082534625	0.0
4.975278082534625	5.66	4.975278082534625	0.0
14.975278082534624	5.66	14.975278082534624	0.0
14.975278082534624	5.66	14.975278082534624	0.0
4.975278082534625	5.66	4.975278082534625	0.0
4.975278082534625	0.078	4.975278082534625	0.0
3.5200000000000005	0.078	3.5200000000000005	0.0
3.5200000000000005	6.57	3.5200000000000005	0.43979930892391084
0.0	6.57	0.0	0.43979930892391084
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	6.57	0.0	0.43979930892391084
1.0	6.57	1.0	0.43979930892391084
1.0	0.078	1.0	0.0
2.455278082534625	0.078	2.455278082534625	0.0
2.455278082534625	5.66	2.455278082534625	0.0
12.455278082534624	5.66	12.455278082534624	0.0

#[[Data]] m_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	6.57	0.0	0.43979930892391084
3.5200000000000005	6.57	3.5200000000000005	0.43979930892391084
3.5200000000000005	0.078	3.5200000000000005	0.0
4.975278082534625	0.078	4.975278082534625	0.0
4.975278082534625	5.66	4.975278082534625	0.0
14.975278082534624	5.66	14.975278082534624	0.0
14.975278082534624	5.66	14.975278082534624	0.0
4.975278082534625	5.66	4.975278082534625	0.0
4.975278082534625	0.078	4.975278082534625	0.0
3.5200000000000005	0.078	3.5200000000000005	0.0
3.5200000000000005	6.57	3.5200000000000005	0.43979930892391084
0.0	6.57	0.0	0.43979930892391084
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	6.57	0.0	0.43979930892391084
1.0	6.57	1.0	0.43979930892391084
1.0	0.078	1.0	0.0
2.455278082534625	0.078	2.455278082534625	0.0
2.455278082534625	5.66	2.455278082534625	0.0
12.455278082534624	5.66	12.455278082534624	0.0

#[[Data]] p_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	6.57	0.0	0.43979930892391084
3.5200000000000005	6.57	3.5200000000000005	0.43979930892391084
3.5200000000000005	0.078	3.5200000000000005	0.0
4.975278082534625	0.078	4.975278082534625	0.0
4.975278082534625	5.66	4.975278082534625	0.0
14.975278082534624	5.66	14.975278082534624	0.0
14.975278082534624	5.66	14.975278082534624	0.0
4.975278082534625	5.66	4.975278082534625	0.0
4.975278082534625	0.078	4.975278082534625	0.0
3.5200000000000005	0.078	3.5200000000000005	0.0
3.5200000000000005	6.57	3.5200000000000005	0.43979930892391084
0.0	6.57	0.0	0.43979930892391084
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	6.57	0.0	0.43979930892391084
1.0	6.57	1.0	0.43979930892391084
1.0	0.078	1.0	0.0
2.455278082534625	0.078	2.455278082534625	0.0
2.455278082534625	5.66	2.455278082534625	0.0
12.455278082534624	5.66	12.455278082534624	0.0

#[[Data]] m_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	6.57	0.0	0.43979930892391084
3.5200000000000005	6.57	3.5200000000000005	0.43979930892391084
3.5200000000000005	0.078	3.5200000000000005	0.0
4.975278082534625	0.078	4.975278082534625	0.0
4.975278082534625	5.66	4.975278082534625	0.0
14.975278082534624	5.66	14.975278082534624	0.0
14.975278082534624	5.66	14.975278082534624	0.0
4.975278082534625	5.66	4.975278082534625	0.0
4.975278082534625	0.078	4.975278082534625	0.0
3.5200000000000005	0.078	3.5200000000000005	0.0
3.5200000000000005	6.57	3.5200000000000005	0.43979930892391084
0.0	6.57	0.0	0.43979930892391084
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	6.57	0.0	0.43979930892391084
1.0	6.57	1.0	0.43979930892391084
1.0	0.078	1.0	0.0
2.455278082534625	0.078	2.455278082534625	0.0
2.455278082534625	5.66	2.455278082534625	0.0
12.455278082534624	5.66	12.455278082534624	0.0
